PartNumber	PartName	d_dia(mm)	l_length_nom(mm)	c_max(mm)	dl_hole_dia(mm)	le_length(mm)	Material	Reference	Edition
EN 22340 CLEVIS PIN 3x6 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x6_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	6.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x8 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x8_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	8.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x10 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x10_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	10.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x12 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x12_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	12.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x14 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x14_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	14.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x16 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x16_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	16.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x18 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x18_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	18.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x20 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x20_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	20.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x22 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x22_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	22.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x24 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x24_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	24.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x26 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x26_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	26.0	1.0	0.8	1.6	St	EN 22340	1992
EN 22340 CLEVIS PIN 3x28 STEEL WITHOUT HEAD TYPE B WITH SPLIT PIN HOLES	EN_22340_3x28_STEEL_WITHOUT_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLES_CLEVIS_PIN	3.0	28.0	1.0	0.8	1.6	St	EN 22340	1992
