PartNumber	PartName	Nominal_Size(mm)	d_max(mm)	d_min(mm)	a_max(mm)	a_min(mm)	b(mm)	c_max(mm)	c_min(mm)	l_nom(mm)	l_min(mm)	l_max(mm)	Material	Reference	Edition
EN ISO 1234 SPLIT PIN 0.6x4 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_0.6x4_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	0.4	1.6	0.8	2.0	1.0	0.9	4.0	3.5	4.5	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 0.6x5 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_0.6x5_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	0.4	1.6	0.8	2.0	1.0	0.9	5.0	4.5	5.5	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 0.6x6 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_0.6x6_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	0.4	1.6	0.8	2.0	1.0	0.9	6.0	5.5	6.5	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 0.6x8 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_0.6x8_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	0.4	1.6	0.8	2.0	1.0	0.9	8.0	7.5	8.5	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 0.6x10 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_0.6x10_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	0.4	1.6	0.8	2.0	1.0	0.9	10.0	9.5	10.5	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 0.6x12 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_0.6x12_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	0.4	1.6	0.8	2.0	1.0	0.9	12.0	11.0	13.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 0.8x5 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_0.8x5_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	0.6	1.6	0.8	2.4	1.4	1.2	5.0	4.5	5.5	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 0.8x6 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_0.8x6_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	0.6	1.6	0.8	2.4	1.4	1.2	6.0	5.5	6.5	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 0.8x8 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_0.8x8_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	0.6	1.6	0.8	2.4	1.4	1.2	8.0	7.5	8.5	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 0.8x10 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_0.8x10_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	0.6	1.6	0.8	2.4	1.4	1.2	10.0	9.5	10.5	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 0.8x12 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_0.8x12_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	0.6	1.6	0.8	2.4	1.4	1.2	12.0	11.0	13.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 0.8x14 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_0.8x14_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	0.6	1.6	0.8	2.4	1.4	1.2	14.0	13.0	15.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 0.8x16 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_0.8x16_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	0.6	1.6	0.8	2.4	1.4	1.2	16.0	15.0	17.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 1x6 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_1x6_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.0	0.9	0.8	1.6	0.8	3.0	1.8	1.6	6.0	5.5	6.5	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 1x8 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_1x8_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.0	0.9	0.8	1.6	0.8	3.0	1.8	1.6	8.0	7.5	8.5	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 1x10 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_1x10_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.0	0.9	0.8	1.6	0.8	3.0	1.8	1.6	10.0	9.5	10.5	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 1x12 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_1x12_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.0	0.9	0.8	1.6	0.8	3.0	1.8	1.6	12.0	11.0	13.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 1x14 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_1x14_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.0	0.9	0.8	1.6	0.8	3.0	1.8	1.6	14.0	13.0	15.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 1x16 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_1x16_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.0	0.9	0.8	1.6	0.8	3.0	1.8	1.6	16.0	15.0	17.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 1x18 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_1x18_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.0	0.9	0.8	1.6	0.8	3.0	1.8	1.6	18.0	17.0	19.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 1x20 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_1x20_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.0	0.9	0.8	1.6	0.8	3.0	1.8	1.6	20.0	19.0	21.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 1.2x8 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_1.2x8_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.2	1.0	0.9	2.5	1.25	3.0	2.0	1.7	8.0	7.5	8.5	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 1.2x10 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_1.2x10_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.2	1.0	0.9	2.5	1.25	3.0	2.0	1.7	10.0	9.5	10.5	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 1.2x12 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_1.2x12_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.2	1.0	0.9	2.5	1.25	3.0	2.0	1.7	12.0	11.0	13.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 1.2x14 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_1.2x14_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.2	1.0	0.9	2.5	1.25	3.0	2.0	1.7	14.0	13.0	15.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 1.2x16 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_1.2x16_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.2	1.0	0.9	2.5	1.25	3.0	2.0	1.7	16.0	15.0	17.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 1.2x18 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_1.2x18_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.2	1.0	0.9	2.5	1.25	3.0	2.0	1.7	18.0	17.0	19.0	St	EN ISO 1234	1997
EN ISO 1234 SPLIT PIN 1.2x20 STEEL FOR BOLTS AND SCREWS	EN_ISO_1234_1.2x20_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	1.2	1.0	0.9	2.5	1.25	3.0	2.0	1.7	20.0	19.0	21.0	St	EN ISO 1234	1997
