PartNumber	PartName	d_dia(mm)	c(mm)	l_length_nom(mm)	Material	Reference	Edition
EN ISO 2338 PIN 0.6x2 STEEL PARALLEL UNHARDENED	EN_ISO_2338_0.6x2_STEEL_UNHARDENED_PARALLEL_PIN	0.6	0.12	2.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 0.6x3 STEEL PARALLEL UNHARDENED	EN_ISO_2338_0.6x3_STEEL_UNHARDENED_PARALLEL_PIN	0.6	0.12	3.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 0.6x4 STEEL PARALLEL UNHARDENED	EN_ISO_2338_0.6x4_STEEL_UNHARDENED_PARALLEL_PIN	0.6	0.12	4.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 0.6x5 STEEL PARALLEL UNHARDENED	EN_ISO_2338_0.6x5_STEEL_UNHARDENED_PARALLEL_PIN	0.6	0.12	5.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 0.6x6 STEEL PARALLEL UNHARDENED	EN_ISO_2338_0.6x6_STEEL_UNHARDENED_PARALLEL_PIN	0.6	0.12	6.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 0.8x2 STEEL PARALLEL UNHARDENED	EN_ISO_2338_0.8x2_STEEL_UNHARDENED_PARALLEL_PIN	0.8	0.16	2.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 0.8x3 STEEL PARALLEL UNHARDENED	EN_ISO_2338_0.8x3_STEEL_UNHARDENED_PARALLEL_PIN	0.8	0.16	3.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 0.8x4 STEEL PARALLEL UNHARDENED	EN_ISO_2338_0.8x4_STEEL_UNHARDENED_PARALLEL_PIN	0.8	0.16	4.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 0.8x5 STEEL PARALLEL UNHARDENED	EN_ISO_2338_0.8x5_STEEL_UNHARDENED_PARALLEL_PIN	0.8	0.16	5.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 0.8x6 STEEL PARALLEL UNHARDENED	EN_ISO_2338_0.8x6_STEEL_UNHARDENED_PARALLEL_PIN	0.8	0.16	6.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 0.8x8 STEEL PARALLEL UNHARDENED	EN_ISO_2338_0.8x8_STEEL_UNHARDENED_PARALLEL_PIN	0.8	0.16	8.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1x4 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1x4_STEEL_UNHARDENED_PARALLEL_PIN	1.0	0.2	4.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1x5 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1x5_STEEL_UNHARDENED_PARALLEL_PIN	1.0	0.2	5.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1x6 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1x6_STEEL_UNHARDENED_PARALLEL_PIN	1.0	0.2	6.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1x8 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1x8_STEEL_UNHARDENED_PARALLEL_PIN	1.0	0.2	8.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1x10 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1x10_STEEL_UNHARDENED_PARALLEL_PIN	1.0	0.2	10.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1.2x4 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1.2x4_STEEL_UNHARDENED_PARALLEL_PIN	1.2	0.25	4.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1.2x5 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1.2x5_STEEL_UNHARDENED_PARALLEL_PIN	1.2	0.25	5.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1.2x6 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1.2x6_STEEL_UNHARDENED_PARALLEL_PIN	1.2	0.25	6.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1.2x8 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1.2x8_STEEL_UNHARDENED_PARALLEL_PIN	1.2	0.25	8.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1.2x10 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1.2x10_STEEL_UNHARDENED_PARALLEL_PIN	1.2	0.25	10.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1.2x12 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1.2x12_STEEL_UNHARDENED_PARALLEL_PIN	1.2	0.25	12.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1.5x4 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1.5x4_STEEL_UNHARDENED_PARALLEL_PIN	1.5	0.3	4.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1.5x5 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1.5x5_STEEL_UNHARDENED_PARALLEL_PIN	1.5	0.3	5.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1.5x6 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1.5x6_STEEL_UNHARDENED_PARALLEL_PIN	1.5	0.3	6.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1.5x8 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1.5x8_STEEL_UNHARDENED_PARALLEL_PIN	1.5	0.3	8.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1.5x10 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1.5x10_STEEL_UNHARDENED_PARALLEL_PIN	1.5	0.3	10.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1.5x12 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1.5x12_STEEL_UNHARDENED_PARALLEL_PIN	1.5	0.3	12.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1.5x14 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1.5x14_STEEL_UNHARDENED_PARALLEL_PIN	1.5	0.3	14.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 1.5x16 STEEL PARALLEL UNHARDENED	EN_ISO_2338_1.5x16_STEEL_UNHARDENED_PARALLEL_PIN	1.5	0.3	16.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2x6 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2x6_STEEL_UNHARDENED_PARALLEL_PIN	2.0	0.35	6.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2x8 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2x8_STEEL_UNHARDENED_PARALLEL_PIN	2.0	0.35	8.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2x10 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2x10_STEEL_UNHARDENED_PARALLEL_PIN	2.0	0.35	10.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2x12 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2x12_STEEL_UNHARDENED_PARALLEL_PIN	2.0	0.35	12.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2x14 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2x14_STEEL_UNHARDENED_PARALLEL_PIN	2.0	0.35	14.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2x16 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2x16_STEEL_UNHARDENED_PARALLEL_PIN	2.0	0.35	16.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2x18 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2x18_STEEL_UNHARDENED_PARALLEL_PIN	2.0	0.35	18.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2x20 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2x20_STEEL_UNHARDENED_PARALLEL_PIN	2.0	0.35	20.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2.5x6 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2.5x6_STEEL_UNHARDENED_PARALLEL_PIN	2.5	0.4	6.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2.5x8 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2.5x8_STEEL_UNHARDENED_PARALLEL_PIN	2.5	0.4	8.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2.5x10 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2.5x10_STEEL_UNHARDENED_PARALLEL_PIN	2.5	0.4	10.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2.5x12 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2.5x12_STEEL_UNHARDENED_PARALLEL_PIN	2.5	0.4	12.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2.5x14 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2.5x14_STEEL_UNHARDENED_PARALLEL_PIN	2.5	0.4	14.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2.5x16 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2.5x16_STEEL_UNHARDENED_PARALLEL_PIN	2.5	0.4	16.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2.5x18 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2.5x18_STEEL_UNHARDENED_PARALLEL_PIN	2.5	0.4	18.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2.5x20 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2.5x20_STEEL_UNHARDENED_PARALLEL_PIN	2.5	0.4	20.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2.5x22 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2.5x22_STEEL_UNHARDENED_PARALLEL_PIN	2.5	0.4	22.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 2.5x24 STEEL PARALLEL UNHARDENED	EN_ISO_2338_2.5x24_STEEL_UNHARDENED_PARALLEL_PIN	2.5	0.4	24.0	St	EN ISO 2338	1997
EN ISO 2338 PIN 3x8 STEEL PARALLEL UNHARDENED	EN_ISO_2338_3x8_STEEL_UNHARDENED_PARALLEL_PIN	3.0	0.5	8.0	St	EN ISO 2338	1997
