PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	l_length_max(mm)	a_max(mm)	c_max(mm)	c_min(mm)	da_max(mm)	dw_min(mm)	e_min(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	Grade	Material	Reference	Edition
EN ISO 4017 SCREW M1.6x2 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M1.6x2_STEEL_GRADE_A_HEX_HEAD_SCREW	M1.6	1.6	0.35	0.95	2.0	2.2	1.05	0.25	0.1	2.0	2.27	3.41	1.225	0.68	0.1	3.2	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M1.6x3 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M1.6x3_STEEL_GRADE_A_HEX_HEAD_SCREW	M1.6	1.6	0.35	1.95	3.0	3.2	1.05	0.25	0.1	2.0	2.27	3.41	1.225	0.68	0.1	3.2	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M1.6x4 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M1.6x4_STEEL_GRADE_A_HEX_HEAD_SCREW	M1.6	1.6	0.35	2.95	4.0	4.24	1.05	0.25	0.1	2.0	2.27	3.41	1.225	0.68	0.1	3.2	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M1.6x5 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M1.6x5_STEEL_GRADE_A_HEX_HEAD_SCREW	M1.6	1.6	0.35	3.95	5.0	5.24	1.05	0.25	0.1	2.0	2.27	3.41	1.225	0.68	0.1	3.2	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M1.6x6 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M1.6x6_STEEL_GRADE_A_HEX_HEAD_SCREW	M1.6	1.6	0.35	4.95	6.0	6.24	1.05	0.25	0.1	2.0	2.27	3.41	1.225	0.68	0.1	3.2	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M1.6x8 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M1.6x8_STEEL_GRADE_A_HEX_HEAD_SCREW	M1.6	1.6	0.35	6.95	8.0	8.29	1.05	0.25	0.1	2.0	2.27	3.41	1.225	0.68	0.1	3.2	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M1.6x10 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M1.6x10_STEEL_GRADE_A_HEX_HEAD_SCREW	M1.6	1.6	0.35	8.95	10.0	10.29	1.05	0.25	0.1	2.0	2.27	3.41	1.225	0.68	0.1	3.2	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M1.6x12 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M1.6x12_STEEL_GRADE_A_HEX_HEAD_SCREW	M1.6	1.6	0.35	10.95	12.0	12.35	1.05	0.25	0.1	2.0	2.27	3.41	1.225	0.68	0.1	3.2	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M1.6x16 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M1.6x16_STEEL_GRADE_A_HEX_HEAD_SCREW	M1.6	1.6	0.35	14.95	16.0	16.35	1.05	0.25	0.1	2.0	2.27	3.41	1.225	0.68	0.1	3.2	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M2x4 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M2x4_STEEL_GRADE_A_HEX_HEAD_SCREW	M2	2.0	0.4	2.8	4.0	4.24	1.2	0.25	0.1	2.6	3.07	4.32	1.525	0.89	0.1	4.0	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M2x5 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M2x5_STEEL_GRADE_A_HEX_HEAD_SCREW	M2	2.0	0.4	3.8	5.0	5.24	1.2	0.25	0.1	2.6	3.07	4.32	1.525	0.89	0.1	4.0	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M2x6 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M2x6_STEEL_GRADE_A_HEX_HEAD_SCREW	M2	2.0	0.4	4.8	6.0	6.24	1.2	0.25	0.1	2.6	3.07	4.32	1.525	0.89	0.1	4.0	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M2x8 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M2x8_STEEL_GRADE_A_HEX_HEAD_SCREW	M2	2.0	0.4	6.8	8.0	8.29	1.2	0.25	0.1	2.6	3.07	4.32	1.525	0.89	0.1	4.0	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M2x10 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M2x10_STEEL_GRADE_A_HEX_HEAD_SCREW	M2	2.0	0.4	8.8	10.0	10.29	1.2	0.25	0.1	2.6	3.07	4.32	1.525	0.89	0.1	4.0	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M2x12 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M2x12_STEEL_GRADE_A_HEX_HEAD_SCREW	M2	2.0	0.4	10.8	12.0	12.35	1.2	0.25	0.1	2.6	3.07	4.32	1.525	0.89	0.1	4.0	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M2x16 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M2x16_STEEL_GRADE_A_HEX_HEAD_SCREW	M2	2.0	0.4	14.8	16.0	16.35	1.2	0.25	0.1	2.6	3.07	4.32	1.525	0.89	0.1	4.0	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M2x20 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M2x20_STEEL_GRADE_A_HEX_HEAD_SCREW	M2	2.0	0.4	18.8	20.0	20.42	1.2	0.25	0.1	2.6	3.07	4.32	1.525	0.89	0.1	4.0	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M2.5x5 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M2.5x5_STEEL_GRADE_A_HEX_HEAD_SCREW	M2.5	2.5	0.45	3.65	5.0	5.24	1.35	0.25	0.1	3.1	4.07	5.45	1.825	1.1	0.1	5.0	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M2.5x6 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M2.5x6_STEEL_GRADE_A_HEX_HEAD_SCREW	M2.5	2.5	0.45	4.65	6.0	6.24	1.35	0.25	0.1	3.1	4.07	5.45	1.825	1.1	0.1	5.0	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M2.5x8 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M2.5x8_STEEL_GRADE_A_HEX_HEAD_SCREW	M2.5	2.5	0.45	6.65	8.0	8.29	1.35	0.25	0.1	3.1	4.07	5.45	1.825	1.1	0.1	5.0	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M2.5x10 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M2.5x10_STEEL_GRADE_A_HEX_HEAD_SCREW	M2.5	2.5	0.45	8.65	10.0	10.29	1.35	0.25	0.1	3.1	4.07	5.45	1.825	1.1	0.1	5.0	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M2.5x12 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M2.5x12_STEEL_GRADE_A_HEX_HEAD_SCREW	M2.5	2.5	0.45	10.65	12.0	12.35	1.35	0.25	0.1	3.1	4.07	5.45	1.825	1.1	0.1	5.0	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M2.5x16 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M2.5x16_STEEL_GRADE_A_HEX_HEAD_SCREW	M2.5	2.5	0.45	14.65	16.0	16.35	1.35	0.25	0.1	3.1	4.07	5.45	1.825	1.1	0.1	5.0	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M2.5x20 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M2.5x20_STEEL_GRADE_A_HEX_HEAD_SCREW	M2.5	2.5	0.45	18.65	20.0	20.42	1.35	0.25	0.1	3.1	4.07	5.45	1.825	1.1	0.1	5.0	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M2.5x25 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M2.5x25_STEEL_GRADE_A_HEX_HEAD_SCREW	M2.5	2.5	0.45	23.65	25.0	25.42	1.35	0.25	0.1	3.1	4.07	5.45	1.825	1.1	0.1	5.0	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M3x6 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M3x6_STEEL_GRADE_A_HEX_HEAD_SCREW	M3	3.0	0.5	4.5	6.0	6.24	1.5	0.4	0.15	3.6	4.57	6.01	2.125	1.31	0.1	5.5	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M3x8 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M3x8_STEEL_GRADE_A_HEX_HEAD_SCREW	M3	3.0	0.5	6.5	8.0	8.29	1.5	0.4	0.15	3.6	4.57	6.01	2.125	1.31	0.1	5.5	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M3x10 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M3x10_STEEL_GRADE_A_HEX_HEAD_SCREW	M3	3.0	0.5	8.5	10.0	10.29	1.5	0.4	0.15	3.6	4.57	6.01	2.125	1.31	0.1	5.5	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M3x12 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M3x12_STEEL_GRADE_A_HEX_HEAD_SCREW	M3	3.0	0.5	10.5	12.0	12.35	1.5	0.4	0.15	3.6	4.57	6.01	2.125	1.31	0.1	5.5	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M3x16 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M3x16_STEEL_GRADE_A_HEX_HEAD_SCREW	M3	3.0	0.5	14.5	16.0	16.35	1.5	0.4	0.15	3.6	4.57	6.01	2.125	1.31	0.1	5.5	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M3x20 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M3x20_STEEL_GRADE_A_HEX_HEAD_SCREW	M3	3.0	0.5	18.5	20.0	20.42	1.5	0.4	0.15	3.6	4.57	6.01	2.125	1.31	0.1	5.5	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M3x25 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M3x25_STEEL_GRADE_A_HEX_HEAD_SCREW	M3	3.0	0.5	23.5	25.0	25.42	1.5	0.4	0.15	3.6	4.57	6.01	2.125	1.31	0.1	5.5	A	St	EN ISO 4017	2000
EN ISO 4017 SCREW M3x30 STEEL GRADE A HEXAGON HEAD	EN_ISO_4017_M3x30_STEEL_GRADE_A_HEX_HEAD_SCREW	M3	3.0	0.5	28.5	30.0	30.42	1.5	0.4	0.15	3.6	4.57	6.01	2.125	1.31	0.1	5.5	A	St	EN ISO 4017	2000
