PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	l_length_max(mm)	a_max(mm)	a_min(mm)	c_max(mm)	da_max(mm)	dw_min(mm)	e_min(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	Grade	Material	Reference	Edition
EN ISO 4018 SCREW M5x10 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x10_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	7.6	10.0	10.75	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x12 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x12_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	9.6	12.0	12.9	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x16 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x16_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	13.6	16.0	16.9	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x20 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x20_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	17.6	20.0	21.05	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x25 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x25_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	22.6	25.0	26.05	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x30 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x30_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	27.6	30.0	31.05	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x35 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x35_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	32.6	35.0	36.25	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x40 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x40_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	37.6	40.0	41.25	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x45 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x45_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	42.6	45.0	46.25	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M5x50 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M5x50_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M5	5.0	0.8	47.6	50.0	51.25	2.4	0.8	0.5	6.0	6.74	8.63	3.875	2.19	0.2	8.0	C	St	EN ISO 4018	2000
EN ISO 4018 SCREW M6x12 STEEL GRADE C HEXAGON HEAD	EN_ISO_4018_M6x12_STEEL_GRADE_C_HEXAGON_HEAD_SCREW	M6	6.0	1.0	9.0	12.0	12.9	3.0	1.0	0.5	7.2	8.74	10.89	4.375	2.54	0.25	10.0	C	St	EN ISO 4018	2000
