PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	ds_dia_point(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Material	Reference	Edition
EN ISO 4029 SCREW M1.6&2 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M1.6&2_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M1.6	1.6	0.35	1.891	2.0	0.8	0.809	0.7	0.7	St	EN IS0 4029	2003
EN ISO 4029 SCREW M1.6&2.5 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M1.6&2.5_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M1.6	1.6	0.35	2.391	2.5	0.8	0.809	0.7	1.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M1.6&3 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M1.6&3_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M1.6	1.6	0.35	2.891	3.0	0.8	0.809	0.7	1.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M1.6&4 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M1.6&4_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M1.6	1.6	0.35	3.891	4.0	0.8	0.809	0.7	1.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M1.6&5 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M1.6&5_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M1.6	1.6	0.35	4.891	5.0	0.8	0.809	0.7	1.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M1.6&6 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M1.6&6_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M1.6	1.6	0.35	5.891	6.0	0.8	0.809	0.7	1.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M1.6&8 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M1.6&8_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M1.6	1.6	0.35	7.891	8.0	0.8	0.809	0.7	1.5	St	EN IS0 4029	2003
EN ISO 4029 SCREW M2&2 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M2&2_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M2	2.0	0.4	1.875	2.0	1.0	1.011	0.9	0.8	St	EN IS0 4029	2003
EN ISO 4029 SCREW M2&2.5 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M2&2.5_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M2	2.0	0.4	2.375	2.5	1.0	1.011	0.9	0.8	St	EN IS0 4029	2003
EN ISO 4029 SCREW M2&3 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M2&3_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M2	2.0	0.4	2.875	3.0	1.0	1.011	0.9	1.7	St	EN IS0 4029	2003
EN ISO 4029 SCREW M2&4 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M2&4_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M2	2.0	0.4	3.875	4.0	1.0	1.011	0.9	1.7	St	EN IS0 4029	2003
EN ISO 4029 SCREW M2&5 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M2&5_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M2	2.0	0.4	4.875	5.0	1.0	1.011	0.9	1.7	St	EN IS0 4029	2003
EN ISO 4029 SCREW M2&6 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M2&6_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M2	2.0	0.4	5.875	6.0	1.0	1.011	0.9	1.7	St	EN IS0 4029	2003
EN ISO 4029 SCREW M2&8 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M2&8_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M2	2.0	0.4	7.875	8.0	1.0	1.011	0.9	1.7	St	EN IS0 4029	2003
EN ISO 4029 SCREW M2&10 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M2&10_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M2	2.0	0.4	9.875	10.0	1.0	1.011	0.9	1.7	St	EN IS0 4029	2003
EN ISO 4029 SCREW M2.5&2.5 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M2.5&2.5_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M2.5	2.5	0.45	2.359	2.5	1.2	1.454	1.3	1.2	St	EN IS0 4029	2003
EN ISO 4029 SCREW M2.5&3 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M2.5&3_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M2.5	2.5	0.45	2.859	3.0	1.2	1.454	1.3	1.2	St	EN IS0 4029	2003
EN ISO 4029 SCREW M2.5&4 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M2.5&4_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M2.5	2.5	0.45	3.859	4.0	1.2	1.454	1.3	2.0	St	EN IS0 4029	2003
EN ISO 4029 SCREW M2.5&5 GRADE A STEEL HEX SOCKET SET WITH CUP POINT	EN_ISO_4029_M2.5&5_GRADE_A_STEEL_HEX_SOCKET_WITH_CUP_POINT_SET_SCREW	M2.5	2.5	0.45	4.859	5.0	1.2	1.454	1.3	2.0	St	EN IS0 4029	2003
