PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_nom(mm)	b_min(mm)	dk_nom(mm)	k_max(mm)	rf_(mm)	r_max(mm)	x_max(mm)	m_ref(mm)	m_penetration_max(mm)	Slot_width(mm)	f_(mm)	a_max(mm)	Type	Grade	Material	Reference	Edition
EN ISO 7047 SCREW M1.6x3-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x3-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	1.3	3.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.35	0.4	0.7	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x4-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x4-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	2.3	4.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.35	0.4	0.7	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x5-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x5-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	3.3	5.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.35	0.4	0.7	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x6-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x6-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	4.3	6.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.35	0.4	0.7	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x8-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x8-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	6.3	8.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.35	0.4	0.7	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x10-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x10-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	8.3	10.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.35	0.4	0.7	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x12-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x12-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	10.3	12.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.35	0.4	0.7	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x14-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x14-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	12.3	14.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.35	0.4	0.7	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x16-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x16-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	14.3	16.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.35	0.4	0.7	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x20-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x20-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	18.3	20.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.35	0.4	0.7	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x25-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x25-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	23.3	25.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.35	0.4	0.7	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M1.6x30-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M1.6x30-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M1.6	1.6	0.35	28.3	30.0	25.0	3.0	1.0	3.0	0.4	0.9	1.9	1.2	0.35	0.4	0.7	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x3-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x3-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	1.0	3.0	25.0	3.8	1.2	4.0	0.5	1.0	2.0	1.5	0.35	0.5	0.8	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x4-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x4-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	2.0	4.0	25.0	3.8	1.2	4.0	0.5	1.0	2.0	1.5	0.35	0.5	0.8	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x5-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x5-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	3.0	5.0	25.0	3.8	1.2	4.0	0.5	1.0	2.0	1.5	0.35	0.5	0.8	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x6-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x6-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	4.0	6.0	25.0	3.8	1.2	4.0	0.5	1.0	2.0	1.5	0.35	0.5	0.8	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x8-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x8-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	6.0	8.0	25.0	3.8	1.2	4.0	0.5	1.0	2.0	1.5	0.35	0.5	0.8	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x10-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x10-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	8.0	10.0	25.0	3.8	1.2	4.0	0.5	1.0	2.0	1.5	0.35	0.5	0.8	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x12-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x12-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	10.0	12.0	25.0	3.8	1.2	4.0	0.5	1.0	2.0	1.5	0.35	0.5	0.8	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x14-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x14-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	12.0	14.0	25.0	3.8	1.2	4.0	0.5	1.0	2.0	1.5	0.35	0.5	0.8	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x16-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x16-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	14.0	16.0	25.0	3.8	1.2	4.0	0.5	1.0	2.0	1.5	0.35	0.5	0.8	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x20-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x20-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	18.0	20.0	25.0	3.8	1.2	4.0	0.5	1.0	2.0	1.5	0.35	0.5	0.8	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x25-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x25-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	23.0	25.0	25.0	3.8	1.2	4.0	0.5	1.0	2.0	1.5	0.35	0.5	0.8	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2x30-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2x30-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2	2.0	0.4	28.0	30.0	25.0	3.8	1.2	4.0	0.5	1.0	2.0	1.5	0.35	0.5	0.8	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x3-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x3-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	0.6	3.0	25.0	4.7	1.5	5.0	0.6	1.1	3.0	1.85	0.55	0.6	0.9	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x4-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x4-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	1.6	4.0	25.0	4.7	1.5	5.0	0.6	1.1	3.0	1.85	0.55	0.6	0.9	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x5-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x5-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	2.6	5.0	25.0	4.7	1.5	5.0	0.6	1.1	3.0	1.85	0.55	0.6	0.9	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x6-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x6-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	3.6	6.0	25.0	4.7	1.5	5.0	0.6	1.1	3.0	1.85	0.55	0.6	0.9	H	A	St	EN ISO 7047	1994
EN ISO 7047 SCREW M2.5x8-H STEEL GRADE A COUNTERSUNK RAISED HEAD	EN_ISO_7047_M2.5x8-H_STEEL_GRADE_A_COUNTERSUNK_RAISED_HEAD_SCREW	M2.5	2.5	0.45	5.6	8.0	25.0	4.7	1.5	5.0	0.6	1.1	3.0	1.85	0.55	0.6	0.9	H	A	St	EN ISO 7047	1994
