PartNumber	PartName	d_dia(mm)	a(mm)	l_length_nom(mm)	l_max(mm)	l_min(mm)	r1(mm)	r2(mm)	Material	Reference	Edition
ISO 2339 PIN 0.6x4 STEEL TAPER UNHARDENED	ISO_2339_0.6x4_STEEL_UNHARDENED_TAPER_PIN	0.6	0.08	4.0	4.25	3.75	0.6	0.65	St	ISO 2339	1986
ISO 2339 PIN 0.6x5 STEEL TAPER UNHARDENED	ISO_2339_0.6x5_STEEL_UNHARDENED_TAPER_PIN	0.6	0.08	5.0	5.25	4.75	0.6	0.656	St	ISO 2339	1986
ISO 2339 PIN 0.6x6 STEEL TAPER UNHARDENED	ISO_2339_0.6x6_STEEL_UNHARDENED_TAPER_PIN	0.6	0.08	6.0	6.25	5.75	0.6	0.663	St	ISO 2339	1986
ISO 2339 PIN 0.6x8 STEEL TAPER UNHARDENED	ISO_2339_0.6x8_STEEL_UNHARDENED_TAPER_PIN	0.6	0.08	8.0	8.25	7.75	0.6	0.68	St	ISO 2339	1986
ISO 2339 PIN 0.8x5 STEEL TAPER UNHARDENED	ISO_2339_0.8x5_STEEL_UNHARDENED_TAPER_PIN	0.8	0.1	5.0	5.25	4.75	0.8	0.863	St	ISO 2339	1986
ISO 2339 PIN 0.8x6 STEEL TAPER UNHARDENED	ISO_2339_0.8x6_STEEL_UNHARDENED_TAPER_PIN	0.8	0.1	6.0	6.25	5.75	0.8	0.868	St	ISO 2339	1986
ISO 2339 PIN 0.8x8 STEEL TAPER UNHARDENED	ISO_2339_0.8x8_STEEL_UNHARDENED_TAPER_PIN	0.8	0.1	8.0	8.25	7.75	0.8	0.882	St	ISO 2339	1986
ISO 2339 PIN 0.8x10 STEEL TAPER UNHARDENED	ISO_2339_0.8x10_STEEL_UNHARDENED_TAPER_PIN	0.8	0.1	10.0	10.25	9.75	0.8	0.9	St	ISO 2339	1986
ISO 2339 PIN 0.8x12 STEEL TAPER UNHARDENED	ISO_2339_0.8x12_STEEL_UNHARDENED_TAPER_PIN	0.8	0.1	12.0	12.5	11.5	0.8	0.922	St	ISO 2339	1986
ISO 2339 PIN 1x6 STEEL TAPER UNHARDENED	ISO_2339_1x6_STEEL_UNHARDENED_TAPER_PIN	1.0	0.12	6.0	6.25	5.75	1.0	1.075	St	ISO 2339	1986
ISO 2339 PIN 1x8 STEEL TAPER UNHARDENED	ISO_2339_1x8_STEEL_UNHARDENED_TAPER_PIN	1.0	0.12	8.0	8.25	7.75	1.0	1.087	St	ISO 2339	1986
ISO 2339 PIN 1x10 STEEL TAPER UNHARDENED	ISO_2339_1x10_STEEL_UNHARDENED_TAPER_PIN	1.0	0.12	10.0	10.25	9.75	1.0	1.102	St	ISO 2339	1986
