PartNumber	PartName	d_pin_dia(mm)	l_pin_length(mm)	dk_head_dia(mm)	c_max(mm)	e(mm)	k_head_depth(mm)	le_min(mm)	r(mm)	dl_hole_dia(mm)	Material	Reference	Edition
ISO 2341 CLEVIS PIN 3x6 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_3x6_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	3.0	6.0	5.0	1.0	0.5	1.0	1.6	0.6	0.8	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 3x8 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_3x8_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	3.0	8.0	5.0	1.0	0.5	1.0	1.6	0.6	0.8	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 3x10 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_3x10_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	3.0	10.0	5.0	1.0	0.5	1.0	1.6	0.6	0.8	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 3x12 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_3x12_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	3.0	12.0	5.0	1.0	0.5	1.0	1.6	0.6	0.8	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 3x14 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_3x14_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	3.0	14.0	5.0	1.0	0.5	1.0	1.6	0.6	0.8	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 3x16 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_3x16_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	3.0	16.0	5.0	1.0	0.5	1.0	1.6	0.6	0.8	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 3x18 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_3x18_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	3.0	18.0	5.0	1.0	0.5	1.0	1.6	0.6	0.8	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 3x20 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_3x20_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	3.0	20.0	5.0	1.0	0.5	1.0	1.6	0.6	0.8	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 3x22 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_3x22_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	3.0	22.0	5.0	1.0	0.5	1.0	1.6	0.6	0.8	St	ISO 2341	1986
ISO 2341 CLEVIS PIN 3x24 STEEL WITH HEAD TYPE B WITH SPLIT PIN HOLE	ISO_2341_3x24_STEEL_WITH_HEAD_TYPE_B_WITH_SPLIT_PIN_HOLE_CLEVIS_PIN	3.0	24.0	5.0	1.0	0.5	1.0	1.6	0.6	0.8	St	ISO 2341	1986
