PartNumber	PartName	designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_length(mm)	n_nom(mm)	t_max(mm)	Material	Reference	Edition
ISO 2342 SCREW M1x2.5 SLOTTED HEADLESS WITH SHANK	ISO_2342_M1x2.5_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M1	1.0	0.25	1.2	2.5	0.2	0.78	St	ISO 2342	2003
ISO 2342 SCREW M1x3 SLOTTED HEADLESS WITH SHANK	ISO_2342_M1x3_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M1	1.0	0.25	1.2	3.0	0.2	0.78	St	ISO 2342	2003
ISO 2342 SCREW M1x4 SLOTTED HEADLESS WITH SHANK	ISO_2342_M1x4_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M1	1.0	0.25	1.2	4.0	0.2	0.78	St	ISO 2342	2003
ISO 2342 SCREW M1.2x3 SLOTTED HEADLESS WITH SHANK	ISO_2342_M1.2x3_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M1.2	1.2	0.25	1.4	3.0	0.25	0.79	St	ISO 2342	2003
ISO 2342 SCREW M1.2x4 SLOTTED HEADLESS WITH SHANK	ISO_2342_M1.2x4_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M1.2	1.2	0.25	1.4	4.0	0.25	0.79	St	ISO 2342	2003
ISO 2342 SCREW M1.2x5 SLOTTED HEADLESS WITH SHANK	ISO_2342_M1.2x5_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M1.2	1.2	0.25	1.4	5.0	0.25	0.79	St	ISO 2342	2003
ISO 2342 SCREW M1.6x4 SLOTTED HEADLESS WITH SHANK	ISO_2342_M1.6x4_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M1.6	1.6	0.35	1.9	4.0	0.3	1.06	St	ISO 2342	2003
ISO 2342 SCREW M1.6x5 SLOTTED HEADLESS WITH SHANK	ISO_2342_M1.6x5_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M1.6	1.6	0.35	1.9	5.0	0.3	1.06	St	ISO 2342	2003
ISO 2342 SCREW M1.6x6 SLOTTED HEADLESS WITH SHANK	ISO_2342_M1.6x6_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M1.6	1.6	0.35	1.9	6.0	0.3	1.06	St	ISO 2342	2003
ISO 2342 SCREW M2x5 SLOTTED HEADLESS WITH SHANK	ISO_2342_M2x5_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M2	2.0	0.4	2.4	5.0	0.3	1.2	St	ISO 2342	2003
ISO 2342 SCREW M2x6 SLOTTED HEADLESS WITH SHANK	ISO_2342_M2x6_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M2	2.0	0.4	2.4	6.0	0.3	1.2	St	ISO 2342	2003
ISO 2342 SCREW M2x8 SLOTTED HEADLESS WITH SHANK	ISO_2342_M2x8_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M2	2.0	0.4	2.4	8.0	0.3	1.2	St	ISO 2342	2003
ISO 2342 SCREW M2.5x5 SLOTTED HEADLESS WITH SHANK	ISO_2342_M2.5x5_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M2.5	2.5	0.45	3.0	5.0	0.4	1.33	St	ISO 2342	2003
ISO 2342 SCREW M2.5x6 SLOTTED HEADLESS WITH SHANK	ISO_2342_M2.5x6_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M2.5	2.5	0.45	3.0	6.0	0.4	1.33	St	ISO 2342	2003
ISO 2342 SCREW M2.5x8 SLOTTED HEADLESS WITH SHANK	ISO_2342_M2.5x8_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M2.5	2.5	0.45	3.0	8.0	0.4	1.33	St	ISO 2342	2003
ISO 2342 SCREW M2.5x10 SLOTTED HEADLESS WITH SHANK	ISO_2342_M2.5x10_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M2.5	2.5	0.45	3.0	10.0	0.4	1.33	St	ISO 2342	2003
ISO 2342 SCREW M3x6 SLOTTED HEADLESS WITH SHANK	ISO_2342_M3x6_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M3	3.0	0.5	3.6	6.0	0.5	1.5	St	ISO 2342	2003
ISO 2342 SCREW M3x8 SLOTTED HEADLESS WITH SHANK	ISO_2342_M3x8_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M3	3.0	0.5	3.6	8.0	0.5	1.5	St	ISO 2342	2003
ISO 2342 SCREW M3x10 SLOTTED HEADLESS WITH SHANK	ISO_2342_M3x10_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M3	3.0	0.5	3.6	10.0	0.5	1.5	St	ISO 2342	2003
ISO 2342 SCREW M3x12 SLOTTED HEADLESS WITH SHANK	ISO_2342_M3x12_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M3	3.0	0.5	3.6	12.0	0.5	1.5	St	ISO 2342	2003
ISO 2342 SCREW M4x8 SLOTTED HEADLESS WITH SHANK	ISO_2342_M4x8_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M4	4.0	0.7	4.8	8.0	0.6	2.05	St	ISO 2342	2003
ISO 2342 SCREW M4x10 SLOTTED HEADLESS WITH SHANK	ISO_2342_M4x10_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M4	4.0	0.7	4.8	10.0	0.6	2.05	St	ISO 2342	2003
ISO 2342 SCREW M4x12 SLOTTED HEADLESS WITH SHANK	ISO_2342_M4x12_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M4	4.0	0.7	4.8	12.0	0.6	2.05	St	ISO 2342	2003
ISO 2342 SCREW M5x10 SLOTTED HEADLESS WITH SHANK	ISO_2342_M5x10_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M5	5.0	0.8	6.0	10.0	0.8	2.35	St	ISO 2342	2003
ISO 2342 SCREW M5x12 SLOTTED HEADLESS WITH SHANK	ISO_2342_M5x12_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M5	5.0	0.8	6.0	12.0	0.8	2.35	St	ISO 2342	2003
ISO 2342 SCREW M5x16 SLOTTED HEADLESS WITH SHANK	ISO_2342_M5x16_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M5	5.0	0.8	6.0	16.0	0.8	2.35	St	ISO 2342	2003
ISO 2342 SCREW M5x20 SLOTTED HEADLESS WITH SHANK	ISO_2342_M5x20_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M5	5.0	0.8	6.0	20.0	0.8	2.35	St	ISO 2342	2003
ISO 2342 SCREW M6x12 SLOTTED HEADLESS WITH SHANK	ISO_2342_M6x12_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M6	6.0	1.0	7.2	12.0	1.0	2.9	St	ISO 2342	2003
ISO 2342 SCREW M6x16 SLOTTED HEADLESS WITH SHANK	ISO_2342_M6x16_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M6	6.0	1.0	7.2	16.0	1.0	2.9	St	ISO 2342	2003
ISO 2342 SCREW M6x20 SLOTTED HEADLESS WITH SHANK	ISO_2342_M6x20_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M6	6.0	1.0	7.2	20.0	1.0	2.9	St	ISO 2342	2003
ISO 2342 SCREW M6x25 SLOTTED HEADLESS WITH SHANK	ISO_2342_M6x25_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M6	6.0	1.0	7.2	25.0	1.0	2.9	St	ISO 2342	2003
ISO 2342 SCREW M8x16 SLOTTED HEADLESS WITH SHANK	ISO_2342_M8x16_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M8	8.0	1.25	9.6	16.0	1.2	3.6	St	ISO 2342	2003
ISO 2342 SCREW M8x20 SLOTTED HEADLESS WITH SHANK	ISO_2342_M8x20_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M8	8.0	1.25	9.6	20.0	1.2	3.6	St	ISO 2342	2003
ISO 2342 SCREW M8x25 SLOTTED HEADLESS WITH SHANK	ISO_2342_M8x25_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M8	8.0	1.25	9.6	25.0	1.2	3.6	St	ISO 2342	2003
ISO 2342 SCREW M8x30 SLOTTED HEADLESS WITH SHANK	ISO_2342_M8x30_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M8	8.0	1.25	9.6	30.0	1.2	3.6	St	ISO 2342	2003
ISO 2342 SCREW M10x16 SLOTTED HEADLESS WITH SHANK	ISO_2342_M10x16_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M10	10.0	1.5	12.0	16.0	1.6	4.25	St	ISO 2342	2003
ISO 2342 SCREW M10x20 SLOTTED HEADLESS WITH SHANK	ISO_2342_M10x20_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M10	10.0	1.5	12.0	20.0	1.6	4.25	St	ISO 2342	2003
ISO 2342 SCREW M10x25 SLOTTED HEADLESS WITH SHANK	ISO_2342_M10x25_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M10	10.0	1.5	12.0	25.0	1.6	4.25	St	ISO 2342	2003
ISO 2342 SCREW M10x30 SLOTTED HEADLESS WITH SHANK	ISO_2342_M10x30_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M10	10.0	1.5	12.0	30.0	1.6	4.25	St	ISO 2342	2003
ISO 2342 SCREW M10x35 SLOTTED HEADLESS WITH SHANK	ISO_2342_M10x35_SLOTTED_HEADLESS_WITH_SHANK_SCREW	M10	10.0	1.5	12.0	35.0	1.6	4.25	St	ISO 2342	2003
