PartNumber	PartName	l_length(mm)	b_width(mm)	h_thickness(mm)	s_chamfer_min(mm)	s_chamfer_max(mm)	Form	Material	Reference	Edition
ISO 2491 KEY 10x5x3 THIN PARALLEL FORM B	ISO_2491_10x5x3_FORM_B_THIN_PARALLEL_KEY	10.0	5.0	3.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 12x5x3 THIN PARALLEL FORM B	ISO_2491_12x5x3_FORM_B_THIN_PARALLEL_KEY	12.0	5.0	3.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 14x5x3 THIN PARALLEL FORM B	ISO_2491_14x5x3_FORM_B_THIN_PARALLEL_KEY	14.0	5.0	3.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 16x5x3 THIN PARALLEL FORM B	ISO_2491_16x5x3_FORM_B_THIN_PARALLEL_KEY	16.0	5.0	3.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 18x5x3 THIN PARALLEL FORM B	ISO_2491_18x5x3_FORM_B_THIN_PARALLEL_KEY	18.0	5.0	3.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 20x5x3 THIN PARALLEL FORM B	ISO_2491_20x5x3_FORM_B_THIN_PARALLEL_KEY	20.0	5.0	3.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 22x5x3 THIN PARALLEL FORM B	ISO_2491_22x5x3_FORM_B_THIN_PARALLEL_KEY	22.0	5.0	3.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 25x5x3 THIN PARALLEL FORM B	ISO_2491_25x5x3_FORM_B_THIN_PARALLEL_KEY	25.0	5.0	3.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 28x5x3 THIN PARALLEL FORM B	ISO_2491_28x5x3_FORM_B_THIN_PARALLEL_KEY	28.0	5.0	3.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 32x5x3 THIN PARALLEL FORM B	ISO_2491_32x5x3_FORM_B_THIN_PARALLEL_KEY	32.0	5.0	3.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 36x5x3 THIN PARALLEL FORM B	ISO_2491_36x5x3_FORM_B_THIN_PARALLEL_KEY	36.0	5.0	3.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 40x5x3 THIN PARALLEL FORM B	ISO_2491_40x5x3_FORM_B_THIN_PARALLEL_KEY	40.0	5.0	3.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 45x5x3 THIN PARALLEL FORM B	ISO_2491_45x5x3_FORM_B_THIN_PARALLEL_KEY	45.0	5.0	3.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 50x5x3 THIN PARALLEL FORM B	ISO_2491_50x5x3_FORM_B_THIN_PARALLEL_KEY	50.0	5.0	3.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 56x5x3 THIN PARALLEL FORM B	ISO_2491_56x5x3_FORM_B_THIN_PARALLEL_KEY	56.0	5.0	3.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 14x6x4 THIN PARALLEL FORM B	ISO_2491_14x6x4_FORM_B_THIN_PARALLEL_KEY	14.0	6.0	4.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 16x6x4 THIN PARALLEL FORM B	ISO_2491_16x6x4_FORM_B_THIN_PARALLEL_KEY	16.0	6.0	4.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 18x6x4 THIN PARALLEL FORM B	ISO_2491_18x6x4_FORM_B_THIN_PARALLEL_KEY	18.0	6.0	4.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 20x6x4 THIN PARALLEL FORM B	ISO_2491_20x6x4_FORM_B_THIN_PARALLEL_KEY	20.0	6.0	4.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 22x6x4 THIN PARALLEL FORM B	ISO_2491_22x6x4_FORM_B_THIN_PARALLEL_KEY	22.0	6.0	4.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 25x6x4 THIN PARALLEL FORM B	ISO_2491_25x6x4_FORM_B_THIN_PARALLEL_KEY	25.0	6.0	4.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 28x6x4 THIN PARALLEL FORM B	ISO_2491_28x6x4_FORM_B_THIN_PARALLEL_KEY	28.0	6.0	4.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 32x6x4 THIN PARALLEL FORM B	ISO_2491_32x6x4_FORM_B_THIN_PARALLEL_KEY	32.0	6.0	4.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 36x6x4 THIN PARALLEL FORM B	ISO_2491_36x6x4_FORM_B_THIN_PARALLEL_KEY	36.0	6.0	4.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 40x6x4 THIN PARALLEL FORM B	ISO_2491_40x6x4_FORM_B_THIN_PARALLEL_KEY	40.0	6.0	4.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 45x6x4 THIN PARALLEL FORM B	ISO_2491_45x6x4_FORM_B_THIN_PARALLEL_KEY	45.0	6.0	4.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 50x6x4 THIN PARALLEL FORM B	ISO_2491_50x6x4_FORM_B_THIN_PARALLEL_KEY	50.0	6.0	4.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 56x6x4 THIN PARALLEL FORM B	ISO_2491_56x6x4_FORM_B_THIN_PARALLEL_KEY	56.0	6.0	4.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 63x6x4 THIN PARALLEL FORM B	ISO_2491_63x6x4_FORM_B_THIN_PARALLEL_KEY	63.0	6.0	4.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 70x6x4 THIN PARALLEL FORM B	ISO_2491_70x6x4_FORM_B_THIN_PARALLEL_KEY	70.0	6.0	4.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 18x8x5 THIN PARALLEL FORM B	ISO_2491_18x8x5_FORM_B_THIN_PARALLEL_KEY	18.0	8.0	5.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 20x8x5 THIN PARALLEL FORM B	ISO_2491_20x8x5_FORM_B_THIN_PARALLEL_KEY	20.0	8.0	5.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 22x8x5 THIN PARALLEL FORM B	ISO_2491_22x8x5_FORM_B_THIN_PARALLEL_KEY	22.0	8.0	5.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 25x8x5 THIN PARALLEL FORM B	ISO_2491_25x8x5_FORM_B_THIN_PARALLEL_KEY	25.0	8.0	5.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 28x8x5 THIN PARALLEL FORM B	ISO_2491_28x8x5_FORM_B_THIN_PARALLEL_KEY	28.0	8.0	5.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 32x8x5 THIN PARALLEL FORM B	ISO_2491_32x8x5_FORM_B_THIN_PARALLEL_KEY	32.0	8.0	5.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 36x8x5 THIN PARALLEL FORM B	ISO_2491_36x8x5_FORM_B_THIN_PARALLEL_KEY	36.0	8.0	5.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 40x8x5 THIN PARALLEL FORM B	ISO_2491_40x8x5_FORM_B_THIN_PARALLEL_KEY	40.0	8.0	5.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 45x8x5 THIN PARALLEL FORM B	ISO_2491_45x8x5_FORM_B_THIN_PARALLEL_KEY	45.0	8.0	5.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 50x8x5 THIN PARALLEL FORM B	ISO_2491_50x8x5_FORM_B_THIN_PARALLEL_KEY	50.0	8.0	5.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 56x8x5 THIN PARALLEL FORM B	ISO_2491_56x8x5_FORM_B_THIN_PARALLEL_KEY	56.0	8.0	5.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 63x8x5 THIN PARALLEL FORM B	ISO_2491_63x8x5_FORM_B_THIN_PARALLEL_KEY	63.0	8.0	5.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 70x8x5 THIN PARALLEL FORM B	ISO_2491_70x8x5_FORM_B_THIN_PARALLEL_KEY	70.0	8.0	5.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 80x8x5 THIN PARALLEL FORM B	ISO_2491_80x8x5_FORM_B_THIN_PARALLEL_KEY	80.0	8.0	5.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 90x8x5 THIN PARALLEL FORM B	ISO_2491_90x8x5_FORM_B_THIN_PARALLEL_KEY	90.0	8.0	5.0	0.25	0.4	B	St	ISO 2491	1974
ISO 2491 KEY 22x10x6 THIN PARALLEL FORM B	ISO_2491_22x10x6_FORM_B_THIN_PARALLEL_KEY	22.0	10.0	6.0	0.4	0.6	B	St	ISO 2491	1974
ISO 2491 KEY 25x10x6 THIN PARALLEL FORM B	ISO_2491_25x10x6_FORM_B_THIN_PARALLEL_KEY	25.0	10.0	6.0	0.4	0.6	B	St	ISO 2491	1974
ISO 2491 KEY 28x10x6 THIN PARALLEL FORM B	ISO_2491_28x10x6_FORM_B_THIN_PARALLEL_KEY	28.0	10.0	6.0	0.4	0.6	B	St	ISO 2491	1974
ISO 2491 KEY 32x10x6 THIN PARALLEL FORM B	ISO_2491_32x10x6_FORM_B_THIN_PARALLEL_KEY	32.0	10.0	6.0	0.4	0.6	B	St	ISO 2491	1974
