PartNumber	PartName	b_width(mm)	h_thickness(mm)	l_length(mm)	s_chamfer_min(mm)	s_chamfer_max(mm)	h1_gib_head(mm)	Material	Reference	Edition
ISO 2492 KEY 8x5x20 THIN TAPER WITH GIB HEAD	ISO_2492_8x5x20_WITH_GIB_HEAD_THIN_TAPER_KEY	8.0	5.0	20.0	0.25	0.4	8.0	St	ISO 2492	1974
ISO 2492 KEY 8x5x22 THIN TAPER WITH GIB HEAD	ISO_2492_8x5x22_WITH_GIB_HEAD_THIN_TAPER_KEY	8.0	5.0	22.0	0.25	0.4	8.0	St	ISO 2492	1974
ISO 2492 KEY 8x5x25 THIN TAPER WITH GIB HEAD	ISO_2492_8x5x25_WITH_GIB_HEAD_THIN_TAPER_KEY	8.0	5.0	25.0	0.25	0.4	8.0	St	ISO 2492	1974
ISO 2492 KEY 8x5x28 THIN TAPER WITH GIB HEAD	ISO_2492_8x5x28_WITH_GIB_HEAD_THIN_TAPER_KEY	8.0	5.0	28.0	0.25	0.4	8.0	St	ISO 2492	1974
ISO 2492 KEY 8x5x32 THIN TAPER WITH GIB HEAD	ISO_2492_8x5x32_WITH_GIB_HEAD_THIN_TAPER_KEY	8.0	5.0	32.0	0.25	0.4	8.0	St	ISO 2492	1974
ISO 2492 KEY 8x5x36 THIN TAPER WITH GIB HEAD	ISO_2492_8x5x36_WITH_GIB_HEAD_THIN_TAPER_KEY	8.0	5.0	36.0	0.25	0.4	8.0	St	ISO 2492	1974
ISO 2492 KEY 8x5x40 THIN TAPER WITH GIB HEAD	ISO_2492_8x5x40_WITH_GIB_HEAD_THIN_TAPER_KEY	8.0	5.0	40.0	0.25	0.4	8.0	St	ISO 2492	1974
ISO 2492 KEY 8x5x45 THIN TAPER WITH GIB HEAD	ISO_2492_8x5x45_WITH_GIB_HEAD_THIN_TAPER_KEY	8.0	5.0	45.0	0.25	0.4	8.0	St	ISO 2492	1974
ISO 2492 KEY 8x5x50 THIN TAPER WITH GIB HEAD	ISO_2492_8x5x50_WITH_GIB_HEAD_THIN_TAPER_KEY	8.0	5.0	50.0	0.25	0.4	8.0	St	ISO 2492	1974
ISO 2492 KEY 8x5x56 THIN TAPER WITH GIB HEAD	ISO_2492_8x5x56_WITH_GIB_HEAD_THIN_TAPER_KEY	8.0	5.0	56.0	0.25	0.4	8.0	St	ISO 2492	1974
ISO 2492 KEY 8x5x63 THIN TAPER WITH GIB HEAD	ISO_2492_8x5x63_WITH_GIB_HEAD_THIN_TAPER_KEY	8.0	5.0	63.0	0.25	0.4	8.0	St	ISO 2492	1974
ISO 2492 KEY 8x5x70 THIN TAPER WITH GIB HEAD	ISO_2492_8x5x70_WITH_GIB_HEAD_THIN_TAPER_KEY	8.0	5.0	70.0	0.25	0.4	8.0	St	ISO 2492	1974
ISO 2492 KEY 10x6x25 THIN TAPER WITH GIB HEAD	ISO_2492_10x6x25_WITH_GIB_HEAD_THIN_TAPER_KEY	10.0	6.0	25.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 10x6x28 THIN TAPER WITH GIB HEAD	ISO_2492_10x6x28_WITH_GIB_HEAD_THIN_TAPER_KEY	10.0	6.0	28.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 10x6x32 THIN TAPER WITH GIB HEAD	ISO_2492_10x6x32_WITH_GIB_HEAD_THIN_TAPER_KEY	10.0	6.0	32.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 10x6x36 THIN TAPER WITH GIB HEAD	ISO_2492_10x6x36_WITH_GIB_HEAD_THIN_TAPER_KEY	10.0	6.0	36.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 10x6x40 THIN TAPER WITH GIB HEAD	ISO_2492_10x6x40_WITH_GIB_HEAD_THIN_TAPER_KEY	10.0	6.0	40.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 10x6x45 THIN TAPER WITH GIB HEAD	ISO_2492_10x6x45_WITH_GIB_HEAD_THIN_TAPER_KEY	10.0	6.0	45.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 10x6x50 THIN TAPER WITH GIB HEAD	ISO_2492_10x6x50_WITH_GIB_HEAD_THIN_TAPER_KEY	10.0	6.0	50.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 10x6x56 THIN TAPER WITH GIB HEAD	ISO_2492_10x6x56_WITH_GIB_HEAD_THIN_TAPER_KEY	10.0	6.0	56.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 10x6x63 THIN TAPER WITH GIB HEAD	ISO_2492_10x6x63_WITH_GIB_HEAD_THIN_TAPER_KEY	10.0	6.0	63.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 10x6x70 THIN TAPER WITH GIB HEAD	ISO_2492_10x6x70_WITH_GIB_HEAD_THIN_TAPER_KEY	10.0	6.0	70.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 10x6x80 THIN TAPER WITH GIB HEAD	ISO_2492_10x6x80_WITH_GIB_HEAD_THIN_TAPER_KEY	10.0	6.0	80.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 10x6x90 THIN TAPER WITH GIB HEAD	ISO_2492_10x6x90_WITH_GIB_HEAD_THIN_TAPER_KEY	10.0	6.0	90.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 12x6x32 THIN TAPER WITH GIB HEAD	ISO_2492_12x6x32_WITH_GIB_HEAD_THIN_TAPER_KEY	12.0	6.0	32.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 12x6x36 THIN TAPER WITH GIB HEAD	ISO_2492_12x6x36_WITH_GIB_HEAD_THIN_TAPER_KEY	12.0	6.0	36.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 12x6x40 THIN TAPER WITH GIB HEAD	ISO_2492_12x6x40_WITH_GIB_HEAD_THIN_TAPER_KEY	12.0	6.0	40.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 12x6x45 THIN TAPER WITH GIB HEAD	ISO_2492_12x6x45_WITH_GIB_HEAD_THIN_TAPER_KEY	12.0	6.0	45.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 12x6x50 THIN TAPER WITH GIB HEAD	ISO_2492_12x6x50_WITH_GIB_HEAD_THIN_TAPER_KEY	12.0	6.0	50.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 12x6x56 THIN TAPER WITH GIB HEAD	ISO_2492_12x6x56_WITH_GIB_HEAD_THIN_TAPER_KEY	12.0	6.0	56.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 12x6x63 THIN TAPER WITH GIB HEAD	ISO_2492_12x6x63_WITH_GIB_HEAD_THIN_TAPER_KEY	12.0	6.0	63.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 12x6x70 THIN TAPER WITH GIB HEAD	ISO_2492_12x6x70_WITH_GIB_HEAD_THIN_TAPER_KEY	12.0	6.0	70.0	0.4	0.6	10.0	St	ISO 2492	1974
ISO 2492 KEY 12x6x80 THIN TAPER WITH GIB HEAD	ISO_2492_12x6x80_WITH_GIB_HEAD_THIN_TAPER_KEY	12.0	6.0	80.0	0.4	0.6	10.0	St	ISO 2492	1974
