PartNumber	PartName	t_thickness_nom(mm)	b_width(mm)	d_dia(mm)	s_chamfer_max(mm)	s_chamfer_min(mm)	Material	Reference	Edition
ISO 3117 KEY 7x19.3xL TANGENTIAL	ISO_3117_7x19.3xL_TANGENTIAL_KEY	7	19.3	60	0.6	0.8	St	ISO 3117	1977
ISO 3117 KEY 7x19.8xL TANGENTIAL	ISO_3117_7x19.8xL_TANGENTIAL_KEY	7	19.8	63	0.6	0.8	St	ISO 3117	1977
ISO 3117 KEY 7x20.1xL TANGENTIAL	ISO_3117_7x20.1xL_TANGENTIAL_KEY	7	20.1	65	0.6	0.8	St	ISO 3117	1977
ISO 3117 KEY 7x21xL TANGENTIAL	ISO_3117_7x21xL_TANGENTIAL_KEY	7	21.0	70	0.6	0.8	St	ISO 3117	1977
ISO 3117 KEY 8x22.5xL TANGENTIAL	ISO_3117_8x22.5xL_TANGENTIAL_KEY	8	22.5	71	0.6	0.8	St	ISO 3117	1977
ISO 3117 KEY 8x23.2xL TANGENTIAL	ISO_3117_8x23.2xL_TANGENTIAL_KEY	8	23.2	75	0.6	0.8	St	ISO 3117	1977
ISO 3117 KEY 8x24xL TANGENTIAL	ISO_3117_8x24xL_TANGENTIAL_KEY	8	24.0	80	0.6	0.8	St	ISO 3117	1977
ISO 3117 KEY 8x24.8xL TANGENTIAL	ISO_3117_8x24.8xL_TANGENTIAL_KEY	8	24.8	85	0.6	0.8	St	ISO 3117	1977
ISO 3117 KEY 8x25.6xL TANGENTIAL	ISO_3117_8x25.6xL_TANGENTIAL_KEY	8	25.6	90	0.6	0.8	St	ISO 3117	1977
ISO 3117 KEY 9x27.8xL TANGENTIAL	ISO_3117_9x27.8xL_TANGENTIAL_KEY	9	27.8	95	0.6	0.8	St	ISO 3117	1977
ISO 3117 KEY 9x28.6xL TANGENTIAL	ISO_3117_9x28.6xL_TANGENTIAL_KEY	9	28.6	100	0.6	0.8	St	ISO 3117	1977
ISO 3117 KEY 9x30.1xL TANGENTIAL	ISO_3117_9x30.1xL_TANGENTIAL_KEY	9	30.1	110	0.6	0.8	St	ISO 3117	1977
ISO 3117 KEY 10x33.2xL TANGENTIAL	ISO_3117_10x33.2xL_TANGENTIAL_KEY	10	33.2	120	1.0	1.2	St	ISO 3117	1977
ISO 3117 KEY 10x33.9xL TANGENTIAL	ISO_3117_10x33.9xL_TANGENTIAL_KEY	10	33.9	125	1.0	1.2	St	ISO 3117	1977
ISO 3117 KEY 10x34.6xL TANGENTIAL	ISO_3117_10x34.6xL_TANGENTIAL_KEY	10	34.6	130	1.0	1.2	St	ISO 3117	1977
ISO 3117 KEY 11x37.7xL TANGENTIAL	ISO_3117_11x37.7xL_TANGENTIAL_KEY	11	37.7	140	1.0	1.2	St	ISO 3117	1977
ISO 3117 KEY 11x39.1xL TANGENTIAL	ISO_3117_11x39.1xL_TANGENTIAL_KEY	11	39.1	150	1.0	1.2	St	ISO 3117	1977
ISO 3117 KEY 12x42.1xL TANGENTIAL	ISO_3117_12x42.1xL_TANGENTIAL_KEY	12	42.1	160	1.0	1.2	St	ISO 3117	1977
ISO 3117 KEY 12x43.5xL TANGENTIAL	ISO_3117_12x43.5xL_TANGENTIAL_KEY	12	43.5	170	1.0	1.2	St	ISO 3117	1977
