PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	c_max(mm)	c_min(mm)	da_max(mm)	ds_max(mm)	dw_min(mm)	e_min(mm)	lf_max(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	ls_shoulder_length(mm)	lg_shoulder_length(mm)	Grade	Material	Reference	Edition
ISO 4014 BOLT M1.6x12 STEEL GRADE A HEXAGON HEAD	ISO_4014_M1.6x12_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M1.6	1.6	0.35	9.0	12.0	0.25	0.1	2.0	1.6	2.27	3.41	0.6	1.225	0.68	0.1	3.2	1.2	3.0	A	St	ISO 4014	1999
ISO 4014 BOLT M1.6x16 STEEL GRADE A HEXAGON HEAD	ISO_4014_M1.6x16_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M1.6	1.6	0.35	9.0	16.0	0.25	0.1	2.0	1.6	2.27	3.41	0.6	1.225	0.68	0.1	3.2	5.2	7.0	A	St	ISO 4014	1999
ISO 4014 BOLT M2x16 STEEL GRADE A HEXAGON HEAD	ISO_4014_M2x16_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M2	2.0	0.4	10.0	16.0	0.25	0.1	2.6	2.0	3.07	4.32	0.8	1.525	0.89	0.1	4.0	4.0	6.0	A	St	ISO 4014	1999
ISO 4014 BOLT M2x20 STEEL GRADE A HEXAGON HEAD	ISO_4014_M2x20_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M2	2.0	0.4	10.0	20.0	0.25	0.1	2.6	2.0	3.07	4.32	0.8	1.525	0.89	0.1	4.0	8.0	10.0	A	St	ISO 4014	1999
ISO 4014 BOLT M2.5x16 STEEL GRADE A HEXAGON HEAD	ISO_4014_M2.5x16_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M2.5	2.5	0.45	11.0	16.0	0.25	0.1	3.1	2.5	4.07	5.45	1.0	1.825	1.1	0.1	5.0	2.75	5.0	A	St	ISO 4014	1999
ISO 4014 BOLT M2.5x20 STEEL GRADE A HEXAGON HEAD	ISO_4014_M2.5x20_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M2.5	2.5	0.45	11.0	20.0	0.25	0.1	3.1	2.5	4.07	5.45	1.0	1.825	1.1	0.1	5.0	6.75	9.0	A	St	ISO 4014	1999
ISO 4014 BOLT M2.5x25 STEEL GRADE A HEXAGON HEAD	ISO_4014_M2.5x25_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M2.5	2.5	0.45	11.0	25.0	0.25	0.1	3.1	2.5	4.07	5.45	1.0	1.825	1.1	0.1	5.0	11.75	14.0	A	St	ISO 4014	1999
ISO 4014 BOLT M3x20 STEEL GRADE A HEXAGON HEAD	ISO_4014_M3x20_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M3	3.0	0.5	12.0	20.0	0.4	0.15	3.6	3.0	4.57	6.01	1.0	2.125	1.31	0.1	5.5	5.5	8.0	A	St	ISO 4014	1999
ISO 4014 BOLT M3x25 STEEL GRADE A HEXAGON HEAD	ISO_4014_M3x25_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M3	3.0	0.5	12.0	25.0	0.4	0.15	3.6	3.0	4.57	6.01	1.0	2.125	1.31	0.1	5.5	10.5	13.0	A	St	ISO 4014	1999
ISO 4014 BOLT M3x30 STEEL GRADE A HEXAGON HEAD	ISO_4014_M3x30_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M3	3.0	0.5	12.0	30.0	0.4	0.15	3.6	3.0	4.57	6.01	1.0	2.125	1.31	0.1	5.5	15.5	18.0	A	St	ISO 4014	1999
