PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	c_max(mm)	c_min(mm)	da_max(mm)	ds_max(mm)	dw_min(mm)	e_min(mm)	lf_max(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	ls_shoulder_length(mm)	lg_shoulder_length(mm)	Grade	Material	Reference	Edition
ISO 4014 BOLT M3.5x20 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M3.5x20_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M3.5	3.5	0.6	13.0	20.0	0.4	0.15	4.1	3.5	5.07	6.58	1.0	2.525	1.59	0.1	6.0	4.0	7.0	A	St	ISO 4014	1999
ISO 4014 BOLT M3.5x25 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M3.5x25_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M3.5	3.5	0.6	13.0	25.0	0.4	0.15	4.1	3.5	5.07	6.58	1.0	2.525	1.59	0.1	6.0	9.0	12.0	A	St	ISO 4014	1999
ISO 4014 BOLT M3.5x30 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M3.5x30_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M3.5	3.5	0.6	13.0	30.0	0.4	0.15	4.1	3.5	5.07	6.58	1.0	2.525	1.59	0.1	6.0	14.0	17.0	A	St	ISO 4014	1999
ISO 4014 BOLT M3.5x35 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M3.5x35_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M3.5	3.5	0.6	13.0	35.0	0.4	0.15	4.1	3.5	5.07	6.58	1.0	2.525	1.59	0.1	6.0	19.0	22.0	A	St	ISO 4014	1999
ISO 4014 BOLT M14x60 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M14x60_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M14	14.0	2.0	34.0	60.0	0.6	0.15	15.7	14.0	19.64	23.36	3.0	8.98	6.03	0.6	21.0	16.0	26.0	A	St	ISO 4014	1999
ISO 4014 BOLT M14x65 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M14x65_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M14	14.0	2.0	34.0	65.0	0.6	0.15	15.7	14.0	19.64	23.36	3.0	8.98	6.03	0.6	21.0	21.0	31.0	A	St	ISO 4014	1999
ISO 4014 BOLT M14x70 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M14x70_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M14	14.0	2.0	34.0	70.0	0.6	0.15	15.7	14.0	19.64	23.36	3.0	8.98	6.03	0.6	21.0	26.0	36.0	A	St	ISO 4014	1999
ISO 4014 BOLT M14x80 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M14x80_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M14	14.0	2.0	34.0	80.0	0.6	0.15	15.7	14.0	19.64	23.36	3.0	8.98	6.03	0.6	21.0	36.0	46.0	A	St	ISO 4014	1999
ISO 4014 BOLT M14x90 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M14x90_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M14	14.0	2.0	34.0	90.0	0.6	0.15	15.7	14.0	19.64	23.36	3.0	8.98	6.03	0.6	21.0	46.0	56.0	A	St	ISO 4014	1999
ISO 4014 BOLT M14x100 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4014_M14x100_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_BOLT	M14	14.0	2.0	34.0	100.0	0.6	0.15	15.7	14.0	19.64	23.36	3.0	8.98	6.03	0.6	21.0	56.0	66.0	A	St	ISO 4014	1999
