PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	l_length_max(mm)	a_max(mm)	c_max(mm)	c_min(mm)	da_max(mm)	dw_min(mm)	e_min(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	Grade	Material	Reference	Edition
ISO 4017 SCREW M3.5x8 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M3.5x8_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M3.5	3.5	0.6	6.2	8.0	8.29	1.8	0.4	0.15	4.1	5.07	6.58	2.525	1.59	0.1	6.0	A	St	ISO 4017	1999
ISO 4017 SCREW M3.5x10 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M3.5x10_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M3.5	3.5	0.6	8.2	10.0	10.29	1.8	0.4	0.15	4.1	5.07	6.58	2.525	1.59	0.1	6.0	A	St	ISO 4017	1999
ISO 4017 SCREW M3.5x12 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M3.5x12_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M3.5	3.5	0.6	10.2	12.0	12.35	1.8	0.4	0.15	4.1	5.07	6.58	2.525	1.59	0.1	6.0	A	St	ISO 4017	1999
ISO 4017 SCREW M3.5x16 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M3.5x16_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M3.5	3.5	0.6	14.2	16.0	16.35	1.8	0.4	0.15	4.1	5.07	6.58	2.525	1.59	0.1	6.0	A	St	ISO 4017	1999
ISO 4017 SCREW M3.5x20 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M3.5x20_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M3.5	3.5	0.6	18.2	20.0	20.42	1.8	0.4	0.15	4.1	5.07	6.58	2.525	1.59	0.1	6.0	A	St	ISO 4017	1999
ISO 4017 SCREW M3.5x25 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M3.5x25_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M3.5	3.5	0.6	23.2	25.0	25.42	1.8	0.4	0.15	4.1	5.07	6.58	2.525	1.59	0.1	6.0	A	St	ISO 4017	1999
ISO 4017 SCREW M3.5x30 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M3.5x30_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M3.5	3.5	0.6	28.2	30.0	30.42	1.8	0.4	0.15	4.1	5.07	6.58	2.525	1.59	0.1	6.0	A	St	ISO 4017	1999
ISO 4017 SCREW M3.5x35 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M3.5x35_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M3.5	3.5	0.6	33.2	35.0	35.5	1.8	0.4	0.15	4.1	5.07	6.58	2.525	1.59	0.1	6.0	A	St	ISO 4017	1999
ISO 4017 SCREW M14x30 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M14x30_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M14	14.0	2.0	24.0	30.0	30.42	6.0	0.6	0.15	15.7	19.64	23.36	8.98	6.03	0.6	21.0	A	St	ISO 4017	1999
ISO 4017 SCREW M14x35 STEEL GRADE A HEXAGON HEAD NONPREFERRED	ISO_4017_M14x35_STEEL_GRADE_A_HEXAGON_HEAD_NONPREFERRED_SCREW	M14	14.0	2.0	29.0	35.0	35.5	6.0	0.6	0.15	15.7	19.64	23.36	8.98	6.03	0.6	21.0	A	St	ISO 4017	1999
