PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	d1_dia_point(mm)	Y_Cone_Angle	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Material	Reference	Edition
ISO 4027 SCREW M1.6x2 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M1.6x2_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M1.6	1.6	0.35	1.891	2.0	0.4	120	0.809	0.7	0.7	St	IS0 4027	2003
ISO 4027 SCREW M1.6x2.5 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M1.6x2.5_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M1.6	1.6	0.35	2.391	2.5	0.4	120	0.809	0.7	0.7	St	IS0 4027	2003
ISO 4027 SCREW M1.6x3 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M1.6x3_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M1.6	1.6	0.35	2.891	3.0	0.4	90	0.809	0.7	1.5	St	IS0 4027	2003
ISO 4027 SCREW M1.6x4 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M1.6x4_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M1.6	1.6	0.35	3.891	4.0	0.4	90	0.809	0.7	1.5	St	IS0 4027	2003
ISO 4027 SCREW M1.6x5 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M1.6x5_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M1.6	1.6	0.35	4.891	5.0	0.4	90	0.809	0.7	1.5	St	IS0 4027	2003
ISO 4027 SCREW M1.6x6 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M1.6x6_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M1.6	1.6	0.35	5.891	6.0	0.4	90	0.809	0.7	1.5	St	IS0 4027	2003
ISO 4027 SCREW M1.6x8 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M1.6x8_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M1.6	1.6	0.35	7.891	8.0	0.4	90	0.809	0.7	1.5	St	IS0 4027	2003
ISO 4027 SCREW M2x2 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M2x2_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M2	2.0	0.4	1.875	2.0	0.5	120	1.011	0.9	0.8	St	IS0 4027	2003
ISO 4027 SCREW M2x2.5 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M2x2.5_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M2	2.0	0.4	2.375	2.5	0.5	120	1.011	0.9	0.8	St	IS0 4027	2003
ISO 4027 SCREW M2x3 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M2x3_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M2	2.0	0.4	2.875	3.0	0.5	120	1.011	0.9	0.8	St	IS0 4027	2003
ISO 4027 SCREW M2x4 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M2x4_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M2	2.0	0.4	3.875	4.0	0.5	90	1.011	0.9	1.7	St	IS0 4027	2003
ISO 4027 SCREW M2x5 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M2x5_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M2	2.0	0.4	4.875	5.0	0.5	90	1.011	0.9	1.7	St	IS0 4027	2003
ISO 4027 SCREW M2x6 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M2x6_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M2	2.0	0.4	5.875	6.0	0.5	90	1.011	0.9	1.7	St	IS0 4027	2003
ISO 4027 SCREW M2x8 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M2x8_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M2	2.0	0.4	7.875	8.0	0.5	90	1.011	0.9	1.7	St	IS0 4027	2003
ISO 4027 SCREW M2x10 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M2x10_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M2	2.0	0.4	9.875	10.0	0.5	90	1.011	0.9	1.7	St	IS0 4027	2003
ISO 4027 SCREW M2.5x2.5 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M2.5x2.5_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M2.5	2.5	0.45	2.359	2.5	0.65	120	1.454	1.3	1.2	St	IS0 4027	2003
ISO 4027 SCREW M2.5x3 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M2.5x3_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M2.5	2.5	0.45	2.859	3.0	0.65	120	1.454	1.3	1.2	St	IS0 4027	2003
ISO 4027 SCREW M2.5x4 GRADE A STEEL HEX SOCKET SET WITH CONE POINT	ISO_4027_M2.5x4_GRADE_A_STEEL_HEX_SOCKET_WITH_CONE_POINT_SET_SCREW	M2.5	2.5	0.45	3.859	4.0	0.65	90	1.454	1.3	2.0	St	IS0 4027	2003
