PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	dp_dia_point(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	z_dog_point_len_max(mm)	type	Material	Reference	Edition
ISO 4028 SCREW M1.6x2 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M1.6x2_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M1.6	1.6	0.35	1.891	2.0	0.8	0.809	0.7	0.7	0.65	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M1.6x2.5 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M1.6x2.5_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M1.6	1.6	0.35	2.391	2.5	0.8	0.809	0.7	0.7	0.65	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M1.6x3 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M1.6x3_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M1.6	1.6	0.35	2.891	3.0	0.8	0.809	0.7	1.5	1.05	LONG	St	IS0 4028	2003
ISO 4028 SCREW M1.6x4 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M1.6x4_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M1.6	1.6	0.35	3.891	4.0	0.8	0.809	0.7	1.5	1.05	LONG	St	IS0 4028	2003
ISO 4028 SCREW M1.6x5 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M1.6x5_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M1.6	1.6	0.35	4.891	5.0	0.8	0.809	0.7	1.5	1.05	LONG	St	IS0 4028	2003
ISO 4028 SCREW M1.6x6 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M1.6x6_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M1.6	1.6	0.35	5.891	6.0	0.8	0.809	0.7	1.5	1.05	LONG	St	IS0 4028	2003
ISO 4028 SCREW M1.6x8 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M1.6x8_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M1.6	1.6	0.35	7.891	8.0	0.8	0.809	0.7	1.5	1.05	LONG	St	IS0 4028	2003
ISO 4028 SCREW M2x2.5 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M2x2.5_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M2	2.0	0.4	2.375	2.5	1.0	1.011	0.9	0.8	0.75	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M2x3 GR A STEEL HEX SOCKET SET WITH SHORT DOG POINT	ISO_4028_M2x3_GR_A_STEEL_HEX_SOCKET_WITH_SHORT_DOG_POINT_SET_SCREW	M2	2.0	0.4	2.875	3.0	1.0	1.011	0.9	0.8	0.75	SHORT	St	IS0 4028	2003
ISO 4028 SCREW M2x4 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M2x4_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M2	2.0	0.4	3.875	4.0	1.0	1.011	0.9	1.7	1.25	LONG	St	IS0 4028	2003
ISO 4028 SCREW M2x5 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M2x5_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M2	2.0	0.4	4.875	5.0	1.0	1.011	0.9	1.7	1.25	LONG	St	IS0 4028	2003
ISO 4028 SCREW M2x6 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M2x6_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M2	2.0	0.4	5.875	6.0	1.0	1.011	0.9	1.7	1.25	LONG	St	IS0 4028	2003
ISO 4028 SCREW M2x8 GR A STEEL HEX SOCKET SET WITH LONG DOG POINT	ISO_4028_M2x8_GR_A_STEEL_HEX_SOCKET_WITH_LONG_DOG_POINT_SET_SCREW	M2	2.0	0.4	7.875	8.0	1.0	1.011	0.9	1.7	1.25	LONG	St	IS0 4028	2003
