PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	Threading(mm)	l_nom(mm)	b_min(mm)	a_max(mm)	dk_nom(mm)	k_max(mm)	r_max(mm)	x_max(mm)	m_ref(mm)	m_penetration_max(mm)	Recess_width(mm)	type	Series	Material	Reference	Edition
ISO 7046-2 SCREW M2x3-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x3-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	1.0	3.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.35	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x4-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x4-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	2.0	4.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.35	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x5-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x5-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	3.0	5.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.35	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x6-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x6-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	4.0	6.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.35	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x8-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x8-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	6.0	8.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.35	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x10-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x10-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	8.0	10.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.35	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x12-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x12-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	10.0	12.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.35	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x14-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x14-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	12.0	14.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.35	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x16-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x16-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	14.0	16.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.35	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x20-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x20-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	18.0	20.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.35	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x25-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x25-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	23.0	25.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.35	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2x30-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2x30-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2	2.0	0.4	28.0	30.0	25.0	0.8	3.8	1.2	0.5	1.0	1.9	1.2	0.35	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x3-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x3-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	0.6	3.0	25.0	0.9	4.7	1.5	0.6	1.1	2.71	1.55	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x4-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x4-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	1.6	4.0	25.0	0.9	4.7	1.5	0.6	1.1	2.71	1.55	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x5-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x5-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	2.6	5.0	25.0	0.9	4.7	1.5	0.6	1.1	2.71	1.55	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x6-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x6-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	3.6	6.0	25.0	0.9	4.7	1.5	0.6	1.1	2.71	1.55	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x8-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x8-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	5.6	8.0	25.0	0.9	4.7	1.5	0.6	1.1	2.71	1.55	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x10-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x10-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	7.6	10.0	25.0	0.9	4.7	1.5	0.6	1.1	2.71	1.55	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x12-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x12-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	9.6	12.0	25.0	0.9	4.7	1.5	0.6	1.1	2.71	1.55	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x14-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x14-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	11.6	14.0	25.0	0.9	4.7	1.5	0.6	1.1	2.71	1.55	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x16-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x16-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	13.6	16.0	25.0	0.9	4.7	1.5	0.6	1.1	2.71	1.55	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x20-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x20-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	17.6	20.0	25.0	0.9	4.7	1.5	0.6	1.1	2.71	1.55	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x25-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x25-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	22.6	25.0	25.0	0.9	4.7	1.5	0.6	1.1	2.71	1.55	0.55	H	2.0	St	ISO 7046-2	1990
ISO 7046-2 SCREW M2.5x30-H2 STEEL GRADE A COUNTERSUNK FLAT HEAD	ISO_7046-2_M2.5x30-H2_STEEL_GRADE_A_COUNTERSUNK_FLAT_HEAD_SCREW	M2.5	2.5	0.45	27.6	30.0	25.0	0.9	4.7	1.5	0.6	1.1	2.71	1.55	0.55	H	2.0	St	ISO 7046-2	1990
