PartNumber	PartName	Nominal_dia(mm)	d1_inside_dia(mm)	d1_max(mm)	d2_outside_dia(mm)	d2_min(mm)	h_thick(mm)	h_max(mm)	h_min(mm)	Grade	Material	Reference	Edition
ISO 7089 WASHER 3.5x8 STEEL GRADE A PLAIN NORMAL SERIES NONPREFERRED	ISO_7089_3.5x8_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	3.5	3.7	3.88	8.0	7.64	0.5	0.55	0.45	A	St	ISO 7089	2000
ISO 7089 WASHER 14x28 STEEL GRADE A PLAIN NORMAL SERIES NONPREFERRED	ISO_7089_14x28_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	14.0	15.0	15.27	28.0	27.48	2.5	2.7	2.3	A	St	ISO 7089	2000
ISO 7089 WASHER 18x34 STEEL GRADE A PLAIN NORMAL SERIES NONPREFERRED	ISO_7089_18x34_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	18.0	19.0	19.33	34.0	33.38	3.0	3.3	2.7	A	St	ISO 7089	2000
ISO 7089 WASHER 22x39 STEEL GRADE A PLAIN NORMAL SERIES NONPREFERRED	ISO_7089_22x39_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	22.0	23.0	23.33	39.0	38.38	3.0	3.3	2.7	A	St	ISO 7089	2000
ISO 7089 WASHER 27x50 STEEL GRADE A PLAIN NORMAL SERIES NONPREFERRED	ISO_7089_27x50_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	27.0	28.0	28.33	50.0	49.38	4.0	4.3	3.7	A	St	ISO 7089	2000
ISO 7089 WASHER 33x60 STEEL GRADE A PLAIN NORMAL SERIES NONPREFERRED	ISO_7089_33x60_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	33.0	34.0	34.62	60.0	58.8	5.0	5.6	4.4	A	St	ISO 7089	2000
ISO 7089 WASHER 39x72 STEEL GRADE A PLAIN NORMAL SERIES NONPREFERRED	ISO_7089_39x72_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	39.0	42.0	42.62	72.0	70.8	6.0	6.6	5.4	A	St	ISO 7089	2000
ISO 7089 WASHER 45x85 STEEL GRADE A PLAIN NORMAL SERIES NONPREFERRED	ISO_7089_45x85_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	45.0	48.0	48.62	85.0	83.6	8.0	9.0	7.0	A	St	ISO 7089	2000
ISO 7089 WASHER 52x98 STEEL GRADE A PLAIN NORMAL SERIES NONPREFERRED	ISO_7089_52x98_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	52.0	56.0	56.74	98.0	96.6	8.0	9.0	7.0	A	St	ISO 7089	2000
ISO 7089 WASHER 60x110 STEEL GRADE A PLAIN NORMAL SERIES NONPREFERRED	ISO_7089_60x110_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	60.0	66.0	66.74	110.0	108.6	10.0	11.0	9.0	A	St	ISO 7089	2000
