PartNumber	PartName	Nominal_dia(mm)	d1_inside_dia(mm)	d1_max(mm)	d2_outside_dia(mm)	d2_min(mm)	h_thick(mm)	h_max(mm)	h_min(mm)	Grade	Material	Reference	Edition
ISO 7090 WASHER 5X10 STEEL GRADE A PLAIN CHAMFERED NORMAL SERIES	ISO_7090_5x10_STEEL_GRADE_A_CHAMFERED_NORMAL_SERIES_PLAIN_WASHER	5.0	5.3	5.48	10.0	9.64	1.0	1.1	0.9	A	St	ISO 7090	2000
ISO 7090 WASHER 6X12 STEEL GRADE A PLAIN CHAMFERED NORMAL SERIES	ISO_7090_6x12_STEEL_GRADE_A_CHAMFERED_NORMAL_SERIES_PLAIN_WASHER	6.0	6.4	6.62	12.0	11.57	1.6	1.8	1.4	A	St	ISO 7090	2000
ISO 7090 WASHER 8X16 STEEL GRADE A PLAIN CHAMFERED NORMAL SERIES	ISO_7090_8x16_STEEL_GRADE_A_CHAMFERED_NORMAL_SERIES_PLAIN_WASHER	8.0	8.4	8.62	16.0	15.57	1.6	1.8	1.4	A	St	ISO 7090	2000
ISO 7090 WASHER 10X20 STEEL GRADE A PLAIN CHAMFERED NORMAL SERIES	ISO_7090_10x20_STEEL_GRADE_A_CHAMFERED_NORMAL_SERIES_PLAIN_WASHER	10.0	10.5	10.77	20.0	19.48	2.0	2.2	1.8	A	St	ISO 7090	2000
ISO 7090 WASHER 12X24 STEEL GRADE A PLAIN CHAMFERED NORMAL SERIES	ISO_7090_12x24_STEEL_GRADE_A_CHAMFERED_NORMAL_SERIES_PLAIN_WASHER	12.0	13.0	13.27	24.0	23.48	2.5	2.7	2.3	A	St	ISO 7090	2000
ISO 7090 WASHER 16X30 STEEL GRADE A PLAIN CHAMFERED NORMAL SERIES	ISO_7090_16x30_STEEL_GRADE_A_CHAMFERED_NORMAL_SERIES_PLAIN_WASHER	16.0	17.0	17.27	30.0	29.48	3.0	3.3	2.7	A	St	ISO 7090	2000
ISO 7090 WASHER 20X37 STEEL GRADE A PLAIN CHAMFERED NORMAL SERIES	ISO_7090_20x37_STEEL_GRADE_A_CHAMFERED_NORMAL_SERIES_PLAIN_WASHER	20.0	21.0	21.33	37.0	36.38	3.0	3.3	2.7	A	St	ISO 7090	2000
ISO 7090 WASHER 24X44 STEEL GRADE A PLAIN CHAMFERED NORMAL SERIES	ISO_7090_24x44_STEEL_GRADE_A_CHAMFERED_NORMAL_SERIES_PLAIN_WASHER	24.0	25.0	25.33	44.0	43.38	4.0	4.3	3.7	A	St	ISO 7090	2000
ISO 7090 WASHER 30X56 STEEL GRADE A PLAIN CHAMFERED NORMAL SERIES	ISO_7090_30x56_STEEL_GRADE_A_CHAMFERED_NORMAL_SERIES_PLAIN_WASHER	30.0	31.0	31.39	56.0	55.26	4.0	4.3	3.7	A	St	ISO 7090	2000
ISO 7090 WASHER 36X66 STEEL GRADE A PLAIN CHAMFERED NORMAL SERIES	ISO_7090_36x66_STEEL_GRADE_A_CHAMFERED_NORMAL_SERIES_PLAIN_WASHER	36.0	37.0	37.62	66.0	64.8	5.0	5.6	4.4	A	St	ISO 7090	2000
ISO 7090 WASHER 42X78 STEEL GRADE A PLAIN CHAMFERED NORMAL SERIES	ISO_7090_42x78_STEEL_GRADE_A_CHAMFERED_NORMAL_SERIES_PLAIN_WASHER	42.0	45.0	45.62	78.0	76.8	8.0	9.0	7.0	A	St	ISO 7090	2000
ISO 7090 WASHER 48X92 STEEL GRADE A PLAIN CHAMFERED NORMAL SERIES	ISO_7090_48x92_STEEL_GRADE_A_CHAMFERED_NORMAL_SERIES_PLAIN_WASHER	48.0	52.0	52.74	92.0	90.6	8.0	9.0	7.0	A	St	ISO 7090	2000
ISO 7090 WASHER 56X105 STEEL GRADE A PLAIN CHAMFERED NORMAL SERIES	ISO_7090_56x105_STEEL_GRADE_A_CHAMFERED_NORMAL_SERIES_PLAIN_WASHER	56.0	62.0	62.74	105.0	103.6	10.0	11.0	9.0	A	St	ISO 7090	2000
ISO 7090 WASHER 64X115 STEEL GRADE A PLAIN CHAMFERED NORMAL SERIES	ISO_7090_64x115_STEEL_GRADE_A_CHAMFERED_NORMAL_SERIES_PLAIN_WASHER	64.0	70.0	70.74	115.0	113.6	10.0	11.0	9.0	A	St	ISO 7090	2000
