PartNumber	PartName	Nominal_dia(mm)	d1_inside_dia(mm)	d1_max(mm)	d2_outside_dia(mm)	d2_min(mm)	h_thick(mm)	h_max(mm)	h_min(mm)	Grade	Material	Reference	Edition
ISO 7091 WASHER 1.6x4 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_1.6x4_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	1.6	1.8	2.05	4.0	3.25	0.3	0.4	0.2	A	St	ISO 7091	2000
ISO 7091 WASHER 2x5 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_2x5_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	2.0	2.4	2.65	5.0	4.25	0.3	0.4	0.2	A	St	ISO 7091	2000
ISO 7091 WASHER 2.5x6 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_2.5x6_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	2.5	2.9	3.15	6.0	5.25	0.5	0.6	0.4	A	St	ISO 7091	2000
ISO 7091 WASHER 3x7 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_3x7_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	3.0	3.4	3.7	7.0	6.1	0.5	0.6	0.4	A	St	ISO 7091	2000
ISO 7091 WASHER 4x9 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_4x9_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	4.0	4.5	4.8	9.0	8.1	0.8	1.0	0.6	A	St	ISO 7091	2000
ISO 7091 WASHER 5x10 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_5x10_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	5.0	5.5	5.8	10.0	9.1	1.0	1.2	0.8	A	St	ISO 7091	2000
ISO 7091 WASHER 6x12 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_6x12_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	6.0	6.6	6.96	12.0	10.9	1.6	1.9	1.3	A	St	ISO 7091	2000
ISO 7091 WASHER 8x16 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_8x16_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	8.0	9.0	9.36	16.0	14.9	1.6	1.9	1.3	A	St	ISO 7091	2000
ISO 7091 WASHER 10x20 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_10x20_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	10.0	11.0	11.43	20.0	18.7	2.0	2.3	1.7	A	St	ISO 7091	2000
ISO 7091 WASHER 12x24 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_12x24_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	12.0	13.5	13.93	24.0	22.7	2.5	2.8	2.2	A	St	ISO 7091	2000
ISO 7091 WASHER 16x30 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_16x30_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	16.0	17.5	17.93	30.0	28.7	3.0	3.6	2.4	A	St	ISO 7091	2000
ISO 7091 WASHER 20x37 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_20x37_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	20.0	22.0	22.52	37.0	35.4	3.0	3.6	2.4	A	St	ISO 7091	2000
ISO 7091 WASHER 24x44 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_24x44_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	24.0	26.0	26.52	44.0	42.4	4.0	4.6	3.4	A	St	ISO 7091	2000
ISO 7091 WASHER 30x56 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_30x56_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	30.0	33.0	33.62	56.0	54.1	4.0	4.6	3.4	A	St	ISO 7091	2000
ISO 7091 WASHER 36x66 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_36x66_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	36.0	39.0	40.0	66.0	64.1	5.0	6.0	4.0	A	St	ISO 7091	2000
ISO 7091 WASHER 42x78 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_42x78_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	42.0	45.0	46.0	78.0	76.1	8.0	9.2	6.8	A	St	ISO 7091	2000
ISO 7091 WASHER 48x92 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_48x92_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	48.0	52.0	53.2	92.0	89.8	8.0	9.2	6.8	A	St	ISO 7091	2000
ISO 7091 WASHER 56x105 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_56x105_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	56.0	62.0	63.2	105.0	102.8	10.0	11.2	8.8	A	St	ISO 7091	2000
ISO 7091 WASHER 64x115 STEEL GRADE A PLAIN  NORMAL SERIES	ISO_7091_64x115_STEEL_GRADE_A_NORMAL_SERIES_PLAIN_WASHER	64.0	70.0	71.2	115.0	112.8	10.0	11.2	8.8	A	St	ISO 7091	2000
