PartNumber	PartName	Nominal_dia(mm)	d1_inside_dia(mm)	d1_max(mm)	d2_outside_dia(mm)	d2_min(mm)	h_thick(mm)	h_max(mm)	h_min(mm)	Grade	Material	Reference	Edition
ISO 7091 WASHER 3.5x8 STEEL GRADE A PLAIN  NORMAL SERIES NONPREFERRED	ISO_7091_3.5x8_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	3.5	3.9	4.2	8.0	7.1	0.5	0.6	0.4	A	St	ISO 7091	2000
ISO 7091 WASHER 14x28 STEEL GRADE A PLAIN  NORMAL SERIES NONPREFERRED	ISO_7091_14x28_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	14.0	15.5	15.93	28.0	26.7	2.5	2.8	2.2	A	St	ISO 7091	2000
ISO 7091 WASHER 18x34 STEEL GRADE A PLAIN  NORMAL SERIES NONPREFERRED	ISO_7091_18x34_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	18.0	20.0	20.43	34.0	32.4	3.0	3.6	2.4	A	St	ISO 7091	2000
ISO 7091 WASHER 22x39 STEEL GRADE A PLAIN  NORMAL SERIES NONPREFERRED	ISO_7091_22x39_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	22.0	24.0	24.52	39.0	37.4	3.0	3.6	2.4	A	St	ISO 7091	2000
ISO 7091 WASHER 27x50 STEEL GRADE A PLAIN  NORMAL SERIES NONPREFERRED	ISO_7091_27x50_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	27.0	30.0	30.52	50.0	48.4	4.0	4.6	3.4	A	St	ISO 7091	2000
ISO 7091 WASHER 33x60 STEEL GRADE A PLAIN  NORMAL SERIES NONPREFERRED	ISO_7091_33x60_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	33.0	36.0	37.0	60.0	58.1	5.0	6.0	4.0	A	St	ISO 7091	2000
ISO 7091 WASHER 39x72 STEEL GRADE A PLAIN  NORMAL SERIES NONPREFERRED	ISO_7091_39x72_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	39.0	42.0	43.0	72.0	70.1	6.0	7.0	5.0	A	St	ISO 7091	2000
ISO 7091 WASHER 45x85 STEEL GRADE A PLAIN  NORMAL SERIES NONPREFERRED	ISO_7091_45x85_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	45.0	48.0	49.0	85.0	82.8	8.0	9.2	6.8	A	St	ISO 7091	2000
ISO 7091 WASHER 52x98 STEEL GRADE A PLAIN  NORMAL SERIES NONPREFERRED	ISO_7091_52x98_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	52.0	56.0	57.2	98.0	95.8	8.0	9.2	6.8	A	St	ISO 7091	2000
ISO 7091 WASHER 60x110 STEEL GRADE A PLAIN  NORMAL SERIES NONPREFERRED	ISO_7091_60x110_STEEL_GRADE_A_NORMAL_SERIES_NONPREFERRED_PLAIN_WASHER	60.0	66.0	67.2	110.0	107.8	10.0	11.2	8.8	A	St	ISO 7091	2000
