PartNumber	PartName	Nominal_dia(mm)	d1_inside_dia(mm)	d1_max(mm)	d2_outside_dia(mm)	d2_min(mm)	h_thick(mm)	h_max(mm)	h_min(mm)	Grade	Material	Reference	Edition
ISO 7093-1 WASHER 3x9 STEEL GRADE A PLAIN LARGE SERIES	ISO_7093_1_3x9_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	3.0	3.2	3.38	9.0	8.64	0.8	0.9	0.7	A	St	ISO 7093-1	2000
ISO 7093-1 WASHER 4x12 STEEL GRADE A PLAIN LARGE SERIES	ISO_7093_1_4x12_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	4.0	4.3	4.48	12.0	11.57	1.0	1.1	0.9	A	St	ISO 7093-1	2000
ISO 7093-1 WASHER 5x15 STEEL GRADE A PLAIN LARGE SERIES	ISO_7093_1_5x15_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	5.0	5.3	5.48	15.0	14.57	1.0	1.1	0.9	A	St	ISO 7093-1	2000
ISO 7093-1 WASHER 6x18 STEEL GRADE A PLAIN LARGE SERIES	ISO_7093_1_6x18_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	6.0	6.4	6.62	18.0	17.57	1.6	1.8	1.4	A	St	ISO 7093-1	2000
ISO 7093-1 WASHER 8x24 STEEL GRADE A PLAIN LARGE SERIES	ISO_7093_1_8x24_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	8.0	8.4	8.62	24.0	23.48	2.0	2.2	1.8	A	St	ISO 7093-1	2000
ISO 7093-1 WASHER 10x30 STEEL GRADE A PLAIN LARGE SERIES	ISO_7093_1_10x30_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	10.0	10.5	10.77	30.0	29.48	2.5	2.7	2.3	A	St	ISO 7093-1	2000
ISO 7093-1 WASHER 12x37 STEEL GRADE A PLAIN LARGE SERIES	ISO_7093_1_12x37_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	12.0	13.0	13.27	37.0	36.38	3.0	3.3	2.7	A	St	ISO 7093-1	2000
ISO 7093-1 WASHER 16x50 STEEL GRADE A PLAIN LARGE SERIES	ISO_7093_1_16x50_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	16.0	17.0	17.27	50.0	49.38	3.0	3.3	2.7	A	St	ISO 7093-1	2000
ISO 7093-1 WASHER 20x60 STEEL GRADE A PLAIN LARGE SERIES	ISO_7093_1_20x60_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	20.0	21.0	21.33	60.0	59.26	4.0	4.3	3.7	A	St	ISO 7093-1	2000
ISO 7093-1 WASHER 24x72 STEEL GRADE A PLAIN LARGE SERIES	ISO_7093_1_24x72_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	24.0	25.0	25.52	72.0	70.8	5.0	5.6	4.4	A	St	ISO 7093-1	2000
ISO 7093-1 WASHER 30x92 STEEL GRADE A PLAIN LARGE SERIES	ISO_7093_1_30x92_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	30.0	33.0	33.62	92.0	90.6	6.0	6.6	5.4	A	St	ISO 7093-1	2000
ISO 7093-1 WASHER 36x110 STEEL GRADE A PLAIN LARGE SERIES	ISO_7093_1_36x110_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	36.0	39.0	39.62	110.0	108.6	8.0	9.0	7.0	A	St	ISO 7093-1	2000
