PartNumber	PartName	d_pin_dia(mm)	l_pin_len_nom(mm)	l_pin_len_min(mm)	l_pin_len_max(mm)	c(mm)	Material	Reference	Edition
ISO 8734 PARALLEL PIN 1x3 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_1x3_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	1.0	3.0	2.75	3.25	0.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 1x4 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_1x4_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	1.0	4.0	3.75	4.25	0.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 1x5 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_1x5_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	1.0	5.0	4.75	5.25	0.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 1x6 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_1x6_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	1.0	6.0	5.75	6.25	0.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 1x8 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_1x8_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	1.0	8.0	7.75	8.25	0.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 1x10 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_1x10_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	1.0	10.0	9.75	10.25	0.2	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 1.5x4 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_1.5x4_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	1.5	4.0	3.75	4.25	0.3	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 1.5x5 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_1.5x5_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	1.5	5.0	4.75	5.25	0.3	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 1.5x6 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_1.5x6_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	1.5	6.0	5.75	6.25	0.3	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 1.5x8 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_1.5x8_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	1.5	8.0	7.75	8.25	0.3	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 1.5x10 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_1.5x10_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	1.5	10.0	9.75	10.25	0.3	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 1.5x12 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_1.5x12_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	1.5	12.0	11.5	12.5	0.3	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 1.5x14 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_1.5x14_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	1.5	14.0	13.5	14.5	0.3	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 1.5x16 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_1.5x16_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	1.5	16.0	15.5	16.5	0.3	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2x5 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2x5_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.0	5.0	4.75	5.25	0.35	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2x6 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2x6_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.0	6.0	5.75	6.25	0.35	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2x8 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2x8_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.0	8.0	7.75	8.25	0.35	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2x10 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2x10_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.0	10.0	9.75	10.25	0.35	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2x12 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2x12_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.0	12.0	11.5	12.5	0.35	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2x14 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2x14_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.0	14.0	13.5	14.5	0.35	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2x16 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2x16_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.0	16.0	15.5	16.5	0.35	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2x18 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2x18_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.0	18.0	17.5	18.5	0.35	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2x20 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2x20_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.0	20.0	19.5	20.5	0.35	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2.5x6 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2.5x6_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.5	6.0	5.75	6.25	0.4	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2.5x8 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2.5x8_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.5	8.0	7.75	8.25	0.4	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2.5x10 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2.5x10_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.5	10.0	9.75	10.25	0.4	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2.5x12 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2.5x12_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.5	12.0	11.5	12.5	0.4	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2.5x14 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2.5x14_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.5	14.0	13.5	14.5	0.4	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2.5x16 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2.5x16_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.5	16.0	15.5	16.5	0.4	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2.5x18 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2.5x18_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.5	18.0	17.5	18.5	0.4	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2.5x20 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2.5x20_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.5	20.0	19.5	20.5	0.4	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2.5x22 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2.5x22_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.5	22.0	21.5	22.5	0.4	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 2.5x24 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_2.5x24_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	2.5	24.0	23.5	24.5	0.4	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 3x8 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_3x8_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	3.0	8.0	7.75	8.25	0.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 3x10 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_3x10_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	3.0	10.0	9.75	10.25	0.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 3x12 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_3x12_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	3.0	12.0	11.5	12.5	0.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 3x14 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_3x14_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	3.0	14.0	13.5	14.5	0.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 3x16 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_3x16_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	3.0	16.0	15.5	16.5	0.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 3x18 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_3x18_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	3.0	18.0	17.5	18.5	0.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 3x20 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_3x20_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	3.0	20.0	19.5	20.5	0.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 3x22 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_3x22_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	3.0	22.0	21.5	22.5	0.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 3x24 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_3x24_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	3.0	24.0	23.5	24.5	0.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 3x26 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_3x26_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	3.0	26.0	25.5	26.5	0.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 3x28 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_3x28_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	3.0	28.0	27.5	28.5	0.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 3x30 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_3x30_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	3.0	30.0	29.5	30.5	0.5	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 4x10 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_4x10_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	4.0	10.0	9.75	10.25	0.63	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 4x12 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_4x12_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	4.0	12.0	11.5	12.5	0.63	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 4x14 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_4x14_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	4.0	14.0	13.5	14.5	0.63	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 4x16 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_4x16_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	4.0	16.0	15.5	16.5	0.63	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 4x18 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_4x18_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	4.0	18.0	17.5	18.5	0.63	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 4x20 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_4x20_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	4.0	20.0	19.5	20.5	0.63	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 4x22 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_4x22_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	4.0	22.0	21.5	22.5	0.63	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 4x24 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_4x24_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	4.0	24.0	23.5	24.5	0.63	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 4x26 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_4x26_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	4.0	26.0	25.5	26.5	0.63	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 4x28 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_4x28_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	4.0	28.0	27.5	28.5	0.63	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 4x30 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_4x30_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	4.0	30.0	29.5	30.5	0.63	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 4x32 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_4x32_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	4.0	32.0	31.5	32.5	0.63	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 4x35 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_4x35_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	4.0	35.0	34.5	35.5	0.63	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 4x40 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_4x40_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	4.0	40.0	39.5	40.5	0.63	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 5x12 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_5x12_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	5.0	12.0	11.5	12.5	0.8	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 5x14 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_5x14_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	5.0	14.0	13.5	14.5	0.8	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 5x16 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_5x16_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	5.0	16.0	15.5	16.5	0.8	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 5x18 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_5x18_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	5.0	18.0	17.5	18.5	0.8	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 5x20 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_5x20_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	5.0	20.0	19.5	20.5	0.8	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 5x22 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_5x22_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	5.0	22.0	21.5	22.5	0.8	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 5x24 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_5x24_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	5.0	24.0	23.5	24.5	0.8	St	ISO 8734	1997
ISO 8734 PARALLEL PIN 5x26 STEEL HARDENED WITH INTERNAL THREAD	ISO_8734_5x26_STEEL_HARDENED_WITH_INTERNAL_THREAD_PARALLEL_PIN	5.0	26.0	25.5	26.5	0.8	St	ISO 8734	1997
