PartNumber	PartName	Designation	d_nom_dia(mm)	d1_min_hole_dia(mm)	d1_max_hole_dia(mm)	d2_max_outside_hole_dia(mm)	d2_min_outside_hole_dia(mm)	h_nom_thickness(mm)	h_max_thickness(mm)	h_min_thickness(mm)	Material	Reference	Edition
ISO 8738 WASHER 3 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_3_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M3	3.0	3.0	3.14	6.0	5.7	0.8	0.9	0.7	St	ISO 8738	1986
ISO 8738 WASHER 4 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_4_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M4	4.0	4.0	4.18	8.0	7.64	0.8	0.9	0.7	St	ISO 8738	1986
ISO 8738 WASHER 5 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_5_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M5	5.0	5.0	5.18	10.0	9.64	1.0	1.1	0.9	St	ISO 8738	1986
ISO 8738 WASHER 6 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_6_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M6	6.0	6.0	6.18	12.0	11.57	1.6	1.8	1.4	St	ISO 8738	1986
ISO 8738 WASHER 8 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_8_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M8	8.0	8.0	8.22	15.0	14.57	2.0	2.2	1.8	St	ISO 8738	1986
ISO 8738 WASHER 10 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_10_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M10	10.0	10.0	10.22	18.0	17.57	2.5	2.7	2.3	St	ISO 8738	1986
ISO 8738 WASHER 12 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_12_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M12	12.0	12.0	12.27	20.0	19.48	3.0	3.3	2.7	St	ISO 8738	1986
ISO 8738 WASHER 14 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_14_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M14	14.0	14.0	14.27	22.0	21.48	3.0	3.3	2.7	St	ISO 8738	1986
ISO 8738 WASHER 16 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_16_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M16	16.0	16.0	16.27	24.0	23.48	3.0	3.3	2.7	St	ISO 8738	1986
ISO 8738 WASHER 18 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_18_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M18	18.0	18.0	18.27	28.0	27.48	4.0	4.3	3.7	St	ISO 8738	1986
ISO 8738 WASHER 20 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_20_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M20	20.0	20.0	20.33	30.0	29.48	4.0	4.3	3.7	St	ISO 8738	1986
ISO 8738 WASHER 22 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_22_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M22	22.0	22.0	22.33	34.0	33.38	4.0	4.3	3.7	St	ISO 8738	1986
ISO 8738 WASHER 24 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_24_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M24	24.0	24.0	24.33	37.0	36.38	4.0	4.3	3.7	St	ISO 8738	1986
ISO 8738 WASHER 27 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_27_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M27	27.0	27.0	27.52	39.0	38.0	5.0	5.6	4.4	St	ISO 8738	1986
ISO 8738 WASHER 30 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_30_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M30	30.0	30.0	30.52	44.0	43.0	5.0	5.6	4.4	St	ISO 8738	1986
ISO 8738 WASHER 33 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_33_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M33	33.0	33.0	33.62	47.0	48.0	5.0	5.6	4.4	St	ISO 8738	1986
ISO 8738 WASHER 36 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_38_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M36	36.0	38.0	36.62	50.0	49.0	6.0	6.6	5.4	St	ISO 8738	1986
ISO 8738 WASHER 40 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_40_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M40	40.0	40.0	40.62	56.0	54.8	6.0	6.6	5.4	St	ISO 8738	1986
ISO 8738 WASHER 45 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_45_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M45	45.0	45.0	45.62	60.0	58.8	6.0	6.6	5.4	St	ISO 8738	1986
ISO 8738 WASHER 50 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_50_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M50	50.0	50.0	50.62	66.0	64.8	8.0	9.0	7.0	St	ISO 8738	1986
ISO 8738 WASHER 55 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_55_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M55	55.0	55.0	55.74	72.0	70.8	8.0	9.0	7.0	St	ISO 8738	1986
ISO 8738 WASHER 60 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_60_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M60	60.0	60.0	60.74	78.0	76.8	10.0	11.0	9.0	St	ISO 8738	1986
ISO 8738 WASHER 70 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_70_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M70	70.0	70.0	70.74	92.0	90.6	10.0	11.0	9.0	St	ISO 8738	1986
ISO 8738 WASHER 80 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_80_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M80	80.0	80.0	80.74	98.0	96.6	12.0	13.2	10.8	St	ISO 8738	1986
ISO 8738 WASHER 90 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_90_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M90	90.0	90.0	90.87	110.0	108.6	12.0	13.2	10.8	St	ISO 8738	1986
ISO 8738 WASHER 100 STEEL GRADE A PLAIN WASHER FOR CLEVIS PIN	ISO_8738_100_STEEL_GRADE_A_PLAIN_WASHER_FOR_CLEVIS_PIN	M100	100.0	100.0	100.87	120.0	118.6	12.0	13.2	10.8	St	ISO 8738	1986
