PartNumber	PartName	d1_nom_dia(mm)	l_nom_length(mm)	l_min(mm)	l_max(mm)	c1_rad(mm)	c2_cham(mm)	a_rad(mm)	tol	Material	Reference	Edition
ISO 8740 GROOVED PIN 1.5x8 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_1.5x8_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	1.5	8.0	7.75	8.25	0.12	0.6	0.2	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 1.5x10 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_1.5x10_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	1.5	10.0	9.75	10.25	0.12	0.6	0.2	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 1.5x12 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_1.5x12_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	1.5	12.0	11.5	12.5	0.12	0.6	0.2	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 1.5x14 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_1.5x14_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	1.5	14.0	13.5	14.5	0.12	0.6	0.2	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 1.5x16 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_1.5x16_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	1.5	16.0	15.5	16.5	0.12	0.6	0.2	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 1.5x18 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_1.5x18_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	1.5	18.0	17.5	18.5	0.12	0.6	0.2	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 1.5x20 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_1.5x20_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	1.5	20.0	19.5	20.5	0.12	0.6	0.2	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2x8 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2x8_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.0	8.0	7.75	8.25	0.18	0.8	0.25	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2x10 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2x10_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.0	10.0	9.75	10.25	0.18	0.8	0.25	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2x12 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2x12_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.0	12.0	11.5	12.5	0.18	0.8	0.25	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2x14 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2x14_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.0	14.0	13.5	14.5	0.18	0.8	0.25	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2x16 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2x16_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.0	16.0	15.5	16.5	0.18	0.8	0.25	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2x18 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2x18_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.0	18.0	17.5	18.5	0.18	0.8	0.25	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2x20 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2x20_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.0	20.0	19.5	20.5	0.18	0.8	0.25	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2x22 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2x22_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.0	22.0	21.5	22.5	0.18	0.8	0.25	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2x24 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2x24_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.0	24.0	23.5	24.5	0.18	0.8	0.25	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2x26 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2x26_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.0	26.0	25.5	26.5	0.18	0.8	0.25	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2x28 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2x28_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.0	28.0	27.5	28.5	0.18	0.8	0.25	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2x30 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2x30_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.0	30.0	29.5	30.5	0.18	0.8	0.25	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2.5x10 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2.5x10_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.5	10.0	9.75	10.25	0.25	1.0	0.3	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2.5x12 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2.5x12_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.5	12.0	11.5	12.5	0.25	1.0	0.3	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2.5x14 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2.5x14_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.5	14.0	13.5	14.5	0.25	1.0	0.3	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2.5x16 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2.5x16_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.5	16.0	15.5	16.5	0.25	1.0	0.3	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2.5x18 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2.5x18_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.5	18.0	17.5	18.5	0.25	1.0	0.3	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2.5x20 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2.5x20_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.5	20.0	19.5	20.5	0.25	1.0	0.3	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2.5x22 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2.5x22_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.5	22.0	21.5	22.5	0.25	1.0	0.3	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2.5x24 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2.5x24_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.5	24.0	23.5	24.5	0.25	1.0	0.3	h9	St	ISO 8740	1997
ISO 8740 GROOVED PIN 2.5x26 STEEL FULL LENGTH PARALLEL WITH CHAMFER	ISO_8740_2.5x26_STEEL_FULL_LENGTH_WITH_CHAMFER_PARALLEL_GROOVED_PIN	2.5	26.0	25.5	26.5	0.25	1.0	0.3	h9	St	ISO 8740	1997
