PartNumber	PartName	d_pin_nom_dia(mm)	l_pin_nom_length(mm)	l_pin_min(mm)	l_pin_max(mm)	d_pin_max(mm)	d_pin_min(mm)	k_head_max_depth(mm)	d_head_max_dia(mm)	d_head_min(mm)	k_head_min(mm)	r_head(mm)	c_cham(mm)	Material	Reference	Edition
ISO 8746 GROOVED PIN 1.4x3 STEEL WITH ROUND HEAD	ISO_8746_1.4x3_STEEL_WITH_ROUND_HEAD_GROOVED_PIN	1.4	3.0	2.8	3.2	1.4	1.35	0.9	2.6	2.2	0.7	1.4	0.42	St	ISO 8746	1997
ISO 8746 GROOVED PIN 1.4x4 STEEL WITH ROUND HEAD	ISO_8746_1.4x4_STEEL_WITH_ROUND_HEAD_GROOVED_PIN	1.4	4.0	3.7	4.3	1.4	1.35	0.9	2.6	2.2	0.7	1.4	0.42	St	ISO 8746	1997
ISO 8746 GROOVED PIN 1.4x5 STEEL WITH ROUND HEAD	ISO_8746_1.4x5_STEEL_WITH_ROUND_HEAD_GROOVED_PIN	1.4	5.0	4.7	5.3	1.4	1.35	0.9	2.6	2.2	0.7	1.4	0.42	St	ISO 8746	1997
ISO 8746 GROOVED PIN 1.4x6 STEEL WITH ROUND HEAD	ISO_8746_1.4x6_STEEL_WITH_ROUND_HEAD_GROOVED_PIN	1.4	6.0	5.7	6.3	1.4	1.35	0.9	2.6	2.2	0.7	1.4	0.42	St	ISO 8746	1997
ISO 8746 GROOVED PIN 1.6x3 STEEL WITH ROUND HEAD	ISO_8746_1.6x3_STEEL_WITH_ROUND_HEAD_GROOVED_PIN	1.6	3.0	2.8	3.2	1.6	1.55	1.1	3.0	2.6	0.9	1.6	0.48	St	ISO 8746	1997
ISO 8746 GROOVED PIN 1.6x4 STEEL WITH ROUND HEAD	ISO_8746_1.6x4_STEEL_WITH_ROUND_HEAD_GROOVED_PIN	1.6	4.0	3.7	4.3	1.6	1.55	1.1	3.0	2.6	0.9	1.6	0.48	St	ISO 8746	1997
ISO 8746 GROOVED PIN 1.6x5 STEEL WITH ROUND HEAD	ISO_8746_1.6x5_STEEL_WITH_ROUND_HEAD_GROOVED_PIN	1.6	5.0	4.7	5.3	1.6	1.55	1.1	3.0	2.6	0.9	1.6	0.48	St	ISO 8746	1997
ISO 8746 GROOVED PIN 1.6x6 STEEL WITH ROUND HEAD	ISO_8746_1.6x6_STEEL_WITH_ROUND_HEAD_GROOVED_PIN	1.6	6.0	5.7	6.3	1.6	1.55	1.1	3.0	2.6	0.9	1.6	0.48	St	ISO 8746	1997
ISO 8746 GROOVED PIN 1.6x8 STEEL WITH ROUND HEAD	ISO_8746_1.6x8_STEEL_WITH_ROUND_HEAD_GROOVED_PIN	1.6	8.0	7.7	8.3	1.6	1.55	1.1	3.0	2.6	0.9	1.6	0.48	St	ISO 8746	1997
ISO 8746 GROOVED PIN 2x3 STEEL WITH ROUND HEAD	ISO_8746_2x3_STEEL_WITH_ROUND_HEAD_GROOVED_PIN	2.0	3.0	2.8	3.2	2.0	1.95	1.3	3.7	3.3	1.1	1.9	0.6	St	ISO 8746	1997
ISO 8746 GROOVED PIN 2x4 STEEL WITH ROUND HEAD	ISO_8746_2x4_STEEL_WITH_ROUND_HEAD_GROOVED_PIN	2.0	4.0	3.7	4.3	2.0	1.95	1.3	3.7	3.3	1.1	1.9	0.6	St	ISO 8746	1997
ISO 8746 GROOVED PIN 2x5 STEEL WITH ROUND HEAD	ISO_8746_2x5_STEEL_WITH_ROUND_HEAD_GROOVED_PIN	2.0	5.0	4.7	5.3	2.0	1.95	1.3	3.7	3.3	1.1	1.9	0.6	St	ISO 8746	1997
ISO 8746 GROOVED PIN 2x6 STEEL WITH ROUND HEAD	ISO_8746_2x6_STEEL_WITH_ROUND_HEAD_GROOVED_PIN	2.0	6.0	5.7	6.3	2.0	1.95	1.3	3.7	3.3	1.1	1.9	0.6	St	ISO 8746	1997
