PartNumber	PartName	d1_pin_nom_dia(mm)	l_pin_length_nom(mm)	l_pin_length_min(mm)	l_pin_length_max(mm)	d1_pin_max(mm)	d1_pin_min(mm)	d2_pin_id(mm)	a_cham_max(mm)	a_cham_min(mm)	s_wall_th(mm)	Material	Reference	Edition
ISO 8752 SPRING PIN 1x4 STEEL SLOTTED HEAVY DUTY	ISO_8752_1x4_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.0	4.0	3.75	4.25	1.3	1.2	0.8	0.35	0.15	0.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 1x5 STEEL SLOTTED HEAVY DUTY	ISO_8752_1x5_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.0	5.0	4.75	5.25	1.3	1.2	0.8	0.35	0.15	0.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 1x6 STEEL SLOTTED HEAVY DUTY	ISO_8752_1x6_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.0	6.0	5.75	6.25	1.3	1.2	0.8	0.35	0.15	0.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 1x8 STEEL SLOTTED HEAVY DUTY	ISO_8752_1x8_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.0	8.0	6.75	7.25	1.3	1.2	0.8	0.35	0.15	0.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 1x10 STEEL SLOTTED HEAVY DUTY	ISO_8752_1x10_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.0	10.0	9.75	10.25	1.3	1.2	0.8	0.35	0.15	0.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 1x12 STEEL SLOTTED HEAVY DUTY	ISO_8752_1x12_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.0	12.0	11.5	12.5	1.3	1.2	0.8	0.35	0.15	0.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 1x14 STEEL SLOTTED HEAVY DUTY	ISO_8752_1x14_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.0	14.0	13.5	14.5	1.3	1.2	0.8	0.35	0.15	0.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 1x16 STEEL SLOTTED HEAVY DUTY	ISO_8752_1x16_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.0	16.0	15.5	16.5	1.3	1.2	0.8	0.35	0.15	0.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 1x18 STEEL SLOTTED HEAVY DUTY	ISO_8752_1x18_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.0	18.0	17.5	18.5	1.3	1.2	0.8	0.35	0.15	0.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 1x20 STEEL SLOTTED HEAVY DUTY	ISO_8752_1x20_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.0	20.0	19.5	20.5	1.3	1.2	0.8	0.35	0.15	0.2	St	ISO 8752	1997
ISO 8752 SPRING PIN 1.5x4 STEEL SLOTTED HEAVY DUTY	ISO_8752_1.5x4_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.5	4.0	3.75	4.25	1.8	1.7	1.1	0.45	0.25	0.3	St	ISO 8752	1997
ISO 8752 SPRING PIN 1.5x5 STEEL SLOTTED HEAVY DUTY	ISO_8752_1.5x5_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.5	5.0	4.75	5.25	1.8	1.7	1.1	0.45	0.25	0.3	St	ISO 8752	1997
ISO 8752 SPRING PIN 1.5x6 STEEL SLOTTED HEAVY DUTY	ISO_8752_1.5x6_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.5	6.0	5.75	6.25	1.8	1.7	1.1	0.45	0.25	0.3	St	ISO 8752	1997
ISO 8752 SPRING PIN 1.5x8 STEEL SLOTTED HEAVY DUTY	ISO_8752_1.5x8_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.5	8.0	6.75	7.25	1.8	1.7	1.1	0.45	0.25	0.3	St	ISO 8752	1997
ISO 8752 SPRING PIN 1.5x10 STEEL SLOTTED HEAVY DUTY	ISO_8752_1.5x10_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.5	10.0	9.75	10.25	1.8	1.7	1.1	0.45	0.25	0.3	St	ISO 8752	1997
ISO 8752 SPRING PIN 1.5x12 STEEL SLOTTED HEAVY DUTY	ISO_8752_1.5x12_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.5	12.0	11.5	12.5	1.8	1.7	1.1	0.45	0.25	0.3	St	ISO 8752	1997
ISO 8752 SPRING PIN 1.5x14 STEEL SLOTTED HEAVY DUTY	ISO_8752_1.5x14_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.5	14.0	13.5	14.5	1.8	1.7	1.1	0.45	0.25	0.3	St	ISO 8752	1997
ISO 8752 SPRING PIN 1.5x16 STEEL SLOTTED HEAVY DUTY	ISO_8752_1.5x16_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.5	16.0	15.5	16.5	1.8	1.7	1.1	0.45	0.25	0.3	St	ISO 8752	1997
ISO 8752 SPRING PIN 1.5x18 STEEL SLOTTED HEAVY DUTY	ISO_8752_1.5x18_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.5	18.0	17.5	18.5	1.8	1.7	1.1	0.45	0.25	0.3	St	ISO 8752	1997
ISO 8752 SPRING PIN 1.5x20 STEEL SLOTTED HEAVY DUTY	ISO_8752_1.5x20_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	1.5	20.0	19.5	20.5	1.8	1.7	1.1	0.45	0.25	0.3	St	ISO 8752	1997
ISO 8752 SPRING PIN 2x4 STEEL SLOTTED HEAVY DUTY	ISO_8752_2x4_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.0	4.0	3.75	4.25	2.4	2.3	1.5	0.55	0.35	0.4	St	ISO 8752	1997
ISO 8752 SPRING PIN 2x5 STEEL SLOTTED HEAVY DUTY	ISO_8752_2x5_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.0	5.0	4.75	5.25	2.4	2.3	1.5	0.55	0.35	0.4	St	ISO 8752	1997
ISO 8752 SPRING PIN 2x6 STEEL SLOTTED HEAVY DUTY	ISO_8752_2x6_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.0	6.0	5.75	6.25	2.4	2.3	1.5	0.55	0.35	0.4	St	ISO 8752	1997
ISO 8752 SPRING PIN 2x8 STEEL SLOTTED HEAVY DUTY	ISO_8752_2x8_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.0	8.0	6.75	7.25	2.4	2.3	1.5	0.55	0.35	0.4	St	ISO 8752	1997
ISO 8752 SPRING PIN 2x10 STEEL SLOTTED HEAVY DUTY	ISO_8752_2x10_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.0	10.0	9.75	10.25	2.4	2.3	1.5	0.55	0.35	0.4	St	ISO 8752	1997
ISO 8752 SPRING PIN 2x12 STEEL SLOTTED HEAVY DUTY	ISO_8752_2x12_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.0	12.0	11.5	12.5	2.4	2.3	1.5	0.55	0.35	0.4	St	ISO 8752	1997
ISO 8752 SPRING PIN 2x14 STEEL SLOTTED HEAVY DUTY	ISO_8752_2x14_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.0	14.0	13.5	14.5	2.4	2.3	1.5	0.55	0.35	0.4	St	ISO 8752	1997
ISO 8752 SPRING PIN 2x16 STEEL SLOTTED HEAVY DUTY	ISO_8752_2x16_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.0	16.0	15.5	16.5	2.4	2.3	1.5	0.55	0.35	0.4	St	ISO 8752	1997
ISO 8752 SPRING PIN 2x18 STEEL SLOTTED HEAVY DUTY	ISO_8752_2x18_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.0	18.0	17.5	18.5	2.4	2.3	1.5	0.55	0.35	0.4	St	ISO 8752	1997
ISO 8752 SPRING PIN 2x20 STEEL SLOTTED HEAVY DUTY	ISO_8752_2x20_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.0	20.0	19.5	20.5	2.4	2.3	1.5	0.55	0.35	0.4	St	ISO 8752	1997
ISO 8752 SPRING PIN 2x22 STEEL SLOTTED HEAVY DUTY	ISO_8752_2x22_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.0	22.0	21.5	22.5	2.4	2.3	1.5	0.55	0.35	0.4	St	ISO 8752	1997
ISO 8752 SPRING PIN 2x24 STEEL SLOTTED HEAVY DUTY	ISO_8752_2x24_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.0	24.0	23.5	24.5	2.4	2.3	1.5	0.55	0.35	0.4	St	ISO 8752	1997
ISO 8752 SPRING PIN 2x26 STEEL SLOTTED HEAVY DUTY	ISO_8752_2x26_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.0	26.0	25.5	26.5	2.4	2.3	1.5	0.55	0.35	0.4	St	ISO 8752	1997
ISO 8752 SPRING PIN 2x28 STEEL SLOTTED HEAVY DUTY	ISO_8752_2x28_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.0	28.0	27.5	28.5	2.4	2.3	1.5	0.55	0.35	0.4	St	ISO 8752	1997
ISO 8752 SPRING PIN 2x30 STEEL SLOTTED HEAVY DUTY	ISO_8752_2x30_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.0	30.0	29.5	30.5	2.4	2.3	1.5	0.55	0.35	0.4	St	ISO 8752	1997
ISO 8752 SPRING PIN 2.5x4 STEEL SLOTTED HEAVY DUTY	ISO_8752_2.5x4_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.5	4.0	3.75	4.25	2.9	2.8	1.8	0.6	0.4	0.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 2.5x5 STEEL SLOTTED HEAVY DUTY	ISO_8752_2.5x5_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.5	5.0	4.75	5.25	2.9	2.8	1.8	0.6	0.4	0.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 2.5x6 STEEL SLOTTED HEAVY DUTY	ISO_8752_2.5x6_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.5	6.0	5.75	6.25	2.9	2.8	1.8	0.6	0.4	0.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 2.5x8 STEEL SLOTTED HEAVY DUTY	ISO_8752_2.5x8_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.5	8.0	6.75	7.25	2.9	2.8	1.8	0.6	0.4	0.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 2.5x10 STEEL SLOTTED HEAVY DUTY	ISO_8752_2.5x10_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.5	10.0	9.75	10.25	2.9	2.8	1.8	0.6	0.4	0.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 2.5x12 STEEL SLOTTED HEAVY DUTY	ISO_8752_2.5x12_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.5	12.0	11.5	12.5	2.9	2.8	1.8	0.6	0.4	0.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 2.5x14 STEEL SLOTTED HEAVY DUTY	ISO_8752_2.5x14_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.5	14.0	13.5	14.5	2.9	2.8	1.8	0.6	0.4	0.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 2.5x16 STEEL SLOTTED HEAVY DUTY	ISO_8752_2.5x16_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.5	16.0	15.5	16.5	2.9	2.8	1.8	0.6	0.4	0.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 2.5x18 STEEL SLOTTED HEAVY DUTY	ISO_8752_2.5x18_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.5	18.0	17.5	18.5	2.9	2.8	1.8	0.6	0.4	0.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 2.5x20 STEEL SLOTTED HEAVY DUTY	ISO_8752_2.5x20_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.5	20.0	19.5	20.5	2.9	2.8	1.8	0.6	0.4	0.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 2.5x22 STEEL SLOTTED HEAVY DUTY	ISO_8752_2.5x22_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.5	22.0	21.5	22.5	2.9	2.8	1.8	0.6	0.4	0.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 2.5x24 STEEL SLOTTED HEAVY DUTY	ISO_8752_2.5x24_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.5	24.0	23.5	24.5	2.9	2.8	1.8	0.6	0.4	0.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 2.5x26 STEEL SLOTTED HEAVY DUTY	ISO_8752_2.5x26_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.5	26.0	25.5	26.5	2.9	2.8	1.8	0.6	0.4	0.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 2.5x28 STEEL SLOTTED HEAVY DUTY	ISO_8752_2.5x28_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.5	28.0	27.5	28.5	2.9	2.8	1.8	0.6	0.4	0.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 2.5x30 STEEL SLOTTED HEAVY DUTY	ISO_8752_2.5x30_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	2.5	30.0	29.5	30.5	2.9	2.8	1.8	0.6	0.4	0.5	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x4 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x4_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	4.0	3.75	4.25	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x5 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x5_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	5.0	4.75	5.25	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x6 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x6_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	6.0	5.75	6.25	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x8 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x8_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	8.0	6.75	7.25	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x10 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x10_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	10.0	9.75	10.25	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x12 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x12_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	12.0	11.5	12.5	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x14 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x14_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	14.0	13.5	14.5	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x16 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x16_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	16.0	15.5	16.5	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x18 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x18_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	18.0	17.5	18.5	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x20 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x20_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	20.0	19.5	20.5	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x22 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x22_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	22.0	21.5	22.5	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x24 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x24_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	24.0	23.5	24.5	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
ISO 8752 SPRING PIN 3x26 STEEL SLOTTED HEAVY DUTY	ISO_8752_3x26_STEEL_SLOTTED_HEAVY_DUTY_SPRING_PIN	3.0	26.0	25.5	26.5	3.5	3.3	2.1	0.7	0.5	0.6	St	ISO 8752	1997
