PartNumber	PartName	Designation	d1_thread_od_max(mm)	d2_thread_base_dia_min(mm)	d3_min(mm)	threading(mm)	l_length(mm)	p_pitch(mm)	a_max(mm)	dk_head_dia_max(mm)	k_head_depth_max(mm)	n_slot_width(mm)	r_min(mm)	rf(mm)	t_slot_depth(mm)	y_taper(mm)	Type	Material	Reference	Edition
JIS B 1115 SCREW ST2.2x4.5 STEEL PAN HEAD SLOTTED TAPPING TYPE C	JIS_B_1115_ST2.2x4.5_STEEL_C_TYPE_PAN_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.0	1.7	4.5	0.8	0.8	4.0	1.3	0.5	0.1	0.6	0.5	2.0	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.2x6.5 STEEL PAN HEAD SLOTTED TAPPING TYPE C	JIS_B_1115_ST2.2x6.5_STEEL_C_TYPE_PAN_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.0	3.7	6.5	0.8	0.8	4.0	1.3	0.5	0.1	0.6	0.5	2.0	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.2x9.5 STEEL PAN HEAD SLOTTED TAPPING TYPE C	JIS_B_1115_ST2.2x9.5_STEEL_C_TYPE_PAN_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.0	6.7	9.5	0.8	0.8	4.0	1.3	0.5	0.1	0.6	0.5	2.0	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.2x13 STEEL PAN HEAD SLOTTED TAPPING TYPE C	JIS_B_1115_ST2.2x13_STEEL_C_TYPE_PAN_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.0	10.2	13.0	0.8	0.8	4.0	1.3	0.5	0.1	0.6	0.5	2.0	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.2x16 STEEL PAN HEAD SLOTTED TAPPING TYPE C	JIS_B_1115_ST2.2x16_STEEL_C_TYPE_PAN_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.0	13.2	16.0	0.8	0.8	4.0	1.3	0.5	0.1	0.6	0.5	2.0	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.9x6.5 STEEL PAN HEAD SLOTTED TAPPING TYPE C	JIS_B_1115_ST2.9x6.5_STEEL_C_TYPE_PAN_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.0	2.8	6.5	1.1	1.1	5.6	1.8	0.8	0.1	0.8	0.7	2.6	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.9x9.5 STEEL PAN HEAD SLOTTED TAPPING TYPE C	JIS_B_1115_ST2.9x9.5_STEEL_C_TYPE_PAN_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.0	5.8	9.5	1.1	1.1	5.6	1.8	0.8	0.1	0.8	0.7	2.6	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.9x13 STEEL PAN HEAD SLOTTED TAPPING TYPE C	JIS_B_1115_ST2.9x13_STEEL_C_TYPE_PAN_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.0	9.3	13.0	1.1	1.1	5.6	1.8	0.8	0.1	0.8	0.7	2.6	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.9x16 STEEL PAN HEAD SLOTTED TAPPING TYPE C	JIS_B_1115_ST2.9x16_STEEL_C_TYPE_PAN_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.0	12.3	16.0	1.1	1.1	5.6	1.8	0.8	0.1	0.8	0.7	2.6	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.9x19 STEEL PAN HEAD SLOTTED TAPPING TYPE C	JIS_B_1115_ST2.9x19_STEEL_C_TYPE_PAN_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.0	15.3	19.0	1.1	1.1	5.6	1.8	0.8	0.1	0.8	0.7	2.6	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST3.5x6.5 STEEL PAN HEAD SLOTTED TAPPING TYPE C	JIS_B_1115_ST3.5x6.5_STEEL_C_TYPE_PAN_HEAD_TAPPING_SCREW	ST3.5	3.53	2.51	0.0	2.0	6.5	1.3	1.3	7.0	2.1	1.0	0.1	1.0	0.8	3.2	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST3.5x9.5 STEEL PAN HEAD SLOTTED TAPPING TYPE C	JIS_B_1115_ST3.5x9.5_STEEL_C_TYPE_PAN_HEAD_TAPPING_SCREW	ST3.5	3.53	2.51	0.0	5.0	9.5	1.3	1.3	7.0	2.1	1.0	0.1	1.0	0.8	3.2	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST3.5x13 STEEL PAN HEAD SLOTTED TAPPING TYPE C	JIS_B_1115_ST3.5x13_STEEL_C_TYPE_PAN_HEAD_TAPPING_SCREW	ST3.5	3.53	2.51	0.0	8.5	13.0	1.3	1.3	7.0	2.1	1.0	0.1	1.0	0.8	3.2	C	St	JIS B 1115	1996
