PartNumber	PartName	Designation	d1_thread_od_max(mm)	d2_thread_base_dia_min(mm)	d3_min(mm)	threading(mm)	l_length(mm)	p_pitch(mm)	a_max(mm)	dk_head_dia_max(mm)	k_head_depth_max(mm)	n_slot_width(mm)	r_min(mm)	rf(mm)	t_slot_depth_max(mm)	f_dome_height(mm)	rf_head_rad(mm)	y_taper(mm)	Type	Material	Reference	Edition
JIS B 1115 SCREW ST2.2x4.5 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE C	JIS_B_1115_ST2.2x4.5_STEEL_TYPE_C_RAISED_CSK_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.0	0.6	4.5	0.8	0.8	3.8	1.1	0.5	0.8	4.0	1.0	0.5	4.0	2.0	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.2x6.5 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE C	JIS_B_1115_ST2.2x6.5_STEEL_TYPE_C_RAISED_CSK_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.0	2.6	6.5	0.8	0.8	3.8	1.1	0.5	0.8	4.0	1.0	0.5	4.0	2.0	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.2x9.5 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE C	JIS_B_1115_ST2.2x9.5_STEEL_TYPE_C_RAISED_CSK_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.0	5.6	9.5	0.8	0.8	3.8	1.1	0.5	0.8	4.0	1.0	0.5	4.0	2.0	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.2x13 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE C	JIS_B_1115_ST2.2x13_STEEL_TYPE_C_RAISED_CSK_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.0	9.1	13.0	0.8	0.8	3.8	1.1	0.5	0.8	4.0	1.0	0.5	4.0	2.0	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.2x16 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE C	JIS_B_1115_ST2.2x16_STEEL_TYPE_C_RAISED_CSK_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.0	12.1	16.0	0.8	0.8	3.8	1.1	0.5	0.8	4.0	1.0	0.5	4.0	2.0	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.9x6.5 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE C	JIS_B_1115_ST2.9x6.5_STEEL_TYPE_C_RAISED_CSK_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.0	1.1	6.5	1.1	1.1	5.5	1.7	0.8	1.2	6.0	1.45	0.7	6.0	2.6	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.9x9.5 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE C	JIS_B_1115_ST2.9x9.5_STEEL_TYPE_C_RAISED_CSK_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.0	4.1	9.5	1.1	1.1	5.5	1.7	0.8	1.2	6.0	1.45	0.7	6.0	2.6	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.9x13 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE C	JIS_B_1115_ST2.9x13_STEEL_TYPE_C_RAISED_CSK_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.0	7.6	13.0	1.1	1.1	5.5	1.7	0.8	1.2	6.0	1.45	0.7	6.0	2.6	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.9x16 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE C	JIS_B_1115_ST2.9x16_STEEL_TYPE_C_RAISED_CSK_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.0	10.6	16.0	1.1	1.1	5.5	1.7	0.8	1.2	6.0	1.45	0.7	6.0	2.6	C	St	JIS B 1115	1996
JIS B 1115 SCREW ST2.9x19 STEEL RAISED CSK HEAD SLOTTED  TAPPING TYPE C	JIS_B_1115_ST2.9x19_STEEL_TYPE_C_RAISED_CSK_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.0	13.6	19.0	1.1	1.1	5.5	1.7	0.8	1.2	6.0	1.45	0.7	6.0	2.6	C	St	JIS B 1115	1996
