PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_Length_nom(mm)	angle(deg)	n_nom_Slot_Width(mm)	n_min_slot_width(mm)	n_max_slot_width(mm)	t_min_Slot_Depth(mm)	t_max_Slot_Depth(mm)	dp_min_dia(mm)	dp_max_dia(mm)	z_min_length(mm)	z_max_length(mm)	Grade	Material	Reference	Edition
JIS B 1117 SCREW M1.6x2.5 STEEL GRADE A SLOT SET  WITH LONG DOG POINT	JIS_B_1117_M1.6x2.5_STEEL_GRADE_A_LONG_DOG_POINT_SLOTTED_SET_SCREW	M1.6	1.6	0.35	2.3906	2.5	120.0	0.25	0.31	0.45	0.56	0.74	0.55	0.8	0.8	1.05	A	St	JIS B 1117	1995
JIS B 1117 SCREW M1.6x3 STEEL GRADE A SLOT SET  WITH LONG DOG POINT	JIS_B_1117_M1.6x3_STEEL_GRADE_A_LONG_DOG_POINT_SLOTTED_SET_SCREW	M1.6	1.6	0.35	2.8453	3.0	90.0	0.25	0.31	0.45	0.56	0.74	0.55	0.8	0.8	1.05	A	St	JIS B 1117	1995
JIS B 1117 SCREW M1.6x4 STEEL GRADE A SLOT SET  WITH LONG DOG POINT	JIS_B_1117_M1.6x4_STEEL_GRADE_A_LONG_DOG_POINT_SLOTTED_SET_SCREW	M1.6	1.6	0.35	3.8453	4.0	90.0	0.25	0.31	0.45	0.56	0.74	0.55	0.8	0.8	1.05	A	St	JIS B 1117	1995
JIS B 1117 SCREW M1.6x5 STEEL GRADE A SLOT SET  WITH LONG DOG POINT	JIS_B_1117_M1.6x5_STEEL_GRADE_A_LONG_DOG_POINT_SLOTTED_SET_SCREW	M1.6	1.6	0.35	4.8453	5.0	90.0	0.25	0.31	0.45	0.56	0.74	0.55	0.8	0.8	1.05	A	St	JIS B 1117	1995
JIS B 1117 SCREW M1.6x6 STEEL GRADE A SLOT SET  WITH LONG DOG POINT	JIS_B_1117_M1.6x6_STEEL_GRADE_A_LONG_DOG_POINT_SLOTTED_SET_SCREW	M1.6	1.6	0.35	5.8453	6.0	90.0	0.25	0.31	0.45	0.56	0.74	0.55	0.8	0.8	1.05	A	St	JIS B 1117	1995
JIS B 1117 SCREW M1.6x8 STEEL GRADE A SLOT SET  WITH LONG DOG POINT	JIS_B_1117_M1.6x8_STEEL_GRADE_A_LONG_DOG_POINT_SLOTTED_SET_SCREW	M1.6	1.6	0.35	7.8453	8.0	90.0	0.25	0.31	0.45	0.56	0.74	0.55	0.8	0.8	1.05	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2x3 STEEL GRADE A SLOT SET  WITH LONG DOG POINT	JIS_B_1117_M2x3_STEEL_GRADE_A_LONG_DOG_POINT_SLOTTED_SET_SCREW	M2	2.0	0.4	2.8750	3.0	120.0	0.25	0.31	0.45	0.64	0.84	0.75	1.0	1.0	1.25	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2x4 STEEL GRADE A SLOT SET  WITH LONG DOG POINT	JIS_B_1117_M2x4_STEEL_GRADE_A_LONG_DOG_POINT_SLOTTED_SET_SCREW	M2	2.0	0.4	3.8232	4.0	90.0	0.25	0.31	0.45	0.64	0.84	0.75	1.0	1.0	1.25	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2x5 STEEL GRADE A SLOT SET  WITH LONG DOG POINT	JIS_B_1117_M2x5_STEEL_GRADE_A_LONG_DOG_POINT_SLOTTED_SET_SCREW	M2	2.0	0.4	4.8232	5.0	90.0	0.25	0.31	0.45	0.64	0.84	0.75	1.0	1.0	1.25	A	St	JIS B 1117	1995
JIS B 1117 SCREW M2x6 STEEL GRADE A SLOT SET  WITH LONG DOG POINT	JIS_B_1117_M2x6_STEEL_GRADE_A_LONG_DOG_POINT_SLOTTED_SET_SCREW	M2	2.0	0.4	5.8232	6.0	90.0	0.25	0.31	0.45	0.64	0.84	0.75	1.0	1.0	1.25	A	St	JIS B 1117	1995
