PartNumber	PartName	Designation	d1_thread_od_max(mm)	d2_thread_base_dia_min(mm)	d3_min(mm)	l_length(mm)	a_max(mm)	p_pitch(mm)	threading(mm)	dk_head_dia_max(mm)	k_head_depth_max(mm)	m_width(mm)	q_recess_depth_max(mm)	r_max(mm)	y_taper(mm)	slot_width(mm)	cross_recess_no	Type	Material	Reference	Edition																				
JIS B 1122 SCREW ST2.2x4.5 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST2.2x4.5_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.0	4.5	0.8	0.8	1.7	3.8	1.1	1.9	1.2	0.8	2.0	0.36	0.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST2.2x6.5 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST2.2x6.5_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.0	6.5	0.8	0.8	3.7	3.8	1.1	1.9	1.2	0.8	2.0	0.36	0.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST2.2x9.5 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST2.2x9.5_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.0	9.5	0.8	0.8	6.7	3.8	1.1	1.9	1.2	0.8	2.0	0.36	0.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST2.2x13 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST2.2x13_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.0	13.0	0.8	0.8	10.2	3.8	1.1	1.9	1.2	0.8	2.0	0.36	0.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST2.2x16 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST2.2x16_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.0	16.0	0.8	0.8	13.2	3.8	1.1	1.9	1.2	0.8	2.0	0.36	0.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST2.9x6.5 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST2.9x6.5_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.0	6.5	1.1	1.1	2.8	5.5	1.7	3.2	2.1	1.2	2.6	0.56	1.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST2.9x9.5 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST2.9x9.5_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.0	9.5	1.1	1.1	5.8	5.5	1.7	3.2	2.1	1.2	2.6	0.56	1.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST2.9x13 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST2.9x13_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.0	13.0	1.1	1.1	9.3	5.5	1.7	3.2	2.1	1.2	2.6	0.56	1.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST2.9x16 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST2.9x16_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.0	16.0	1.1	1.1	12.3	5.5	1.7	3.2	2.1	1.2	2.6	0.56	1.0	HC	St	JIS B 1122	1996																				
JIS B 1122 SCREW ST2.9x19 STEEL CROSS REC CSK HEAD TAPPING TYPE HC	JIS_B_1122_ST2.9x19_STEEL_TYPE_HC_CROSS_REC_CSK_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.0	19.0	1.1	1.1	15.3	5.5	1.7	3.2	2.1	1.2	2.6	0.56	1.0	HC	St	JIS B 1122	1996																				
