PartNumber	PartName	Designation	d1_thread_od_max(mm)	d2_thread_base_dia_min(mm)	d3_min(mm)	l_length(mm)	a_max(mm)	p_pitch(mm)	threading(mm)	e_across_corners(mm)	s_across_flats_max(mm)	k_head_depth_max(mm)	r_max(mm)	y_taper(mm)	Type	Material	Reference	Edition
JIS B 1123 SCREW ST2.2x4.5 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST2.2x4.5_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.02	4.5	0.8	0.8	1.7	3.38	3.2	1.6	0.1	2.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.2x6.5 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST2.2x6.5_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.02	6.5	0.8	0.8	3.7	3.38	3.2	1.6	0.1	2.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.2x9.5 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST2.2x9.5_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.02	9.5	0.8	0.8	6.7	3.38	3.2	1.6	0.1	2.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.2x13 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST2.2x13_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.02	13.0	0.8	0.8	10.2	3.38	3.2	1.6	0.1	2.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.2x16 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST2.2x16_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST2.2	2.24	1.52	0.02	16.0	0.8	0.8	13.2	3.38	3.2	1.6	0.1	2.0	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.9x6.5 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST2.9x6.5_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.02	6.5	1.1	1.1	2.8	5.4	5.0	2.3	0.1	2.6	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.9x9.5 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST2.9x9.5_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.02	9.5	1.1	1.1	5.8	5.4	5.0	2.3	0.1	2.6	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.9x13 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST2.9x13_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.02	13.0	1.1	1.1	9.3	5.4	5.0	2.3	0.1	2.6	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.9x16 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST2.9x16_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.02	16.0	1.1	1.1	12.3	5.4	5.0	2.3	0.1	2.6	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST2.9x19 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST2.9x19_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST2.9	2.9	2.08	0.02	19.0	1.1	1.1	15.3	5.4	5.0	2.3	0.1	2.6	C	St	JIS B 1123	1996
JIS B 1123 SCREW ST3.5x6.5 STEEL HEXAGON HEAD TAPPING TYPE C	JIS_B_1123_ST3.5x6.5_STEEL_TYPE_C_HEXAGON_HEAD_TAPPING_SCREW	ST3.5	3.53	2.51	0.02	6.5	1.3	1.3	2.0	5.96	5.5	2.6	0.1	3.2	C	St	JIS B 1123	1996
