PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	angle(deg)	ds_dia_point(mm)	dz_min(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	Grade	Material	Reference	Edition
JIS B 1177 SCREW M1.6X2 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M1.6X2_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M1.6	1.6	0.35	1.8906	2.0	120.0	0.8	0.55	0.803	0.7	0.7	A	St	JIS B 1177	1997
JIS B 1177 SCREW M1.6X2.5 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M1.6X2.5_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M1.6	1.6	0.35	2.3453	2.5	90.0	0.8	0.55	0.803	0.7	1.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M1.6X3 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M1.6X3_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M1.6	1.6	0.35	2.8453	3.0	90.0	0.8	0.55	0.803	0.7	1.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M1.6X4 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M1.6X4_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M1.6	1.6	0.35	3.8453	4.0	90.0	0.8	0.55	0.803	0.7	1.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M1.6X5 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M1.6X5_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M1.6	1.6	0.35	4.8453	5.0	90.0	0.8	0.55	0.803	0.7	1.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M1.6X6 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M1.6X6_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M1.6	1.6	0.35	5.8453	6.0	90.0	0.8	0.55	0.803	0.7	1.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M1.6X8 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M1.6X8_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M1.6	1.6	0.35	7.8453	8.0	90.0	0.8	0.55	0.803	0.7	1.5	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M2X2 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M2X2_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M2	2.0	0.4	1.8750	2.0	120.0	1.0	0.75	1.003	0.9	0.8	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M2X2.5 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M2X2.5_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M2	2.0	0.4	2.3750	2.5	120.0	1.0	0.75	1.003	0.9	0.8	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M2X3 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M2X3_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M2	2.0	0.4	2.8232	3.0	90.0	1.0	0.75	1.003	0.9	1.7	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M2X4 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M2X4_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M2	2.0	0.4	3.8232	4.0	90.0	1.0	0.75	1.003	0.9	1.7	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M2X5 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M2X5_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M2	2.0	0.4	4.8232	5.0	90.0	1.0	0.75	1.003	0.9	1.7	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M2X6 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M2X6_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M2	2.0	0.4	5.8232	6.0	90.0	1.0	0.75	1.003	0.9	1.7	A	St	JIS B 1177 	1997
JIS B 1177 SCREW M2X8 GRADE A STEEL HEXAGON SOCKET CUP POINT SET	JIS_B_1177_M2X8_GRADE_A_STEEL_HEXAGON_SOCKET_CUP_POINT_SET_SCREW	M2	2.0	0.4	7.8232	8.0	90.0	1.0	0.75	1.003	0.9	1.7	A	St	JIS B 1177 	1997
