PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	angle(deg)	dp_dia_point(mm)	dp_min(mm)	e_across_points(mm)	s_across_flat(mm)	t_depth_socket(mm)	z_dog_point_max(mm)	dog_point	Grade	Material	Reference	Edition
JIS B 1177 SCREW M1.6x2 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M1.6x2_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M1.6	1.6	0.35	1.8906	2.0	120	0.8	0.55	0.803	0.7	0.7	0.65	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M1.6x2.5 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M1.6x2.5_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M1.6	1.6	0.35	2.3906	2.5	120	0.8	0.55	0.803	0.7	0.7	0.65	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M1.6x3 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M1.6x3_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M1.6	1.6	0.35	2.8453	3.0	90	0.8	0.55	0.803	0.7	1.5	1.05	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M1.6x4 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M1.6x4_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M1.6	1.6	0.35	3.8453	4.0	90	0.8	0.55	0.803	0.7	1.5	1.05	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M1.6x5 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M1.6x5_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M1.6	1.6	0.35	4.8453	5.0	90	0.8	0.55	0.803	0.7	1.5	1.05	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M1.6x6 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M1.6x6_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M1.6	1.6	0.35	5.8453	6.0	90	0.8	0.55	0.803	0.7	1.5	1.05	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M1.6x8 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M1.6x8_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M1.6	1.6	0.35	7.8453	8.0	90	0.8	0.55	0.803	0.7	1.5	1.05	LONG	A	St	JIS B 1177	1997
JIS B 1177 SCREW M2x2.5 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M2x2.5_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M2	2.0	0.4	2.3750	2.5	120	1.0	0.75	1.003	0.9	0.8	0.75	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M2x3 STEEL GRADE A HEXAGON SOCKET SHORT DOG POINT SET	JIS_B_1177_M2x3_STEEL_GRADE_A_HEXAGON_SOCKET_SHORT_DOG_POINT_SET_SCREW	M2	2.0	0.4	2.8750	3.0	120	1.0	0.75	1.003	0.9	0.8	0.75	SHORT	A	St	JIS B 1177	1997
JIS B 1177 SCREW M2x4 STEEL GRADE A HEXAGON SOCKET LONG DOG POINT SET	JIS_B_1177_M2x4_STEEL_GRADE_A_HEXAGON_SOCKET_LONG_DOG_POINT_SET_SCREW	M2	2.0	0.4	3.8232	4.0	90	1.0	0.75	1.003	0.9	1.7	1.25	LONG	A	St	JIS B 1177	1997
