PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	l_max_length(mm)	k_max_head_depth(mm)	k1_head_edge_length(mm)	a_max(mm)	c_min(mm)	c_max(mm)	da_max(mm)	dw_min(mm)	e(mm)	r_min(mm)	s_nom_across_flats(mm)	Grade	Material	Reference	Edition
JIS B 1180 SCREW M1.6x2 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M1.6x2_GRADE_A_STEEL_HEX_HEAD_SCREW	M1.6	1.6	0.35	0.95	2.0	2.2	1.225	0.68	1.05	0.1	0.25	2.0	2.27	3.41	0.1	3.2	A	St	JIS B 1180	1994
JIS B 1180 SCREW M1.6x3 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M1.6x3_GRADE_A_STEEL_HEX_HEAD_SCREW	M1.6	1.6	0.35	1.95	3.0	3.2	1.225	0.68	1.05	0.1	0.25	2.0	2.27	3.41	0.1	3.2	A	St	JIS B 1180	1994
JIS B 1180 SCREW M1.6x4 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M1.6x4_GRADE_A_STEEL_HEX_HEAD_SCREW	M1.6	1.6	0.35	2.95	4.0	4.24	1.225	0.68	1.05	0.1	0.25	2.0	2.27	3.41	0.1	3.2	A	St	JIS B 1180	1994
JIS B 1180 SCREW M1.6x5 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M1.6x5_GRADE_A_STEEL_HEX_HEAD_SCREW	M1.6	1.6	0.35	3.95	5.0	5.24	1.225	0.68	1.05	0.1	0.25	2.0	2.27	3.41	0.1	3.2	A	St	JIS B 1180	1994
JIS B 1180 SCREW M1.6x6 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M1.6x6_GRADE_A_STEEL_HEX_HEAD_SCREW	M1.6	1.6	0.35	4.95	6.0	6.24	1.225	0.68	1.05	0.1	0.25	2.0	2.27	3.41	0.1	3.2	A	St	JIS B 1180	1994
JIS B 1180 SCREW M1.6x8 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M1.6x8_GRADE_A_STEEL_HEX_HEAD_SCREW	M1.6	1.6	0.35	6.95	8.0	8.29	1.225	0.68	1.05	0.1	0.25	2.0	2.27	3.41	0.1	3.2	A	St	JIS B 1180	1994
JIS B 1180 SCREW M1.6x10 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M1.6x10_GRADE_A_STEEL_HEX_HEAD_SCREW	M1.6	1.6	0.35	8.95	10.0	10.29	1.225	0.68	1.05	0.1	0.25	2.0	2.27	3.41	0.1	3.2	A	St	JIS B 1180	1994
JIS B 1180 SCREW M1.6x12 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M1.6x12_GRADE_A_STEEL_HEX_HEAD_SCREW	M1.6	1.6	0.35	10.95	12.0	12.35	1.225	0.68	1.05	0.1	0.25	2.0	2.27	3.41	0.1	3.2	A	St	JIS B 1180	1994
JIS B 1180 SCREW M1.6x16 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M1.6x16_GRADE_A_STEEL_HEX_HEAD_SCREW	M1.6	1.6	0.35	14.95	16.0	16.35	1.225	0.68	1.05	0.1	0.25	2.0	2.27	3.41	0.1	3.2	A	St	JIS B 1180	1994
JIS B 1180 SCREW M2x4 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M2x4_GRADE_A_STEEL_HEX_HEAD_SCREW	M2	2.0	0.4	2.8	4.0	4.24	1.525	0.89	1.2	0.1	0.25	2.6	3.07	4.32	0.1	4.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M2x5 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M2x5_GRADE_A_STEEL_HEX_HEAD_SCREW	M2	2.0	0.4	3.8	5.0	5.24	1.525	0.89	1.2	0.1	0.25	2.6	3.07	4.32	0.1	4.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M2x6 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M2x6_GRADE_A_STEEL_HEX_HEAD_SCREW	M2	2.0	0.4	4.8	6.0	6.24	1.525	0.89	1.2	0.1	0.25	2.6	3.07	4.32	0.1	4.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M2x8 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M2x8_GRADE_A_STEEL_HEX_HEAD_SCREW	M2	2.0	0.4	6.8	8.0	8.29	1.525	0.89	1.2	0.1	0.25	2.6	3.07	4.32	0.1	4.0	A	St	JIS B 1180	1994
JIS B 1180 SCREW M2x10 GRADE A STEEL HEXAGON HEAD	JIS_B_1180_M2x10_GRADE_A_STEEL_HEX_HEAD_SCREW	M2	2.0	0.4	8.8	10.0	10.29	1.525	0.89	1.2	0.1	0.25	2.6	3.07	4.32	0.1	4.0	A	St	JIS B 1180	1994
