PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_bolt_length(mm)	s_nom_across_flats(mm)	ls_shoulder_length(mm)	lg_shoulder_length(mm)	k_max_head_depth(mm)	k_head_edge_length(mm)	dw(mm)	r_min(mm)	c_min(mm)	c__max(mm)	da_max(mm)	ds_max_nom(mm)	e_acrosscorner_min(mm)	lf_max(mm)	Grade	Material	Reference	Edition
JIS B 1180 BOLT M1.6x12 STEEL GRADE A HEXAGON HEAD	JIS_B_1180_M1.6x12_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M1.6	1.6	0.35	9.0	12.0	3.2	1.2	3.0	1.225	0.68	2.27	0.1	0.1	0.25	2.0	1.6	3.41	0.6	A	St	JIS B 1180	1994
JIS B 1180 BOLT M1.6x16 STEEL GRADE A HEXAGON HEAD	JIS_B_1180_M1.6x16_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M1.6	1.6	0.35	9.0	16.0	3.2	5.2	7.0	1.225	0.68	2.27	0.1	0.1	0.25	2.0	1.6	3.41	0.6	A	St	JIS B 1180	1994
JIS B 1180 BOLT M2x16 STEEL GRADE A HEXAGON HEAD	JIS_B_1180_M2x16_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M2	2.0	0.4	10.0	16.0	4.0	4.0	6.0	1.525	0.89	3.07	0.1	0.1	0.25	2.6	2.0	4.32	0.8	A	St	JIS B 1180	1994
JIS B 1180 BOLT M2x20 STEEL GRADE A HEXAGON HEAD	JIS_B_1180_M2x20_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M2	2.0	0.4	10.0	20.0	4.0	8.0	10.0	1.525	0.89	3.07	0.1	0.1	0.25	2.6	2.0	4.32	0.8	A	St	JIS B 1180	1994
JIS B 1180 BOLT M2.5x16 STEEL GRADE A HEXAGON HEAD	JIS_B_1180_M2.5x16_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M2.5	2.5	0.45	11.0	16.0	5.0	2.75	5.0	1.825	1.1	4.07	0.1	0.1	0.25	3.1	2.5	5.45	1.0	A	St	JIS B 1180	1994
JIS B 1180 BOLT M2.5x20 STEEL GRADE A HEXAGON HEAD	JIS_B_1180_M2.5x20_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M2.5	2.5	0.45	11.0	20.0	5.0	6.75	9.0	1.825	1.1	4.07	0.1	0.1	0.25	3.1	2.5	5.45	1.0	A	St	JIS B 1180	1994
JIS B 1180 BOLT M2.5x25 STEEL GRADE A HEXAGON HEAD	JIS_B_1180_M2.5x25_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M2.5	2.5	0.45	11.0	25.0	5.0	11.75	14.0	1.825	1.1	4.07	0.1	0.1	0.25	3.1	2.5	5.45	1.0	A	St	JIS B 1180	1994
JIS B 1180 BOLT M3x20 STEEL GRADE A HEXAGON HEAD	JIS_B_1180_M3x20_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M3	3.0	0.5	12.0	20.0	5.5	5.5	8.0	2.125	1.31	4.57	0.1	0.15	0.4	3.6	3.0	6.01	1.0	A	St	JIS B 1180	1994
JIS B 1180 BOLT M3x25 STEEL GRADE A HEXAGON HEAD	JIS_B_1180_M3x25_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M3	3.0	0.5	12.0	25.0	5.5	10.5	13.0	2.125	1.31	4.57	0.1	0.15	0.4	3.6	3.0	6.01	1.0	A	St	JIS B 1180	1994
JIS B 1180 BOLT M3x30 STEEL GRADE A HEXAGON HEAD	JIS_B_1180_M3x30_STEEL_GRADE_A_HEXAGON_HEAD_BOLT	M3	3.0	0.5	12.0	30.0	5.5	15.5	18.0	2.125	1.31	4.57	0.1	0.15	0.4	3.6	3.0	6.01	1.0	A	St	JIS B 1180	1994
