PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	ds_max_bolt_dia(mm)	ds_min_bolt_dia(mm)	l_bolt_length(mm)	s_max_across_flats(mm)	ls_shoulder_length(mm)	lg_shoulder_length(mm)	k_max_head_depth(mm)	k_head_edge_length(mm)	dw(mm)	r_min(mm)	c_max(mm)	da_max(mm)	ds_max_nom(mm)	e_acrosscorner_min(mm)	Grade	Material	Reference	Edition
JIS B 1180 BOLT M14x60 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M14x60_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M14	14.0	2.0	34.0	14.7	13.3	60.0	21.0	16.0	26.0	8.8	5.85	19.15	0.6	0.6	16.7	14.7	22.78	C	St	JIS B 1180	1994
JIS B 1180 BOLT M14x65 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M14x65_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M14	14.0	2.0	34.0	14.7	13.3	65.0	21.0	21.0	31.0	8.8	5.85	19.15	0.6	0.6	16.7	14.7	22.78	C	St	JIS B 1180	1994
JIS B 1180 BOLT M14x70 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M14x70_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M14	14.0	2.0	34.0	14.7	13.3	70.0	21.0	26.0	36.0	8.8	5.85	19.15	0.6	0.6	16.7	14.7	22.78	C	St	JIS B 1180	1994
JIS B 1180 BOLT M14x80 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M14x80_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M14	14.0	2.0	34.0	14.7	13.3	80.0	21.0	36.0	46.0	8.8	5.85	19.15	0.6	0.6	16.7	14.7	22.78	C	St	JIS B 1180	1994
JIS B 1180 BOLT M14x90 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M14x90_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M14	14.0	2.0	34.0	14.7	13.3	90.0	21.0	46.0	56.0	8.8	5.85	19.15	0.6	0.6	16.7	14.7	22.78	C	St	JIS B 1180	1994
JIS B 1180 BOLT M14x100 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M14x100_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M14	14.0	2.0	34.0	14.7	13.3	100.0	21.0	56.0	66.0	8.8	5.85	19.15	0.6	0.6	16.7	14.7	22.78	C	St	JIS B 1180	1994
JIS B 1180 BOLT M14x110 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M14x110_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M14	14.0	2.0	34.0	14.7	13.3	110.0	21.0	66.0	76.0	8.8	5.85	19.15	0.6	0.6	16.7	14.7	22.78	C	St	JIS B 1180	1994
JIS B 1180 BOLT M14x120 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M14x120_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M14	14.0	2.0	34.0	14.7	13.3	120.0	21.0	76.0	86.0	8.8	5.85	19.15	0.6	0.6	16.7	14.7	22.78	C	St	JIS B 1180	1994
JIS B 1180 BOLT M14x130 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M14x130_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M14	14.0	2.0	40.0	14.7	13.3	130.0	21.0	80.0	90.0	8.8	5.85	19.15	0.6	0.6	16.7	14.7	22.78	C	St	JIS B 1180	1994
JIS B 1180 BOLT M14x140 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M14x140_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M14	14.0	2.0	40.0	14.7	13.3	140.0	21.0	90.0	100.0	8.8	5.85	19.15	0.6	0.6	16.7	14.7	22.78	C	St	JIS B 1180	1994
JIS B 1180 BOLT M18x80 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M18x80_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M18	18.0	2.5	42.0	18.7	17.3	80.0	27.0	25.5	38.0	11.5	7.42	24.85	0.6	0.8	21.2	18.7	29.56	C	St	JIS B 1180	1994
JIS B 1180 BOLT M18x90 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M18x90_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M18	18.0	2.5	42.0	18.7	17.3	90.0	27.0	35.5	48.0	11.5	7.42	24.85	0.6	0.8	21.2	18.7	29.56	C	St	JIS B 1180	1994
JIS B 1180 BOLT M18x100 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M18x100_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M18	18.0	2.5	42.0	18.7	17.3	100.0	27.0	45.5	58.0	11.5	7.42	24.85	0.6	0.8	21.2	18.7	29.56	C	St	JIS B 1180	1994
JIS B 1180 BOLT M18x110 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M18x110_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M18	18.0	2.5	42.0	18.7	17.3	110.0	27.0	55.5	68.0	11.5	7.42	24.85	0.6	0.8	21.2	18.7	29.56	C	St	JIS B 1180	1994
JIS B 1180 BOLT M18x120 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M18x120_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M18	18.0	2.5	42.0	18.7	17.3	120.0	27.0	65.5	78.0	11.5	7.42	24.85	0.6	0.8	21.2	18.7	29.56	C	St	JIS B 1180	1994
JIS B 1180 BOLT M18x130 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M18x130_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M18	18.0	2.5	48.0	18.7	17.3	130.0	27.0	69.5	82.0	11.5	7.42	24.85	0.6	0.8	21.2	18.7	29.56	C	St	JIS B 1180	1994
JIS B 1180 BOLT M18x140 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M18x140_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M18	18.0	2.5	48.0	18.7	17.3	140.0	27.0	79.5	92.0	11.5	7.42	24.85	0.6	0.8	21.2	18.7	29.56	C	St	JIS B 1180	1994
JIS B 1180 BOLT M18x150 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M18x150_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M18	18.0	2.5	48.0	18.7	17.3	150.0	27.0	89.5	102.0	11.5	7.42	24.85	0.6	0.8	21.2	18.7	29.56	C	St	JIS B 1180	1994
JIS B 1180 BOLT M18x160 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M18x160_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M18	18.0	2.5	48.0	18.7	17.3	160.0	27.0	99.5	112.0	11.5	7.42	24.85	0.6	0.8	21.2	18.7	29.56	C	St	JIS B 1180	1994
JIS B 1180 BOLT M18x180 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M18x180_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M18	18.0	2.5	48.0	18.7	17.3	180.0	27.0	119.5	132.0	11.5	7.42	24.85	0.6	0.8	21.2	18.7	29.56	C	St	JIS B 1180	1994
JIS B 1180 BOLT M22x90 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x90_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	50.0	22.84	21.16	90.0	34.0	27.5	40.0	14.0	9.17	31.35	0.8	0.8	26.4	22.84	37.29	C	St	JIS B 1180	1994
JIS B 1180 BOLT M22x100 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x100_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	50.0	22.84	21.16	100.0	34.0	37.5	50.0	14.0	9.17	31.35	0.8	0.8	26.4	22.84	37.29	C	St	JIS B 1180	1994
JIS B 1180 BOLT M22x110 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x110_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	50.0	22.84	21.16	110.0	34.0	47.5	60.0	14.0	9.17	31.35	0.8	0.8	26.4	22.84	37.29	C	St	JIS B 1180	1994
JIS B 1180 BOLT M22x120 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x120_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	50.0	22.84	21.16	120.0	34.0	57.5	70.0	14.0	9.17	31.35	0.8	0.8	26.4	22.84	37.29	C	St	JIS B 1180	1994
JIS B 1180 BOLT M22x130 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x130_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	56.0	22.84	21.16	130.0	34.0	61.5	74.0	14.0	9.17	31.35	0.8	0.8	26.4	22.84	37.29	C	St	JIS B 1180	1994
JIS B 1180 BOLT M22x140 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x140_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	56.0	22.84	21.16	140.0	34.0	71.5	84.0	14.0	9.17	31.35	0.8	0.8	26.4	22.84	37.29	C	St	JIS B 1180	1994
JIS B 1180 BOLT M22x150 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x150_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	56.0	22.84	21.16	150.0	34.0	81.5	94.0	14.0	9.17	31.35	0.8	0.8	26.4	22.84	37.29	C	St	JIS B 1180	1994
JIS B 1180 BOLT M22x160 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x160_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	56.0	22.84	21.16	160.0	34.0	91.5	104.0	14.0	9.17	31.35	0.8	0.8	26.4	22.84	37.29	C	St	JIS B 1180	1994
JIS B 1180 BOLT M22x180 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x180_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	56.0	22.84	21.16	180.0	34.0	111.5	124.0	14.0	9.17	31.35	0.8	0.8	26.4	22.84	37.29	C	St	JIS B 1180	1994
JIS B 1180 BOLT M22x200 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x200_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	56.0	22.84	21.16	200.0	34.0	131.5	144.0	14.0	9.17	31.35	0.8	0.8	26.4	22.84	37.29	C	St	JIS B 1180	1994
JIS B 1180 BOLT M22x220 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M22x220_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M22	22.0	2.5	69.0	22.84	21.16	220.0	34.0	138.5	151.0	14.0	9.17	31.35	0.8	0.8	26.4	22.84	37.29	C	St	JIS B 1180	1994
JIS B 1180 BOLT M27x110 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x110_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	60.0	27.84	26.16	110.0	41.0	35.0	50.0	17.0	11.27	38.0	1.0	0.8	32.4	27.84	45.2	C	St	JIS B 1180	1994
JIS B 1180 BOLT M27x120 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x120_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	60.0	27.84	26.16	120.0	41.0	45.0	60.0	17.0	11.27	38.0	1.0	0.8	32.4	27.84	45.2	C	St	JIS B 1180	1994
JIS B 1180 BOLT M27x130 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x130_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	66.0	27.84	26.16	130.0	41.0	49.0	64.0	17.0	11.27	38.0	1.0	0.8	32.4	27.84	45.2	C	St	JIS B 1180	1994
JIS B 1180 BOLT M27x140 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x140_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	66.0	27.84	26.16	140.0	41.0	59.0	74.0	17.0	11.27	38.0	1.0	0.8	32.4	27.84	45.2	C	St	JIS B 1180	1994
JIS B 1180 BOLT M27x150 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x150_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	66.0	27.84	26.16	150.0	41.0	69.0	84.0	17.0	11.27	38.0	1.0	0.8	32.4	27.84	45.2	C	St	JIS B 1180	1994
JIS B 1180 BOLT M27x160 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x160_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	66.0	27.84	26.16	160.0	41.0	79.0	94.0	17.0	11.27	38.0	1.0	0.8	32.4	27.84	45.2	C	St	JIS B 1180	1994
JIS B 1180 BOLT M27x180 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x180_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	66.0	27.84	26.16	180.0	41.0	99.0	114.0	17.0	11.27	38.0	1.0	0.8	32.4	27.84	45.2	C	St	JIS B 1180	1994
JIS B 1180 BOLT M27x200 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x200_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	66.0	27.84	26.16	200.0	41.0	119.0	134.0	17.0	11.27	38.0	1.0	0.8	32.4	27.84	45.2	C	St	JIS B 1180	1994
JIS B 1180 BOLT M27x220 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x220_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	79.0	27.84	26.16	220.0	41.0	126.0	141.0	17.0	11.27	38.0	1.0	0.8	32.4	27.84	45.2	C	St	JIS B 1180	1994
JIS B 1180 BOLT M27x240 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x240_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	79.0	27.84	26.16	240.0	41.0	146.0	161.0	17.0	11.27	38.0	1.0	0.8	32.4	27.84	45.2	C	St	JIS B 1180	1994
JIS B 1180 BOLT M27x260 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M27x260_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M27	27.0	3.0	79.0	27.84	26.16	260.0	41.0	166.0	181.0	17.0	11.27	38.0	1.0	0.8	32.4	27.84	45.2	C	St	JIS B 1180	1994
JIS B 1180 BOLT M33x130 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x130_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	78.0	34.0	32.0	130.0	50.0	34.5	52.0	21.0	13.97	46.55	1.0	0.8	38.4	34.0	55.37	C	St	JIS B 1180	1994
JIS B 1180 BOLT M33x140 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x140_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	78.0	34.0	32.0	140.0	50.0	44.5	62.0	21.0	13.97	46.55	1.0	0.8	38.4	34.0	55.37	C	St	JIS B 1180	1994
JIS B 1180 BOLT M33x150 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x150_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	78.0	34.0	32.0	150.0	50.0	54.5	72.0	21.0	13.97	46.55	1.0	0.8	38.4	34.0	55.37	C	St	JIS B 1180	1994
JIS B 1180 BOLT M33x160 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x160_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	78.0	34.0	32.0	160.0	50.0	64.5	82.0	21.0	13.97	46.55	1.0	0.8	38.4	34.0	55.37	C	St	JIS B 1180	1994
JIS B 1180 BOLT M33x180 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x180_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	78.0	34.0	32.0	180.0	50.0	84.5	102.0	21.0	13.97	46.55	1.0	0.8	38.4	34.0	55.37	C	St	JIS B 1180	1994
JIS B 1180 BOLT M33x200 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x200_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	78.0	34.0	32.0	200.0	50.0	104.5	122.0	21.0	13.97	46.55	1.0	0.8	38.4	34.0	55.37	C	St	JIS B 1180	1994
JIS B 1180 BOLT M33x220 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x220_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	91.0	34.0	32.0	220.0	50.0	111.5	129.0	21.0	13.97	46.55	1.0	0.8	38.4	34.0	55.37	C	St	JIS B 1180	1994
JIS B 1180 BOLT M33x240 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x240_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	91.0	34.0	32.0	240.0	50.0	131.5	149.0	21.0	13.97	46.55	1.0	0.8	38.4	34.0	55.37	C	St	JIS B 1180	1994
JIS B 1180 BOLT M33x260 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x260_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	91.0	34.0	32.0	260.0	50.0	151.5	167.0	21.0	13.97	46.55	1.0	0.8	38.4	34.0	55.37	C	St	JIS B 1180	1994
JIS B 1180 BOLT M33x280 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x280_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	91.0	34.0	32.0	280.0	50.0	171.5	169.0	21.0	13.97	46.55	1.0	0.8	38.4	34.0	55.37	C	St	JIS B 1180	1994
JIS B 1180 BOLT M33x300 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x300_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	91.0	34.0	32.0	300.0	50.0	191.5	209.0	21.0	13.97	46.55	1.0	0.8	38.4	34.0	55.37	C	St	JIS B 1180	1994
JIS B 1180 BOLT M33x320 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M33x320_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M33	33.0	3.5	91.0	34.0	32.0	320.0	50.0	211.5	229.0	21.0	13.97	46.55	1.0	0.8	38.4	34.0	55.37	C	St	JIS B 1180	1994
JIS B 1180 BOLT M39x150 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x150_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	90.0	40.0	38.0	150.0	60.0	40.0	60.0	25.0	16.77	55.86	1.0	1.0	48.6	40.0	66.44	C	St	JIS B 1180	1994
JIS B 1180 BOLT M39x160 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x160_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	90.0	40.0	38.0	160.0	60.0	50.0	70.0	25.0	16.77	55.86	1.0	1.0	45.4	40.0	66.44	C	St	JIS B 1180	1994
JIS B 1180 BOLT M39x180 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x180_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	90.0	40.0	38.0	180.0	60.0	70.0	90.0	25.0	16.77	55.86	1.0	1.0	45.4	40.0	66.44	C	St	JIS B 1180	1994
JIS B 1180 BOLT M39x200 STEEL GRADE C HEXAGON HEAD NON PREFERRED	JIS_B_1180_M39x200_STEEL_GRADE_C_NON_PREFERRED_HEXAGON_HEAD_BOLT	M39	39.0	4.0	90.0	40.0	38.0	200.0	60.0	90.0	110.0	25.0	16.77	55.86	1.0	1.0	45.4	40.0	66.44	C	St	JIS B 1180	1994
