PartNumber	PartName	Designation	d_dia(mm)	D1_dia_min(mm)	p_pitch(mm)	threading(mm)	m_min(mm)	da_min(mm)	da_max(mm)	e_across_corners(mm)	m_max(mm)	m1(mm)	s_across_flats(mm)	Style	Grade	Material	Reference	Edition
JIS B 1181 NUT M1.6 STEEL GRADE A HEXAGON DBL CHAMFERED STYLE 1	JIS_B_1181_M1.6_STEEL_GRADE_A_DBL_CHAMFERED_STYLE_1_HEXAGON_NUT	M1.6	1.6	1.221	0.35	1.3	1.05	1.6	1.84	3.41	1.3	0.84	3.2	1.0	A	St	JIS B 1181	1993
JIS B 1181 NUT M2 STEEL GRADE A HEXAGON DBL CHAMFERED STYLE 1	JIS_B_1181_M2_STEEL_GRADE_A_DBL_CHAMFERED_STYLE_1_HEXAGON_NUT	M2	2.0	1.567	0.4	1.6	1.35	2.0	2.3	4.32	1.6	1.08	4.0	1.0	A	St	JIS B 1181	1993
JIS B 1181 NUT M2.5 STEEL GRADE A HEXAGON DBL CHAMFERED STYLE 1	JIS_B_1181_M2.5_STEEL_GRADE_A_DBL_CHAMFERED_STYLE_1_HEXAGON_NUT	M2.5	2.5	2.013	0.45	2.0	1.75	2.5	2.9	5.45	2.0	1.4	5.0	1.0	A	St	JIS B 1181	1993
JIS B 1181 NUT M3 STEEL GRADE A HEXAGON DBL CHAMFERED STYLE 1	JIS_B_1181_M3_STEEL_GRADE_A_DBL_CHAMFERED_STYLE_1_HEXAGON_NUT	M3	3.0	2.459	0.5	2.4	2.15	3.0	3.45	6.01	2.4	1.72	5.5	1.0	A	St	JIS B 1181	1993
JIS B 1181 NUT M4 STEEL GRADE A HEXAGON DBL CHAMFERED STYLE 1	JIS_B_1181_M4_STEEL_GRADE_A_DBL_CHAMFERED_STYLE_1_HEXAGON_NUT	M4	4.0	3.242	0.7	3.2	2.9	4.0	4.6	7.66	3.2	2.32	7.0	1.0	A	St	JIS B 1181	1993
JIS B 1181 NUT M5 STEEL GRADE A HEXAGON DBL CHAMFERED STYLE 1	JIS_B_1181_M5_STEEL_GRADE_A_DBL_CHAMFERED_STYLE_1_HEXAGON_NUT	M5	5.0	4.134	0.8	4.7	4.4	5.0	5.75	8.79	4.7	3.52	8.0	1.0	A	St	JIS B 1181	1993
JIS B 1181 NUT M6 STEEL GRADE A HEXAGON DBL CHAMFERED STYLE 1	JIS_B_1181_M6_STEEL_GRADE_A_DBL_CHAMFERED_STYLE_1_HEXAGON_NUT	M6	6.0	4.918	1.0	5.2	4.9	6.0	6.75	11.05	5.2	3.92	10.0	1.0	A	St	JIS B 1181	1993
JIS B 1181 NUT M8 STEEL GRADE A HEXAGON DBL CHAMFERED STYLE 1	JIS_B_1181_M8_STEEL_GRADE_A_DBL_CHAMFERED_STYLE_1_HEXAGON_NUT	M8	8.0	6.647	1.25	6.8	6.44	8.0	8.75	14.38	6.8	5.15	13.0	1.0	A	St	JIS B 1181	1993
JIS B 1181 NUT M10 STEEL GRADE A HEXAGON DBL CHAMFERED STYLE 1	JIS_B_1181_M10_STEEL_GRADE_A_DBL_CHAMFERED_STYLE_1_HEXAGON_NUT	M10	10.0	8.376	1.5	8.4	8.04	10.0	10.8	17.77	8.4	6.43	16.0	1.0	A	St	JIS B 1181	1993
JIS B 1181 NUT M12 STEEL GRADE A HEXAGON DBL CHAMFERED STYLE 1	JIS_B_1181_M12_STEEL_GRADE_A_DBL_CHAMFERED_STYLE_1_HEXAGON_NUT	M12	12.0	10.106	1.75	10.8	10.37	12.0	13.0	20.03	10.8	8.3	18.0	1.0	A	St	JIS B 1181	1993
