PartNumber	PartName	Nominal_dia(mm)	d1_inside_dia(mm)	d1_max(mm)	d2_outside_dia(mm)	d2_min(mm)	h_thick(mm)	h_max(mm)	h_min(mm)	Grade	Material	Reference	Edition
JIS B 1256 WASHER 5X10 STEEL GRADE A PLAIN CHAMFERED SERIES	JIS_B_1256_5X10_STEEL_GRADE_A_CHAMFERED_SERIES_PLAIN_WASHER	5.0	5.3	5.48	10.0	9.64	1.0	1.1	0.9	A	St	JIS B 1256	1998
JIS B 1256 WASHER 6X12 STEEL GRADE A PLAIN CHAMFERED SERIES	JIS_B_1256_6X12_STEEL_GRADE_A_CHAMFERED_SERIES_PLAIN_WASHER	6.0	6.4	6.62	12.0	11.57	1.6	1.8	1.4	A	St	JIS B 1256	1998
JIS B 1256 WASHER 8X16 STEEL GRADE A PLAIN CHAMFERED SERIES	JIS_B_1256_8X16_STEEL_GRADE_A_CHAMFERED_SERIES_PLAIN_WASHER	8.0	8.4	8.62	16.0	15.57	1.6	1.8	1.4	A	St	JIS B 1256	1998
JIS B 1256 WASHER 10X20 STEEL GRADE A PLAIN CHAMFERED SERIES	JIS_B_1256_10X20_STEEL_GRADE_A_CHAMFERED_SERIES_PLAIN_WASHER	10.0	10.5	10.77	20.0	19.48	2.0	2.2	1.8	A	St	JIS B 1256	1998
JIS B 1256 WASHER 12X24 STEEL GRADE A PLAIN CHAMFERED SERIES	JIS_B_1256_12X24_STEEL_GRADE_A_CHAMFERED_SERIES_PLAIN_WASHER	12.0	13.0	13.27	24.0	23.48	2.5	2.7	2.3	A	St	JIS B 1256	1998
JIS B 1256 WASHER 14X28 STEEL GRADE A PLAIN CHAMFERED SERIES	JIS_B_1256_14X28_STEEL_GRADE_A_CHAMFERED_SERIES_PLAIN_WASHER	14.0	15.0	15.27	28.0	27.48	2.5	2.7	2.3	A	St	JIS B 1256	1998
JIS B 1256 WASHER 16X30 STEEL GRADE A PLAIN CHAMFERED SERIES	JIS_B_1256_16X30_STEEL_GRADE_A_CHAMFERED_SERIES_PLAIN_WASHER	16.0	17.0	17.27	30.0	29.48	3.0	3.3	2.7	A	St	JIS B 1256	1998
JIS B 1256 WASHER 20X37 STEEL GRADE A PLAIN CHAMFERED SERIES	JIS_B_1256_20X37_STEEL_GRADE_A_CHAMFERED_SERIES_PLAIN_WASHER	20.0	21.0	21.33	37.0	36.38	3.0	3.3	2.7	A	St	JIS B 1256	1998
JIS B 1256 WASHER 24X44 STEEL GRADE A PLAIN CHAMFERED SERIES	JIS_B_1256_24X44_STEEL_GRADE_A_CHAMFERED_SERIES_PLAIN_WASHER	24.0	25.0	25.33	44.0	43.38	4.0	4.3	3.7	A	St	JIS B 1256	1998
JIS B 1256 WASHER 30X56 STEEL GRADE A PLAIN CHAMFERED SERIES	JIS_B_1256_30X56_STEEL_GRADE_A_CHAMFERED_SERIES_PLAIN_WASHER	30.0	31.0	31.39	56.0	55.26	4.0	4.3	3.7	A	St	JIS B 1256	1998
JIS B 1256 WASHER 36X66 STEEL GRADE A PLAIN CHAMFERED SERIES	JIS_B_1256_36X66_STEEL_GRADE_A_CHAMFERED_SERIES_PLAIN_WASHER	36.0	37.0	37.62	66.0	64.8	5.0	5.6	4.4	A	St	JIS B 1256	1998
