PartNumber	PartName	Nominal_dia(mm)	d1_inside_dia(mm)	d1_max(mm)	d2_outside_dia(mm)	d2_min(mm)	h_thick(mm)	h_max(mm)	h_min(mm)	Grade	Material	Reference	Edition
JIS B 1256 WASHER 3x9 STEEL GRADE A PLAIN LARGE SERIES	JIS_B_1256_3x9_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	3.0	3.2	3.38	9.0	8.64	0.8	0.9	0.7	A	St	JIS B 1256	1998
JIS B 1256 WASHER 3.5x11 STEEL GRADE A PLAIN LARGE SERIES	JIS_B_1256_3.5x11_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	3.5	3.7	3.88	11.0	10.57	0.8	0.9	0.7	A	St	JIS B 1256	1998
JIS B 1256 WASHER 4x12 STEEL GRADE A PLAIN LARGE SERIES	JIS_B_1256_4x12_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	4.0	4.3	4.48	12.0	11.57	1.0	1.1	0.9	A	St	JIS B 1256	1998
JIS B 1256 WASHER 5x15 STEEL GRADE A PLAIN LARGE SERIES	JIS_B_1256_5x15_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	5.0	5.3	5.48	15.0	14.57	1.2	1.4	1.0	A	St	JIS B 1256	1998
JIS B 1256 WASHER 6x18 STEEL GRADE A PLAIN LARGE SERIES	JIS_B_1256_6x18_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	6.0	6.4	6.62	18.0	17.57	1.6	1.8	1.4	A	St	JIS B 1256	1998
JIS B 1256 WASHER 8x24 STEEL GRADE A PLAIN LARGE SERIES	JIS_B_1256_8x24_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	8.0	8.4	8.62	24.0	23.48	2.0	2.2	1.8	A	St	JIS B 1256	1998
JIS B 1256 WASHER 10x30 STEEL GRADE A PLAIN LARGE SERIES	JIS_B_1256_10x30_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	10.0	10.5	10.77	30.0	29.48	2.5	2.7	2.3	A	St	JIS B 1256	1998
JIS B 1256 WASHER 12x37 STEEL GRADE A PLAIN LARGE SERIES	JIS_B_1256_12x37_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	12.0	13.0	13.27	37.0	36.38	3.0	3.3	2.7	A	St	JIS B 1256	1998
JIS B 1256 WASHER 14x44 STEEL GRADE A PLAIN LARGE SERIES	JIS_B_1256_14x44_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	14.0	15.0	15.27	44.0	43.38	3.0	3.3	2.7	A	St	JIS B 1256	1998
JIS B 1256 WASHER 16x50 STEEL GRADE A PLAIN LARGE SERIES	JIS_B_1256_16x50_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	16.0	17.0	17.27	50.0	49.38	3.0	3.3	2.7	A	St	JIS B 1256	1998
JIS B 1256 WASHER 20x60 STEEL GRADE A PLAIN LARGE SERIES	JIS_B_1256_20x60_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	20.0	21.0	21.53	60.0	59.26	4.0	4.3	3.7	A	St	JIS B 1256	1998
JIS B 1256 WASHER 24x72 STEEL GRADE A PLAIN LARGE SERIES	JIS_B_1256_24x72_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	24.0	25.0	22.52	72.0	71.26	5.0	5.6	4.4	A	St	JIS B 1256	1998
JIS B 1256 WASHER 30x92 STEEL GRADE A PLAIN LARGE SERIES	JIS_B_1256_30x92_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	30.0	31.0	31.62	92.0	91.13	6.0	6.6	5.4	A	St	JIS B 1256	1998
JIS B 1256 WASHER 36x110 STEEL GRADE A PLAIN LARGE SERIES	JIS_B_1256_36x110_STEEL_GRADE_A_LARGE_SERIES_PLAIN_WASHER	36.0	37.0	37.62	110.0	109.13	8.0	9.0	7.0	A	St	JIS B 1256	1998
JIS B 1256 WASHER 20x60 STEEL GRADE C PLAIN LARGE SERIES	JIS_B_1256_20x60_STEEL_GRADE_C_LARGE_SERIES_PLAIN_WASHER	20.0	22.0	22.52	60.0	58.1	4.0	4.6	3.4	C	St	JIS B 1256	1998
JIS B 1256 WASHER 24x72 STEEL GRADE C PLAIN LARGE SERIES	JIS_B_1256_24x72_STEEL_GRADE_C_LARGE_SERIES_PLAIN_WASHER	24.0	26.0	26.84	72.0	70.1	5.0	6.0	4.0	C	St	JIS B 1256	1998
JIS B 1256 WASHER 30x92 STEEL GRADE C PLAIN LARGE SERIES	JIS_B_1256_30x92_STEEL_GRADE_C_LARGE_SERIES_PLAIN_WASHER	30.0	33.0	34.0	92.0	89.8	6.0	7.0	5.0	C	St	JIS B 1256	1998
JIS B 1256 WASHER 36x110 STEEL GRADE C PLAIN LARGE SERIES	JIS_B_1256_36x110_STEEL_GRADE_C_LARGE_SERIES_PLAIN_WASHER	36.0	39.0	40.0	110.0	107.8	8.0	9.2	6.8	C	St	JIS B 1256	1998
