PartNumber	PartName	Nominal_dia(mm)	d1_inside_dia(mm)	d1_max(mm)	d2_outside_dia(mm)	d2_min(mm)	h_thick(mm)	h_max(mm)	h_min(mm)	Grade	Material	Reference	Edition
JIS B 1256 WASHER 5x18 STEEL GRADE C PLAIN EXTRA LARGE SERIES	JIS_B_1256_5x18_STEEL_GRADE_C_EXTRA_LARGE_SERIES_PLAIN_WASHER	5.0	5.5	5.8	18.0	16.9	2.0	2.3	1.7	C	St	JIS B 1256	1998
JIS B 1256 WASHER 6x22 STEEL GRADE C PLAIN EXTRA LARGE SERIES	JIS_B_1256_6x22_STEEL_GRADE_C_EXTRA_LARGE_SERIES_PLAIN_WASHER	6.0	6.5	6.96	22.0	20.7	2.0	2.3	1.7	C	St	JIS B 1256	1998
JIS B 1256 WASHER 8x28 STEEL GRADE C PLAIN EXTRA LARGE SERIES	JIS_B_1256_8x28_STEEL_GRADE_C_EXTRA_LARGE_SERIES_PLAIN_WASHER	8.0	9.0	9.36	28.0	26.7	3.0	3.6	2.4	C	St	JIS B 1256	1998
JIS B 1256 WASHER 10x34 STEEL GRADE C PLAIN EXTRA LARGE SERIES	JIS_B_1256_10x34_STEEL_GRADE_C_EXTRA_LARGE_SERIES_PLAIN_WASHER	10.0	11.0	11.43	34.0	32.4	3.0	3.6	2.4	C	St	JIS B 1256	1998
JIS B 1256 WASHER 12x44 STEEL GRADE C PLAIN EXTRA LARGE SERIES	JIS_B_1256_12x44_STEEL_GRADE_C_EXTRA_LARGE_SERIES_PLAIN_WASHER	12.0	13.5	13.93	44.0	42.4	4.0	4.6	3.4	C	St	JIS B 1256	1998
JIS B 1256 WASHER 14x50 STEEL GRADE C PLAIN EXTRA LARGE SERIES	JIS_B_1256_14x50_STEEL_GRADE_C_EXTRA_LARGE_SERIES_PLAIN_WASHER	14.0	15.5	15.93	50.0	48.4	4.0	4.6	3.4	C	St	JIS B 1256	1998
JIS B 1256 WASHER 16x56 STEEL GRADE C PLAIN EXTRA LARGE SERIES	JIS_B_1256_16x56_STEEL_GRADE_C_EXTRA_LARGE_SERIES_PLAIN_WASHER	16.0	17.5	18.2	56.0	54.1	5.0	6.0	4.0	C	St	JIS B 1256	1998
JIS B 1256 WASHER 20x72 STEEL GRADE C PLAIN EXTRA LARGE SERIES	JIS_B_1256_20x72_STEEL_GRADE_C_EXTRA_LARGE_SERIES_PLAIN_WASHER	20.0	22.0	22.84	72.0	70.1	6.0	7.0	5.0	C	St	JIS B 1256	1998
JIS B 1256 WASHER 24x85 STEEL GRADE C PLAIN EXTRA LARGE SERIES	JIS_B_1256_24x85_STEEL_GRADE_C_EXTRA_LARGE_SERIES_PLAIN_WASHER	24.0	26.0	26.84	85.0	82.8	6.0	7.0	5.0	C	St	JIS B 1256	1998
JIS B 1256 WASHER 30x105 STEEL GRADE C PLAIN EXTRA LARGE SERIES	JIS_B_1256_30x105_STEEL_GRADE_C_EXTRA_LARGE_SERIES_PLAIN_WASHER	30.0	33.0	34.0	105.0	102.8	6.0	7.0	5.0	C	St	JIS B 1256	1998
JIS B 1256 WASHER 36x125 STEEL GRADE C PLAIN EXTRA LARGE SERIES	JIS_B_1256_36x125_STEEL_GRADE_C_EXTRA_LARGE_SERIES_PLAIN_WASHER	36.0	39.0	40.0	125.0	122.5	8.0	9.2	6.8	C	St	JIS B 1256	1998
