PartNumber	PartName	Nominal_dia(mm)	d1_inside_dia(mm)	d1_max(mm)	d2_outside_dia(mm)	d2_min(mm)	h_thick(mm)	h_max(mm)	h_min(mm)	Grade	Material	Reference	Edition
JIS B 1256 WASHER 5x10 STEEL GRADE C PLAIN NORMAL SERIES	JIS_B_1256_5x10_STEEL_GRADE_C_NORMAL_SERIES_PLAIN_WASHER	5.0	5.5	5.8	10.0	9.1	1.0	1.2	0.8	C	St	JIS B 1256	1998
JIS B 1256 WASHER 6x12 STEEL GRADE C PLAIN NORMAL SERIES	JIS_B_1256_6x12_STEEL_GRADE_C_PLAIN_WASHER_NORMAL_SERIES	6.0	6.6	6.96	12.0	10.9	1.6	1.9	1.3	C	St	JIS B 1256	1998
JIS B 1256 WASHER 8x16 STEEL GRADE C PLAIN NORMAL SERIES	JIS_B_1256_8x16_STEEL_GRADE_C_PLAIN_WASHER_NORMAL_SERIES	8.0	9.0	9.36	16.0	14.9	1.6	1.9	1.3	C	St	JIS B 1256	1998
JIS B 1256 WASHER 10x20 STEEL GRADE C PLAIN NORMAL SERIES	JIS_B_1256_10x20_STEEL_GRADE_C_PLAIN_WASHER_NORMAL_SERIES	10.0	11.0	11.43	20.0	18.7	2.0	2.3	1.7	C	St	JIS B 1256	1998
JIS B 1256 WASHER 12x24 STEEL GRADE C PLAIN NORMAL SERIES	JIS_B_1256_12x24_STEEL_GRADE_C_PLAIN_WASHER_NORMAL_SERIES	12.0	13.5	13.93	24.0	22.7	2.5	2.8	2.2	C	St	JIS B 1256	1998
JIS B 1256 WASHER 14x28 STEEL GRADE C PLAIN NORMAL SERIES	JIS_B_1256_14x28_STEEL_GRADE_C_PLAIN_WASHER_NORMAL_SERIES	14.0	15.5	15.93	28.0	26.7	2.5	2.8	2.2	C	St	JIS B 1256	1998
JIS B 1256 WASHER 16x30 STEEL GRADE C PLAIN NORMAL SERIES	JIS_B_1256_16x30_STEEL_GRADE_C_PLAIN_WASHER_NORMAL_SERIES	16.0	17.5	17.93	30.0	28.7	3.0	3.6	2.4	C	St	JIS B 1256	1998
JIS B 1256 WASHER 20x37 STEEL GRADE C PLAIN NORMAL SERIES	JIS_B_1256_20x37_STEEL_GRADE_C_PLAIN_WASHER_NORMAL_SERIES	20.0	22.0	22.52	37.0	35.4	3.0	3.6	2.4	C	St	JIS B 1256	1998
JIS B 1256 WASHER 24x44 STEEL GRADE C PLAIN NORMAL SERIES	JIS_B_1256_24x44_STEEL_GRADE_C_PLAIN_WASHER_NORMAL_SERIES	24.0	26.0	26.52	44.0	42.4	4.0	4.6	3.4	C	St	JIS B 1256	1998
JIS B 1256 WASHER 30x56 STEEL GRADE C PLAIN NORMAL SERIES	JIS_B_1256_30x56_STEEL_GRADE_C_PLAIN_WASHER_NORMAL_SERIES	30.0	33.0	33.62	56.0	54.1	4.0	4.6	3.4	C	St	JIS B 1256	1998
JIS B 1256 WASHER 36x66 STEEL GRADE C PLAIN NORMAL SERIES	JIS_B_1256_36x66_STEEL_GRADE_C_PLAIN_WASHER_NORMAL_SERIES	36.0	39.0	40.0	66.0	64.1	5.0	6.0	4.0	C	St	JIS B 1256	1998
