PartNumber	PartName	l_length(mm)	b_width(mm)	h_thickness(mm)	c_chamfer_max(mm)	Symbol	Material	Reference	Edition
JIS B 1301 KEY 2x2x6 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_2x2x6_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	6	2.0	2.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 2x2x8 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_2x2x8_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	8	2.0	2.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 2x2x10 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_2x2x10_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	10	2.0	2.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 2x2x12 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_2x2x12_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	12	2.0	2.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 2x2x14 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_2x2x14_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	14	2.0	2.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 2x2x16 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_2x2x16_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	16	2.0	2.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 2x2x18 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_2x2x18_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	18	2.0	2.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 2x2x20 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_2x2x20_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	20	2.0	2.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x6 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_3x3x6_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	6	3.0	3.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x8 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_3x3x8_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	8	3.0	3.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x10 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_3x3x10_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	10	3.0	3.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x12 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_3x3x12_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	12	3.0	3.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x14 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_3x3x14_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	14	3.0	3.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x16 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_3x3x16_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	16	3.0	3.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x18 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_3x3x18_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	18	3.0	3.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x20 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_3x3x20_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	20	3.0	3.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x22 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_3x3x22_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	22	3.0	3.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x25 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_3x3x25_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	25	3.0	3.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x28 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_3x3x28_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	28	3.0	3.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x32 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_3x3x32_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	32	3.0	3.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x36 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_3x3x36_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	36	3.0	3.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x8 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_4x4x8_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	8	4.0	4.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x10 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_4x4x10_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	10	4.0	4.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x12 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_4x4x12_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	12	4.0	4.0	0.25	B	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x14 PARALLEL WITHOUT HOLES SYMBOL B	JIS_B_1301_4x4x14_SYMBOL_B_WITHOUT_HOLES_PARALLEL_KEY	14	4.0	4.0	0.25	B	St	JIS B 1301	1996
