PartNumber	PartName	l_length(mm)	b_width(mm)	h_thickness(mm)	c_chamfer_max(mm)	d2_hole(mm)	d3_hole(mm)	g_hole(mm)	Symbol	Material	Reference	Edition
JIS B 1301 KEY 8x7x18 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_8x7x18_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	18	8	7	0.4	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x20 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_8x7x20_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	20	8	7	0.4	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x22 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_8x7x22_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	22	8	7	0.4	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x25 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_8x7x25_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	25	8	7	0.4	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x28 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_8x7x28_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	28	8	7	0.4	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x32 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_8x7x32_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	32	8	7	0.4	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x36 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_8x7x36_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	36	8	7	0.4	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x40 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_8x7x40_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	40	8	7	0.4	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x45 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_8x7x45_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	45	8	7	0.4	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x50 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_8x7x50_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	50	8	7	0.4	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x56 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_8x7x56_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	56	8	7	0.4	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x63 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_8x7x63_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	63	8	7	0.4	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x70 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_8x7x70_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	70	8	7	0.4	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x80 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_8x7x80_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	80	8	7	0.4	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x90 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_8x7x90_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	90	8	7	0.4	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x22 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_10x8x22_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	22	10	8	0.6	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x25 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_10x8x25_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	25	10	8	0.6	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x28 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_10x8x28_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	28	10	8	0.6	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x32 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_10x8x32_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	32	10	8	0.6	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x36 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_10x8x36_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	36	10	8	0.6	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x40 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_10x8x40_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	40	10	8	0.6	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x45 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_10x8x45_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	45	10	8	0.6	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x50 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_10x8x50_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	50	10	8	0.6	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x56 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_10x8x56_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	56	10	8	0.6	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x63 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_10x8x63_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	63	10	8	0.6	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x70 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_10x8x70_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	70	10	8	0.6	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x80 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_10x8x80_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	80	10	8	0.6	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x90 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_10x8x90_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	90	10	8	0.6	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x100 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_10x8x100_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	100	10	8	0.6	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x110 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_10x8x110_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	110	10	8	0.6	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x28 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_12x8x28_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	28	12	8	0.6	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x32 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_12x8x32_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	32	12	8	0.6	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x36 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_12x8x36_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	36	12	8	0.6	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x40 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_12x8x40_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	40	12	8	0.6	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x45 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_12x8x45_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	45	12	8	0.6	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x50 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_12x8x50_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	50	12	8	0.6	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x56 PARALLEL WITH ONE HOLE SYMBOL B	JIS_B_1301_12x8x56_SYMBOL_B_WITH_ONE_HOLE_PARALLEL_KEY	56	12	8	0.6	8.0	4.5	3.0	B	St	JIS B 1301	1996
