PartNumber	PartName	l_length(mm)	b_width(mm)	h_thickness(mm)	c_chamfer_max(mm)	designation	d1_screw_thread_dia	d2_hole(mm)	d3_hole(mm)	g_hole(mm)	Symbol	Material	Reference	Edition
JIS B 1301 KEY 8x7x45 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_8x7x45_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	45	8	7	0.4	M3	3	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x50 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_8x7x50_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	50	8	7	0.4	M3	3	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x56 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_8x7x56_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	56	8	7	0.4	M3	3	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x63 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_8x7x63_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	63	8	7	0.4	M3	3	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x70 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_8x7x70_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	70	8	7	0.4	M3	3	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x80 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_8x7x80_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	80	8	7	0.4	M3	3	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 8x7x90 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_8x7x90_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	90	8	7	0.4	M3	3	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x56 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_10x8x56_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	56	10	8	0.6	M3	3	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x63 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_10x8x63_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	63	10	8	0.6	M3	3	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x70 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_10x8x70_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	70	10	8	0.6	M3	3	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x80 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_10x8x80_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	80	10	8	0.6	M3	3	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x90 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_10x8x90_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	90	10	8	0.6	M3	3	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x100 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_10x8x100_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	100	10	8	0.6	M3	3	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 10x8x110 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_10x8x110_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	110	10	8	0.6	M3	3	6.0	3.4	2.3	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x70 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_12x8x70_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	70	12	8	0.6	M4	4	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x80 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_12x8x80_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	80	12	8	0.6	M4	4	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x90 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_12x8x90_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	90	12	8	0.6	M4	4	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x100 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_12x8x100_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	100	12	8	0.6	M4	4	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x110 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_12x8x110_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	110	12	8	0.6	M4	4	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x125 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_12x8x125_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	125	12	8	0.6	M4	4	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 12x8x140 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_12x8x140_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	140	12	8	0.6	M4	4	8.0	4.5	3.0	B	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x80 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_14x9x80_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	80	14	9	0.6	M5	5	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x90 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_14x9x90_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	90	14	9	0.6	M5	5	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x100 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_14x9x100_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	100	14	9	0.6	M5	5	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x110 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_14x9x110_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	110	14	9	0.6	M5	5	10.0	5.5	3.7	B	St	JIS B 1301	1996
JIS B 1301 KEY 14x9x125 PARALLEL WITH THREE HOLES SYMBOL B	JIS_B_1301_14x9x125_SYMBOL_B_WITH_THREE_HOLES_PARALLEL_KEY	125	14	9	0.6	M5	5	10.0	5.5	3.7	B	St	JIS B 1301	1996
