PartNumber	PartName	l_length(mm)	b_width(mm)	h_height(mm)	c_chamfer_max(mm)	Material	Reference	Edition
JIS B 1301 KEY 2x2x6 TAPER WITHOUT GIB HEAD	JIS_B_1301_2x2x6_WITHOUT_GIB_HEAD_TAPER_KEY	6	2	2	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 2x2x8 TAPER WITHOUT GIB HEAD	JIS_B_1301_2x2x8_WITHOUT_GIB_HEAD_TAPER_KEY	8	2	2	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 2x2x10 TAPER WITHOUT GIB HEAD	JIS_B_1301_2x2x10_WITHOUT_GIB_HEAD_TAPER_KEY	10	2	2	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 2x2x12 TAPER WITHOUT GIB HEAD	JIS_B_1301_2x2x12_WITHOUT_GIB_HEAD_TAPER_KEY	12	2	2	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 2x2x14 TAPER WITHOUT GIB HEAD	JIS_B_1301_2x2x14_WITHOUT_GIB_HEAD_TAPER_KEY	14	2	2	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 2x2x16 TAPER WITHOUT GIB HEAD	JIS_B_1301_2x2x16_WITHOUT_GIB_HEAD_TAPER_KEY	16	2	2	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 2x2x18 TAPER WITHOUT GIB HEAD	JIS_B_1301_2x2x18_WITHOUT_GIB_HEAD_TAPER_KEY	18	2	2	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 2x2x20 TAPER WITHOUT GIB HEAD	JIS_B_1301_2x2x20_WITHOUT_GIB_HEAD_TAPER_KEY	20	2	2	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x6 TAPER WITHOUT GIB HEAD	JIS_B_1301_3x3x6_WITHOUT_GIB_HEAD_TAPER_KEY	6	3	3	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x8 TAPER WITHOUT GIB HEAD	JIS_B_1301_3x3x8_WITHOUT_GIB_HEAD_TAPER_KEY	8	3	3	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x10 TAPER WITHOUT GIB HEAD	JIS_B_1301_3x3x10_WITHOUT_GIB_HEAD_TAPER_KEY	10	3	3	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 3x3x12 TAPER WITHOUT GIB HEAD	JIS_B_1301_3x3x12_WITHOUT_GIB_HEAD_TAPER_KEY	12	3	3	0.25	St	JIS B 1301	1996
