PartNumber	PartName	l_length(mm)	b_width(mm)	h_height(mm)	c_chamfer_max(mm)	h1_gib_height(mm)	e_gib_length	Material	Reference	Edition
JIS B 1301 KEY 4x4x8 TAPER WITH GIB HEAD	JIS_B_1301_4x4x8_GIB_HEAD_TAPER_KEY	8.0	4.0	4.0	0.25	7.0	4.0	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x10 TAPER WITH GIB HEAD	JIS_B_1301_4x4x10_GIB_HEAD_TAPER_KEY	10.0	4.0	4.0	0.25	7.0	4.0	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x12 TAPER WITH GIB HEAD	JIS_B_1301_4x4x12_GIB_HEAD_TAPER_KEY	12.0	4.0	4.0	0.25	7.0	4.0	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x14 TAPER WITH GIB HEAD	JIS_B_1301_4x4x14_GIB_HEAD_TAPER_KEY	14.0	4.0	4.0	0.25	7.0	4.0	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x16 TAPER WITH GIB HEAD	JIS_B_1301_4x4x16_GIB_HEAD_TAPER_KEY	16.0	4.0	4.0	0.25	7.0	4.0	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x18 TAPER WITH GIB HEAD	JIS_B_1301_4x4x18_GIB_HEAD_TAPER_KEY	18.0	4.0	4.0	0.25	7.0	4.0	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x20 TAPER WITH GIB HEAD	JIS_B_1301_4x4x20_GIB_HEAD_TAPER_KEY	20.0	4.0	4.0	0.25	7.0	4.0	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x22 TAPER WITH GIB HEAD	JIS_B_1301_4x4x22_GIB_HEAD_TAPER_KEY	22.0	4.0	4.0	0.25	7.0	4.0	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x25 TAPER WITH GIB HEAD	JIS_B_1301_4x4x25_GIB_HEAD_TAPER_KEY	25.0	4.0	4.0	0.25	7.0	4.0	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x28 TAPER WITH GIB HEAD	JIS_B_1301_4x4x28_GIB_HEAD_TAPER_KEY	28.0	4.0	4.0	0.25	7.0	4.0	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x32 TAPER WITH GIB HEAD	JIS_B_1301_4x4x32_GIB_HEAD_TAPER_KEY	32.0	4.0	4.0	0.25	7.0	4.0	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x36 TAPER WITH GIB HEAD	JIS_B_1301_4x4x36_GIB_HEAD_TAPER_KEY	36.0	4.0	4.0	0.25	7.0	4.0	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x40 TAPER WITH GIB HEAD	JIS_B_1301_4x4x40_GIB_HEAD_TAPER_KEY	40.0	4.0	4.0	0.25	7.0	4.0	St	JIS B 1301	1996
JIS B 1301 KEY 4x4x45 TAPER WITH GIB HEAD	JIS_B_1301_4x4x45_GIB_HEAD_TAPER_KEY	45.0	4.0	4.0	0.25	7.0	4.0	St	JIS B 1301	1996
JIS B 1301 KEY 5x5x10 TAPER WITH GIB HEAD	JIS_B_1301_5x5x10_GIB_HEAD_TAPER_KEY	10.0	5.0	5.0	0.4	8.0	5.0	St	JIS B 1301	1996
JIS B 1301 KEY 5x5x12 TAPER WITH GIB HEAD	JIS_B_1301_5x5x12_GIB_HEAD_TAPER_KEY	12.0	5.0	5.0	0.4	8.0	5.0	St	JIS B 1301	1996
JIS B 1301 KEY 5x5x14 TAPER WITH GIB HEAD	JIS_B_1301_5x5x14_GIB_HEAD_TAPER_KEY	14.0	5.0	5.0	0.4	8.0	5.0	St	JIS B 1301	1996
