PartNumber	PartName	l_length(mm)	b_thickness(mm)	do_dia(mm)	h_height(mm)	c_chamfer(mm)	Material	Reference	Edition
JIS B 1301 KEY 1x4 WOODRUFF NORMAL FORM	JIS_B_1301_1x4_WOODRUFF_KEY_NORMAL_FORM	3.8	1.0	4.0	1.4	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 1.5x7 WOODRUFF NORMAL FORM	JIS_B_1301_1.5x7_WOODRUFF_KEY_NORMAL_FORM	6.8	1.5	7.0	2.6	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 2x7 WOODRUFF NORMAL FORM	JIS_B_1301_2x7_WOODRUFF_KEY_NORMAL_FORM	6.8	2.0	7.0	2.6	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 2x10 WOODRUFF NORMAL FORM	JIS_B_1301_2x10_NORMAL_FORM_WOODRUFF_KEY	9.7	2.0	10.0	3.7	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 2.5x10 WOODRUFF NORMAL FORM	JIS_B_1301_2.5x10_NORMAL_FORM_WOODRUFF_KEY	9.7	2.5	10.0	3.7	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 3x10 WOODRUFF NORMAL FORM	JIS_B_1301_3x10_NORMAL_FORM_WOODRUFF_KEY	9.7	3.0	10.0	3.7	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 3x13 WOODRUFF NORMAL FORM	JIS_B_1301_3x13_NORMAL_FORM_WOODRUFF_KEY	12.6	3.0	13.0	5.0	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 3x16 WOODRUFF NORMAL FORM	JIS_B_1301_3x16_NORMAL_FORM_WOODRUFF_KEY	15.7	3.0	16.0	6.5	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 4x13 WOODRUFF NORMAL FORM	JIS_B_1301_4x13_NORMAL_FORM_WOODRUFF_KEY	12.6	4.0	13.0	5.0	0.25	St	JIS B 1301	1996
JIS B 1301 KEY 4x16 WOODRUFF NORMAL FORM	JIS_B_1301_4x16_NORMAL_FORM_WOODRUFF_KEY	15.7	4.0	16.0	6.5	0.4	St	JIS B 1301	1996
JIS B 1301 KEY 4x19 WOODRUFF NORMAL FORM	JIS_B_1301_4x19_NORMAL_FORM_WOODRUFF_KEY	18.6	4.0	19.0	7.5	0.4	St	JIS B 1301	1996
