PartNumber	PartName	Nominal_Size(mm)	d_basic(mm)	c_basic(mm)	b_approx(mm)	a_max(mm)	a_min(mm)	l_nom(mm)	l_min(mm)	l_max(mm)	Material	Reference	Edition
JIS B 1351 PIN 0.6x4 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.6x4_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	1.0	2.0	1.6	0.8	4.0	3.5	4.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.6x5 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.6x5_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	1.0	2.0	1.6	0.8	5.0	4.5	5.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.6x6 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.6x6_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	1.0	2.0	1.6	0.8	6.0	5.5	6.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.6x8 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.6x8_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	1.0	2.0	1.6	0.8	8.0	7.5	8.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.6x10 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.6x10_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	1.0	2.0	1.6	0.8	10.0	9.5	10.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.6x12 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.6x12_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.6	0.5	1.0	2.0	1.6	0.8	12.0	11.5	12.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.8x5 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.8x5_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	1.4	2.4	1.6	0.8	5.0	4.5	5.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.8x6 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.8x6_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	1.4	2.4	1.6	0.8	6.0	5.5	6.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.8x8 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.8x8_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	1.4	2.4	1.6	0.8	8.0	7.5	8.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.8x10 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.8x10_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	1.4	2.4	1.6	0.8	10.0	9.5	10.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.8x12 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.8x12_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	1.4	2.4	1.6	0.8	12.0	11.5	12.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.8x14 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.8x14_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	1.4	2.4	1.6	0.8	14.0	13.5	14.5	St	JIS B 1351	1987
JIS B 1351 PIN 0.8x16 STEEL SPLIT FOR BOLTS AND SCREWS	JIS_B_1351_0.8x16_STEEL_FOR_BOLTS_AND_SCREWS_SPLIT_PIN	0.8	0.7	1.4	2.4	1.6	0.8	16.0	15.5	16.5	St	JIS B 1351	1987
