PartNumber	PartName	d_dia(mm)	a_approx(mm)	r1(mm)	l_nom_Length(mm)	l_min(mm)	l_max(mm)	Material	Reference	Edition
JIS B 1352 PIN 0.6x4 STEEL TAPER	JIS_B_1352_0.6x4_STEEL_TAPER_PIN	0.6	0.08	0.6	4.0	3.75	4.25	St	JIS B 1352	1988
JIS B 1352 PIN 0.6x5 STEEL TAPER	JIS_B_1352_0.6x5_STEEL_TAPER_PIN	0.6	0.08	0.6	5.0	4.75	5.25	St	JIS B 1352	1988
JIS B 1352 PIN 0.6x6 STEEL TAPER	JIS_B_1352_0.6x6_STEEL_TAPER_PIN	0.6	0.08	0.6	6.0	5.75	6.25	St	JIS B 1352	1988
JIS B 1352 PIN 0.6x8 STEEL TAPER	JIS_B_1352_0.6x8_STEEL_TAPER_PIN	0.6	0.08	0.6	8.0	7.75	8.25	St	JIS B 1352	1988
JIS B 1352 PIN 0.8x5 STEEL TAPER	JIS_B_1352_0.8x5_STEEL_TAPER_PIN	0.8	0.1	0.8	5.0	4.75	5.25	St	JIS B 1352	1988
JIS B 1352 PIN 0.8x6 STEEL TAPER	JIS_B_1352_0.8x6_STEEL_TAPER_PIN	0.8	0.1	0.8	6.0	5.75	6.25	St	JIS B 1352	1988
JIS B 1352 PIN 0.8x8 STEEL TAPER	JIS_B_1352_0.8x8_STEEL_TAPER_PIN	0.8	0.1	0.8	8.0	7.75	8.25	St	JIS B 1352	1988
JIS B 1352 PIN 0.8x10 STEEL TAPER	JIS_B_1352_0.8x10_STEEL_TAPER_PIN	0.8	0.1	0.8	10.0	9.75	10.25	St	JIS B 1352	1988
JIS B 1352 PIN 0.8x12 STEEL TAPER	JIS_B_1352_0.8x12_STEEL_TAPER_PIN	0.8	0.1	0.8	12.0	11.5	12.5	St	JIS B 1352	1988
JIS B 1352 PIN 1x6 STEEL TAPER	JIS_B_1352_1x6_STEEL_TAPER_PIN	1.0	0.12	1.0	6.0	5.75	6.25	St	JIS B 1352	1988
JIS B 1352 PIN 1x8 STEEL TAPER	JIS_B_1352_1x8_STEEL_TAPER_PIN	1.0	0.12	1.0	8.0	7.75	8.25	St	JIS B 1352	1988
JIS B 1352 PIN 1x10 STEEL TAPER	JIS_B_1352_1x10_STEEL_TAPER_PIN	1.0	0.12	1.0	10.0	9.75	10.25	St	JIS B 1352	1988
JIS B 1352 PIN 1x12 STEEL TAPER	JIS_B_1352_1x12_STEEL_TAPER_PIN	1.0	0.12	1.0	12.0	11.5	12.5	St	JIS B 1352	1988
JIS B 1352 PIN 1x14 STEEL TAPER	JIS_B_1352_1x14_STEEL_TAPER_PIN	1.0	0.12	1.0	14.0	13.5	14.5	St	JIS B 1352	1988
JIS B 1352 PIN 1x16 STEEL TAPER	JIS_B_1352_1x16_STEEL_TAPER_PIN	1.0	0.12	1.0	16.0	15.5	16.5	St	JIS B 1352	1988
JIS B 1352 PIN 1.2x6 STEEL TAPER	JIS_B_1352_1.2x6_STEEL_TAPER_PIN	1.2	0.16	1.2	6.0	5.75	6.25	St	JIS B 1352	1988
JIS B 1352 PIN 1.2x8 STEEL TAPER	JIS_B_1352_1.2x8_STEEL_TAPER_PIN	1.2	0.16	1.2	8.0	7.75	8.25	St	JIS B 1352	1988
JIS B 1352 PIN 1.2x10 STEEL TAPER	JIS_B_1352_1.2x10_STEEL_TAPER_PIN	1.2	0.16	1.2	10.0	9.75	10.25	St	JIS B 1352	1988
JIS B 1352 PIN 1.2x12 STEEL TAPER	JIS_B_1352_1.2x12_STEEL_TAPER_PIN	1.2	0.16	1.2	12.0	11.5	12.5	St	JIS B 1352	1988
JIS B 1352 PIN 1.2x14 STEEL TAPER	JIS_B_1352_1.2x14_STEEL_TAPER_PIN	1.2	0.16	1.2	14.0	13.5	14.5	St	JIS B 1352	1988
JIS B 1352 PIN 1.2x16 STEEL TAPER	JIS_B_1352_1.2x16_STEEL_TAPER_PIN	1.2	0.16	1.2	16.0	15.5	16.5	St	JIS B 1352	1988
