PartNumber	PartName	d_dia_(mm)	d1_basic(mm)	n_min(mm)	t_min(mm)	t_max(mm)	a(mm)	l_nom_length(mm)	l_min_length(mm)	l_max_length(mm)	A1_A2_B1_B2(mm)	Material	Reference	Edition
JIS B 1353 PIN 2x10 STEEL TAPER WITH SPLIT	JIS_B_1353_2x10_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	10.0	9.75	10.25	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x12 STEEL TAPER WITH SPLIT	JIS_B_1353_2x12_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	12.0	11.5	12.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x14 STEEL TAPER WITH SPLIT	JIS_B_1353_2x14_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	14.0	13.5	14.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x16 STEEL TAPER WITH SPLIT	JIS_B_1353_2x16_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	16.0	15.5	16.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x18 STEEL TAPER WITH SPLIT	JIS_B_1353_2x18_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	18.0	17.5	18.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x20 STEEL TAPER WITH SPLIT	JIS_B_1353_2x20_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	20.0	19.5	20.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x22 STEEL TAPER WITH SPLIT	JIS_B_1353_2x22_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	22.0	21.5	22.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x24 STEEL TAPER WITH SPLIT	JIS_B_1353_2x24_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	24.0	23.5	24.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x26 STEEL TAPER WITH SPLIT	JIS_B_1353_2x26_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	26.0	25.5	26.5	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x28 STEEL TAPER WITH SPLIT	JIS_B_1353_2x28_STEEL_WITH_SPLIT_TAPER_PIN	2.0	2.08	0.4	3.0	4.0	0.25	28.0	27.5	28.5	0.2	St	JIS B 1353	1990
