PartNumber	PartName	dia_(mm)	d_dia(mm)	d1_basic(mm)	n_min(mm)	t_min(mm)	t_max(mm)	l_nom(mm)	A1_A2_B1_B2(mm)	Material	Reference	Edition
JIS B 1353 PIN 2x12 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2x12_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.0	2.0	2.08	0.4	3.0	4.0	12.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x14 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2x14_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.0	2.0	2.08	0.4	3.0	4.0	14.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x16 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2x16_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.0	2.0	2.08	0.4	3.0	4.0	16.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x18 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2x18_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.0	2.0	2.08	0.4	3.0	4.0	18.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x20 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2x20_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.0	2.0	2.08	0.4	3.0	4.0	20.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x22 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2x22_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.0	2.0	2.08	0.4	3.0	4.0	22.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x25 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2x25_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.0	2.0	2.08	0.4	3.0	4.0	25.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2x28 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2x28_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.0	2.0	2.08	0.4	3.0	4.0	28.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x14 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2.5x14_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.5	2.5	2.6	0.4	3.5	5.0	14.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x16 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2.5x16_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.5	2.5	2.6	0.4	3.5	5.0	16.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x18 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2.5x18_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.5	2.5	2.6	0.4	3.5	5.0	18.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x20 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2.5x20_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.5	2.5	2.6	0.4	3.5	5.0	20.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x22 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2.5x22_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.5	2.5	2.6	0.4	3.5	5.0	22.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x25 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2.5x25_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.5	2.5	2.6	0.4	3.5	5.0	25.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x28 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2.5x28_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.5	2.5	2.6	0.4	3.5	5.0	28.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x32 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2.5x32_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.5	2.5	2.6	0.4	3.5	5.0	32.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 2.5x36 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_2.5x36_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	2.5	2.5	2.6	0.4	3.5	5.0	36.0	0.2	St	JIS B 1353	1990
JIS B 1353 PIN 3x14 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_3x14_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	3.0	3.0	3.12	0.6	4.5	6.0	14.0	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x16 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_3x16_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	3.0	3.0	3.12	0.6	4.5	6.0	16.0	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x18 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_3x18_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	3.0	3.0	3.12	0.6	4.5	6.0	18.0	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x20 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_3x20_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	3.0	3.0	3.12	0.6	4.5	6.0	20.0	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x22 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_3x22_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	3.0	3.0	3.12	0.6	4.5	6.0	22.0	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x25 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_3x25_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	3.0	3.0	3.12	0.6	4.5	6.0	25.0	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x28 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_3x28_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	3.0	3.0	3.12	0.6	4.5	6.0	28.0	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x32 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_3x32_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	3.0	3.0	3.12	0.6	4.5	6.0	32.0	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x36 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_3x36_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	3.0	3.0	3.12	0.6	4.5	6.0	36.0	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x40 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_3x40_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	3.0	3.0	3.12	0.6	4.5	6.0	40.0	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x45 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_3x45_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	3.0	3.0	3.12	0.6	4.5	6.0	45.0	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 3x50 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_3x50_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	3.0	3.0	3.12	0.6	4.5	6.0	50.0	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x18 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_4x18_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	4.0	4.0	4.16	0.6	6.0	8.0	18.0	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x20 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_4x20_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	4.0	4.0	4.16	0.6	6.0	8.0	20.0	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x22 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_4x22_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	4.0	4.0	4.16	0.6	6.0	8.0	22.0	0.3	St	JIS B 1353	1990
JIS B 1353 PIN 4x25 STEEL TAPER WITH SPLIT OLD TYPE	JIS_B_1353_4x25_STEEL_WITH_SPLIT_OLD_TYPE_TAPER_PIN	4.0	4.0	4.16	0.6	6.0	8.0	25.0	0.3	St	JIS B 1353	1990
