PartNumber	PartName	nominal_dia(mm)	d_basic(mm)	a(mm)	c(mm)	l_length(mm)	Grade	Material	Reference	Edition
JIS B 1354 PIN 0.6x2 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.6x2_GRADE_A_CLASS_A_PARALLEL_PIN	0.6	0.6	0.08	0.12	2	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.6x3 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.6x3_GRADE_A_CLASS_A_PARALLEL_PIN	0.6	0.6	0.08	0.12	3	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.6x4 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.6x4_GRADE_A_CLASS_A_PARALLEL_PIN	0.6	0.6	0.08	0.12	4	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.6x5 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.6x5_GRADE_A_CLASS_A_PARALLEL_PIN	0.6	0.6	0.08	0.12	5	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.6x6 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.6x6_GRADE_A_CLASS_A_PARALLEL_PIN	0.6	0.6	0.08	0.12	6	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.8x2 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.8x2_GRADE_A_CLASS_A_PARALLEL_PIN	0.8	0.8	0.1	0.16	2	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.8x3 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.8x3_GRADE_A_CLASS_A_PARALLEL_PIN	0.8	0.8	0.1	0.16	3	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.8x4 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.8x4_GRADE_A_CLASS_A_PARALLEL_PIN	0.8	0.8	0.1	0.16	4	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.8x5 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.8x5_GRADE_A_CLASS_A_PARALLEL_PIN	0.8	0.8	0.1	0.16	5	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.8x6 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.8x6_GRADE_A_CLASS_A_PARALLEL_PIN	0.8	0.8	0.1	0.16	6	A	St	JIS B 1354	1988
JIS B 1354 PIN 0.8x8 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_0.8x8_GRADE_A_CLASS_A_PARALLEL_PIN	0.8	0.8	0.1	0.16	8	A	St	JIS B 1354	1988
JIS B 1354 PIN 1x4 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1x4_GRADE_A_CLASS_A_PARALLEL_PIN	1.0	1.0	0.12	0.2	4	A	St	JIS B 1354	1988
JIS B 1354 PIN 1x5 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1x5_GRADE_A_CLASS_A_PARALLEL_PIN	1.0	1.0	0.12	0.2	5	A	St	JIS B 1354	1988
JIS B 1354 PIN 1x6 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1x6_GRADE_A_CLASS_A_PARALLEL_PIN	1.0	1.0	0.12	0.2	6	A	St	JIS B 1354	1988
JIS B 1354 PIN 1x8 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1x8_GRADE_A_CLASS_A_PARALLEL_PIN	1.0	1.0	0.12	0.2	8	A	St	JIS B 1354	1988
JIS B 1354 PIN 1x10 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1x10_GRADE_A_CLASS_A_PARALLEL_PIN	1.0	1.0	0.12	0.2	10	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.2x4 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.2x4_GRADE_A_CLASS_A_PARALLEL_PIN	1.2	1.2	0.16	0.25	4	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.2x5 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.2x5_GRADE_A_CLASS_A_PARALLEL_PIN	1.2	1.2	0.16	0.25	5	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.2x6 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.2x6_GRADE_A_CLASS_A_PARALLEL_PIN	1.2	1.2	0.16	0.25	6	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.2x8 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.2x8_GRADE_A_CLASS_A_PARALLEL_PIN	1.2	1.2	0.16	0.25	8	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.2x10 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.2x10_GRADE_A_CLASS_A_PARALLEL_PIN	1.2	1.2	0.16	0.25	10	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.2x12 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.2x12_GRADE_A_CLASS_A_PARALLEL_PIN	1.2	1.2	0.16	0.25	12	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.5x4 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.5x4_GRADE_A_CLASS_A_PARALLEL_PIN	1.5	1.5	0.2	0.3	4	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.5x5 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.5x5_GRADE_A_CLASS_A_PARALLEL_PIN	1.5	1.5	0.2	0.3	5	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.5x6 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.5x6_GRADE_A_CLASS_A_PARALLEL_PIN	1.5	1.5	0.2	0.3	6	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.5x8 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.5x8_GRADE_A_CLASS_A_PARALLEL_PIN	1.5	1.5	0.2	0.3	8	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.5x10 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.5x10_GRADE_A_CLASS_A_PARALLEL_PIN	1.5	1.5	0.2	0.3	10	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.5x12 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.5x12_GRADE_A_CLASS_A_PARALLEL_PIN	1.5	1.5	0.2	0.3	12	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.5x14 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.5x14_GRADE_A_CLASS_A_PARALLEL_PIN	1.5	1.5	0.2	0.3	14	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.5x16 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.5x16_GRADE_A_CLASS_A_PARALLEL_PIN	1.5	1.5	0.2	0.3	16	A	St	JIS B 1354	1988
JIS B 1354 PIN 1.6x4 STEEL GRADE A PARALLEL CLASS A	JIS_B_1354_1.6x4_GRADE_A_CLASS_A_PARALLEL_PIN	1.6	1.6	0.2	0.3	4	A	St	JIS B 1354	1988
