PartNumber	PartName	nom_dia(mm)	d_dia(mm)	a(mm)	c(mm)	r1_min(mm)	r1_max(mm)	l_length(mm)	Material	Reference	Edition
JIS B 1355 PIN 1x3 STEEL DOWEL CLASS B	JIS_B_1355_1x3_STEEL_CLASS_B_DOWEL_PIN	1.0	1.0	0.12	0.5	0.0	0.0	3.0	St	JIS B 1355	1990
JIS B 1355 PIN 1x4 STEEL DOWEL CLASS B	JIS_B_1355_1x4_STEEL_CLASS_B_DOWEL_PIN	1.0	1.0	0.12	0.5	0.0	0.0	4.0	St	JIS B 1355	1990
JIS B 1355 PIN 1x5 STEEL DOWEL CLASS B	JIS_B_1355_1x5_STEEL_CLASS_B_DOWEL_PIN	1.0	1.0	0.12	0.5	0.0	0.0	5.0	St	JIS B 1355	1990
JIS B 1355 PIN 1x6 STEEL DOWEL CLASS B	JIS_B_1355_1x6_STEEL_CLASS_B_DOWEL_PIN	1.0	1.0	0.12	0.5	0.0	0.0	6.0	St	JIS B 1355	1990
JIS B 1355 PIN 1x8 STEEL DOWEL CLASS B	JIS_B_1355_1x8_STEEL_CLASS_B_DOWEL_PIN	1.0	1.0	0.12	0.5	0.0	0.0	8.0	St	JIS B 1355	1990
JIS B 1355 PIN 1x10 STEEL DOWEL CLASS B	JIS_B_1355_1x10_STEEL_CLASS_B_DOWEL_PIN	1.0	1.0	0.12	0.5	0.0	0.0	10.0	St	JIS B 1355	1990
JIS B 1355 PIN 1.5x4 STEEL DOWEL CLASS B	JIS_B_1355_1.5x4_STEEL_CLASS_B_DOWEL_PIN	1.5	1.5	0.2	0.6	0.2	0.6	4.0	St	JIS B 1355	1990
JIS B 1355 PIN 1.5x5 STEEL DOWEL CLASS B	JIS_B_1355_1.5x5_STEEL_CLASS_B_DOWEL_PIN	1.5	1.5	0.2	0.6	0.2	0.6	5.0	St	JIS B 1355	1990
JIS B 1355 PIN 1.5x6 STEEL DOWEL CLASS B	JIS_B_1355_1.5x6_STEEL_CLASS_B_DOWEL_PIN	1.5	1.5	0.2	0.6	0.2	0.6	6.0	St	JIS B 1355	1990
JIS B 1355 PIN 1.5x8 STEEL DOWEL CLASS B	JIS_B_1355_1.5x8_STEEL_CLASS_B_DOWEL_PIN	1.5	1.5	0.2	0.6	0.2	0.6	8.0	St	JIS B 1355	1990
JIS B 1355 PIN 1.5x10 STEEL DOWEL CLASS B	JIS_B_1355_1.5x10_STEEL_CLASS_B_DOWEL_PIN	1.5	1.5	0.2	0.6	0.2	0.6	10.0	St	JIS B 1355	1990
JIS B 1355 PIN 1.5x12 STEEL DOWEL CLASS B	JIS_B_1355_1.5x12_STEEL_CLASS_B_DOWEL_PIN	1.5	1.5	0.2	0.6	0.2	0.6	12.0	St	JIS B 1355	1990
JIS B 1355 PIN 1.5x14 STEEL DOWEL CLASS B	JIS_B_1355_1.5x14_STEEL_CLASS_B_DOWEL_PIN	1.5	1.5	0.2	0.6	0.2	0.6	14.0	St	JIS B 1355	1990
JIS B 1355 PIN 1.5x16 STEEL DOWEL CLASS B	JIS_B_1355_1.5x16_STEEL_CLASS_B_DOWEL_PIN	1.5	1.5	0.2	0.6	0.2	0.6	16.0	St	JIS B 1355	1990
JIS B 1355 PIN 2x5 STEEL DOWEL CLASS B	JIS_B_1355_2x5_STEEL_CLASS_B_DOWEL_PIN	2.0	2.0	0.25	0.8	0.2	0.6	5.0	St	JIS B 1355	1990
JIS B 1355 PIN 2x6 STEEL DOWEL CLASS B	JIS_B_1355_2x6_STEEL_CLASS_B_DOWEL_PIN	2.0	2.0	0.25	0.8	0.2	0.6	6.0	St	JIS B 1355	1990
