PartNumber	PartName	designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_length(mm)	d1(mm)	a(mm)	b_max(mm)	b_min(mm)	d3_max(mm)	d3_min(mm)	z_max(mm)	z_min(mm)	Material	Reference	Edition
JIS B 1358 PIN 5x40 STEEL TAPER WITH EXTERNAL THREAD	JIS_B_1358_40x0.8_STEEL_WITH_EXTERNAL_THREAD_TAPER_PIN	M5	5	0.8	14.0	40.0	5.0	2.4	15.6	14.0	3.5	3.25	1.5	1.25	St	JIS B 1358	1990
JIS B 1358 PIN 5x45 STEEL TAPER WITH EXTERNAL THREAD	JIS_B_1358_45x0.8_STEEL_WITH_EXTERNAL_THREAD_TAPER_PIN	M5	5	0.8	14.0	45.0	5.0	2.4	15.6	14.0	3.5	3.25	1.5	1.25	St	JIS B 1358	1990
JIS B 1358 PIN 5x50 STEEL TAPER WITH EXTERNAL THREAD	JIS_B_1358_50x0.8_STEEL_WITH_EXTERNAL_THREAD_TAPER_PIN	M5	5	0.8	14.0	50.0	5.0	2.4	15.6	14.0	3.5	3.25	1.5	1.25	St	JIS B 1358	1990
JIS B 1358 PIN 6x45 STEEL TAPER WITH EXTERNAL THREAD	JIS_B_1358_45x1_STEEL_WITH_EXTERNAL_THREAD_TAPER_PIN	M6	6	1.0	18.0	45.0	6.0	3.0	20.0	18.0	4.0	3.7	1.75	1.5	St	JIS B 1358	1990
JIS B 1358 PIN 6x50 STEEL TAPER WITH EXTERNAL THREAD	JIS_B_1358_50x1_STEEL_WITH_EXTERNAL_THREAD_TAPER_PIN	M6	6	1.0	18.0	50.0	6.0	3.0	20.0	18.0	4.0	3.7	1.75	1.5	St	JIS B 1358	1990
JIS B 1358 PIN 6x55 STEEL TAPER WITH EXTERNAL THREAD	JIS_B_1358_55x1_STEEL_WITH_EXTERNAL_THREAD_TAPER_PIN	M6	6	1.0	18.0	55.0	6.0	3.0	20.0	18.0	4.0	3.7	1.75	1.5	St	JIS B 1358	1990
JIS B 1358 PIN 6x60 STEEL TAPER WITH EXTERNAL THREAD	JIS_B_1358_60x1_STEEL_WITH_EXTERNAL_THREAD_TAPER_PIN	M6	6	1.0	18.0	60.0	6.0	3.0	20.0	18.0	4.0	3.7	1.75	1.5	St	JIS B 1358	1990
JIS B 1358 PIN 8x55 STEEL TAPER WITH EXTERNAL THREAD	JIS_B_1358_55x1.25_STEEL_WITH_EXTERNAL_THREAD_TAPER_PIN	M8	8	1.25	22.0	55.0	8.0	4.0	24.5	22.0	5.5	5.2	2.25	2.0	St	JIS B 1358	1990
JIS B 1358 PIN 8x60 STEEL TAPER WITH EXTERNAL THREAD	JIS_B_1358_60x1.25_STEEL_WITH_EXTERNAL_THREAD_TAPER_PIN	M8	8	1.25	22.0	60.0	8.0	4.0	24.5	22.0	5.5	5.2	2.25	2.0	St	JIS B 1358	1990
JIS B 1358 PIN 8x65 STEEL TAPER WITH EXTERNAL THREAD	JIS_B_1358_65x1.25_STEEL_WITH_EXTERNAL_THREAD_TAPER_PIN	M8	8	1.25	22.0	65.0	8.0	4.0	24.5	22.0	5.5	5.2	2.25	2.0	St	JIS B 1358	1990
