PartNumber	PartName	Nominal_Number	Designation_of_thread	d_id(mm)	D1_dia_min(mm)	p_pitch(mm)	threading(mm)	d1(mm)	d2_od(mm)	B_nut_width(mm)	b_slot_width(mm)	h_slot_depth(mm)	ds(mm)	g_slot_base	r1_max(mm)	l_depth(mm)	s_designation	s_dia(mm)	dp_pitch_circle(mm)	Series	Material	Reference	Edition
JIS B 1554 LOCKNUT AN44 STEEL FOR ROLLING BEARING SERIES AN	JIS_B_1554_AN44_ROLLING_BEARING_SERIES_AN_STEEL_LOCKNUT	AN44	Tr220x4	220.0	215.67	4	32.0	250.0	280.0	32.0	20.0	10.0	222.0	260.0	0.8	15.0	M8	8.0	238.0	AN	St	JIS_B_1554	1993
JIS B 1554 LOCKNUT AN48 STEEL FOR ROLLING BEARING SERIES AN	JIS_B_1554_AN48_ROLLING_BEARING_SERIES_AN_STEEL_LOCKNUT	AN48	Tr240x4	240.0	235.67	4	34.0	270.0	300.0	34.0	20.0	10.0	242.0	280.0	0.8	15.0	M8	8.0	258.0	AN	St	JIS_B_1554	1993
JIS B 1554 LOCKNUT AN52 STEEL FOR ROLLING BEARING SERIES AN	JIS_B_1554_AN52_ROLLING_BEARING_SERIES_AN_STEEL_LOCKNUT	AN52	Tr260x4	260.0	255.67	4	36.0	300.0	330.0	36.0	24.0	12.0	262.0	306.0	0.8	18.0	M10	10.0	301.0	AN	St	JIS_B_1554	1993
JIS B 1554 LOCKNUT ANL44 STEEL FOR ROLLING BEARING SERIES AN	JIS_B_1554_ANL44_ROLLING_BEARING_SERIES_AN_STEEL_LOCKNUT	ANL44	Tr220x4	220.0	215.67	4	32.0	250.0	280.0	32.0	20.0	10.0	222.0	260.0	0.8	15.0	M8	8.0	238.0	AN	St	JIS_B_1554	1993
JIS B 1554 LOCKNUT ANL48 STEEL FOR ROLLING BEARING SERIES AN	JIS_B_1554_ANL48_ROLLING_BEARING_SERIES_AN_STEEL_LOCKNUT	ANL48	Tr240x4	240.0	235.67	4	34.0	270.0	300.0	34.0	20.0	10.0	242.0	280.0	0.8	15.0	M8	8.0	258.0	AN	St	JIS_B_1554	1993
JIS B 1554 LOCKNUT ANL52 STEEL FOR ROLLING BEARING SERIES AN	JIS_B_1554_ANL52_ROLLING_BEARING_SERIES_AN_STEEL_LOCKNUT	ANL52	Tr260x4	260.0	255.67	4	36.0	300.0	330.0	36.0	24.0	12.0	262.0	306.0	0.8	18.0	M10	10.0	281.0	AN	St	JIS_B_1554	1993
JIS B 1554 LOCKNUT ANL56 STEEL FOR ROLLING BEARING SERIES AN	JIS_B_1554_ANL56_ROLLING_BEARING_SERIES_AN_STEEL_LOCKNUT	ANL56	Tr280x4	280.0	275.67	4	38.0	320.0	350.0	38.0	24.0	12.0	282.0	326.0	0.8	18.0	M10	10.0	301.0	AN	St	JIS_B_1554	1993
JIS B 1554 LOCKNUT ANL60 STEEL FOR ROLLING BEARING SERIES AN	JIS_B_1554_ANL60_ROLLING_BEARING_SERIES_AN_STEEL_LOCKNUT	ANL60	Tr300x4	300.0	295.67	4	40.0	340.0	380.0	40.0	24.0	12.0	302.0	356.0	0.8	18.0	M10	10.0	326.0	AN	St	JIS_B_1554	1993
JIS B 1554 LOCKNUT ANL64 STEEL FOR ROLLING BEARING SERIES AN	JIS_B_1554_ANL64_ROLLING_BEARING_SERIES_AN_STEEL_LOCKNUT	ANL64	Tr320x5	320.0	314.588	5	42.0	360.0	400.0	42.0	24.0	12.0	322.5	376.0	0.8	18.0	M10	10.0	345.0	AN	St	JIS_B_1554	1993
JIS B 1554 LOCKNUT ANL68 STEEL FOR ROLLING BEARING SERIES AN	JIS_B_1554_ANL68_ROLLING_BEARING_SERIES_AN_STEEL_LOCKNUT	ANL68	Tr340x5	340.0	334.588	5	55.0	400.0	440.0	55.0	28.0	15.0	342.5	410.0	1.0	21.0	M12	12.0	372.0	AN	St	JIS_B_1554	1993
JIS B 1554 LOCKNUT ANL72 STEEL FOR ROLLING BEARING SERIES AN	JIS_B_1554_ANL72_ROLLING_BEARING_SERIES_AN_STEEL_LOCKNUT	ANL72	Tr360x5	360.0	354.588	5	58.0	420.0	460.0	58.0	28.0	15.0	362.5	430.0	1.0	21.0	M12	12.0	392.0	AN	St	JIS_B_1554	1993
