PartNumber	PartName	Nominal_Number	Designation	d_dia(mm)	D1_dia_min(mm)	p_pitch(mm)	threading(mm)	d1(mm)	d2_od(mm)	B_nut_width(mm)	b_slot_width(mm)	h_slot_depth(mm)	ds(mm)	g_slot_base(mm)	r1_max(mm)	Series	Material	Reference	Edition
JIS B 1554 LOCKNUT M10 STEEL USING WASHERS SERIES AN	JIS_B_1554_M10_USING_WASHERS_SERIES_AN_STEEL_LOCKNUT	AN 00	M10	10.0	9.188	.8	4.0	13.5	18.0	4.0	3.0	2.0	10.5	14.0	0.4	AN	St	JIS B 1554	1998
JIS B 1554 LOCKNUT M12 STEEL USING WASHERS SERIES AN	JIS_B_1554_M12_USING_WASHERS_SERIES_AN_STEEL_LOCKNUT	AN 01	M12	12.0	10.918	1.	4.0	17.0	22.0	4.0	3.0	2.0	12.5	18.0	0.4	AN	St	JIS B 1554	1998
JIS B 1554 LOCKNUT M15 STEEL USING WASHERS SERIES AN	JIS_B_1554_M15_USING_WASHERS_SERIES_AN_STEEL_LOCKNUT	AN 02	M15	15.0	13.918	1.	5.0	21.0	25.0	5.0	4.0	2.0	15.5	21.0	0.4	AN	St	JIS B 1554	1998
JIS B 1554 LOCKNUT M17 STEEL USING WASHERS SERIES AN	JIS_B_1554_M17_USING_WASHERS_SERIES_AN_STEEL_LOCKNUT	AN 03	M17	17.0	15.918	1.	5.0	24.0	28.0	5.0	4.0	2.0	17.5	24.0	0.4	AN	St	JIS B 1554	1998
JIS B 1554 LOCKNUT M20 STEEL USING WASHERS SERIES AN	JIS_B_1554_M20_USING_WASHERS_SERIES_AN_STEEL_LOCKNUT	AN 04	M20	20.0	18.918	1.	6.0	26.0	32.0	6.0	4.0	2.0	20.5	28.0	0.4	AN	St	JIS B 1554	1998
JIS B 1554 LOCKNUT M22 STEEL USING WASHERS SERIES AN	JIS_B_1554_M22_USING_WASHERS_SERIES_AN_STEEL_LOCKNUT	AN/22	M22	22.0	20.918	1.	6.0	28.0	34.0	6.0	4.0	2.0	22.5	30.0	0.4	AN	St	JIS B 1554	1998
JIS B 1554 LOCKNUT M25 STEEL USING WASHERS SERIES AN	JIS_B_1554_M25_USING_WASHERS_SERIES_AN_STEEL_LOCKNUT	AN 05	M25	25.0	23.376	1.5	7.0	32.0	38.0	7.0	5.0	2.0	25.8	34.0	0.4	AN	St	JIS B 1554	1998
JIS B 1554 LOCKNUT M28 STEEL USING WASHERS SERIES AN	JIS_B_1554_M28_USING_WASHERS_SERIES_AN_STEEL_LOCKNUT	AN/28	M28	28.0	26.376	1.5	7.0	36.0	42.0	7.0	5.0	2.0	28.8	38.0	0.4	AN	St	JIS B 1554	1998
JIS B 1554 LOCKNUT M30 STEEL USING WASHERS SERIES AN	JIS_B_1554_M30_USING_WASHERS_SERIES_AN_STEEL_LOCKNUT	AN 06	M30	30.0	28.376	1.5	7.0	38.0	45.0	7.0	5.0	2.0	30.8	41.0	0.4	AN	St	JIS B 1554	1998
JIS B 1554 LOCKNUT M32 STEEL USING WASHERS SERIES AN	JIS_B_1554_M32_USING_WASHERS_SERIES_AN_STEEL_LOCKNUT	AN/32	M32	32.0	30.376	1.5	8.0	40.0	48.0	8.0	5.0	2.0	32.8	44.0	0.4	AN	St	JIS B 1554	1998
