PartNumber	PartName	Nominalnumber	B3_nom_thk(mm)	B4(mm)	L2_nom_height(mm)	d1_nom_dia_hole(mm)	L1(mm)	L3_nom_length(mm)	Series	Material	Reference	Edition
JIS B 1554 LOCKPLATE AL44 STEEL FOR LOCKNUT SERIES AL	JIS_B_1554_AL44_FOR_LOCKNUT_SERIES_AL_STEEL_LOCKPLATE	AL44	4.0	20.0	12.0	9.0	22.5	30.5	AL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE AL52 STEEL FOR LOCKNUT SERIES AL	JIS_B_1554_AL52_FOR_LOCKNUT_SERIES_AL_STEEL_LOCKPLATE	AL52	4.0	24.0	12.0	12.0	25.5	33.5	AL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE AL60 STEEL FOR LOCKNUT SERIES AL	JIS_B_1554_AL60_FOR_LOCKNUT_SERIES_AL_STEEL_LOCKPLATE	AL60	4.0	24.0	12.0	12.0	30.5	38.5	AL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE AL64 STEEL FOR LOCKNUT SERIES AL	JIS_B_1554_AL64_FOR_LOCKNUT_SERIES_AL_STEEL_LOCKPLATE	AL64	5.0	24.0	15.0	12.0	31.0	41.0	AL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE AL68 STEEL FOR LOCKNUT SERIES AL	JIS_B_1554_AL68_FOR_LOCKNUT_SERIES_AL_STEEL_LOCKPLATE	AL68	5.0	28.0	15.0	14.0	38.0	48.0	AL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE AL76 STEEL FOR LOCKNUT SERIES AL	JIS_B_1554_AL76_FOR_LOCKNUT_SERIES_AL_STEEL_LOCKPLATE	AL76	5.0	32.0	15.0	14.0	40.0	50.0	AL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE AL80 STEEL FOR LOCKNUT SERIES AL	JIS_B_1554_AL80_FOR_LOCKNUT_SERIES_AL_STEEL_LOCKPLATE	AL80	5.0	32.0	15.0	18.0	45.0	55.0	AL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE AL88 STEEL FOR LOCKNUT SERIES AL	JIS_B_1554_AL88_FOR_LOCKNUT_SERIES_AL_STEEL_LOCKPLATE	AL88	5.0	36.0	15.0	18.0	43.0	53.0	AL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE AL95 STEEL FOR LOCKNUT SERIES AL	JIS_B_1554_AL95_FOR_LOCKNUT_SERIES_AL_STEEL_LOCKPLATE	AL95	5.0	36.0	15.0	18.0	53.0	63.0	AL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE AL100 STEEL FOR LOCKNUT SERIES AL	JIS_B_1554_AL100_FOR_LOCKNUT_SERIES_AL_STEEL_LOCKPLATE	AL100	5.0	40.0	15.0	18.0	45.0	55.0	AL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE ALL44 STEEL FOR LOCKNUT SERIES ALL	JIS_B_1554_ALL44_FOR_LOCKNUT_SERIES_ALL_STEEL_LOCKPLATE	ALL44	4.0	20.0	12.0	7.0	13.5	21.5	ALL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE ALL48 STEEL FOR LOCKNUT SERIES ALL	JIS_B_1554_ALL48_FOR_LOCKNUT_SERIES_ALL_STEEL_LOCKPLATE	ALL48	4.0	20.0	12.0	9.0	17.5	25.5	ALL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE ALL56 STEEL FOR LOCKNUT SERIES ALL	JIS_B_1554_ALL56_FOR_LOCKNUT_SERIES_ALL_STEEL_LOCKPLATE	ALL56	4.0	24.0	12.0	9.0	17.5	25.5	ALL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE ALL60 STEEL FOR LOCKNUT SERIES ALL	JIS_B_1554_ALL60_FOR_LOCKNUT_SERIES_ALL_STEEL_LOCKPLATE	ALL60	4.0	24.0	12.0	9.0	20.5	28.5	ALL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE ALL64 STEEL FOR LOCKNUT SERIES ALL	JIS_B_1554_ALL64_FOR_LOCKNUT_SERIES_ALL_STEEL_LOCKPLATE	ALL64	5.0	24.0	15.0	9.0	21.0	31.0	ALL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE ALL72 STEEL FOR LOCKNUT SERIES ALL	JIS_B_1554_ALL72_FOR_LOCKNUT_SERIES_ALL_STEEL_LOCKPLATE	ALL72	5.0	28.0	15.0	9.0	20.0	30.0	ALL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE ALL76 STEEL FOR LOCKNUT SERIES ALL	JIS_B_1554_ALL76_FOR_LOCKNUT_SERIES_ALL_STEEL_LOCKPLATE	ALL76	5.0	28.0	15.0	12.0	24.0	34.0	ALL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE ALL84 STEEL FOR LOCKNUT SERIES ALL	JIS_B_1554_ALL84_FOR_LOCKNUT_SERIES_ALL_STEEL_LOCKPLATE	ALL84	5.0	32.0	15.0	12.0	24.0	34.0	ALL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE ALL88 STEEL FOR LOCKNUT SERIES ALL	JIS_B_1554_ALL88_FOR_LOCKNUT_SERIES_ALL_STEEL_LOCKPLATE	ALL88	5.0	32.0	15.0	14.0	28.0	38.0	ALL	St	JIS B 1554	1993
JIS B 1554 LOCKPLATE ALL96 STEEL FOR LOCKNUT SERIES ALL	JIS_B_1554_ALL96_FOR_LOCKNUT_SERIES_ALL_STEEL_LOCKPLATE	ALL96	5.0	36.0	15.0	14.0	28.0	38.0	ALL	St	JIS B 1554	1993
