PartNumber	PartName	Nominal_number	d3(mm)	d4(mm)	d5(mm)	f1(mm)	M(mm)	f(mm)	B1(mm)	B2(mm)	N_number	r2(mm)	Series	Material	Reference	Edition
JIS B 1554 WASHER AW02A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW02A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW02A	15.0	21.0	28.0	4.0	13.5	4.0	1.0	2.5	11.0	1.0	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW03A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW03A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW03A	17.0	24.0	32.0	4.0	15.5	4.0	1.0	2.5	11.0	1.0	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW04A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW04A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW04A	20.0	26.0	36.0	4.0	18.5	4.0	1.0	2.5	11.0	1.0	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW05A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW05A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW05A	25.0	32.0	42.0	5.0	23.0	5.0	1.25	2.5	13.0	1.0	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW06A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW06A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW06A	30.0	38.0	49.0	5.0	27.5	5.0	1.25	2.5	13.0	1.0	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW07A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW07A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW07A	35.0	44.0	57.0	6.0	32.5	5.0	1.25	2.5	13.0	1.0	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW08A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW08A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW08A	40.0	50.0	62.0	6.0	37.5	6.0	1.25	2.5	13.0	1.0	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW09A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW09A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW09A	45.0	56.0	69.0	6.0	42.5	6.0	1.25	2.5	13.0	1.0	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW10A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW10A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW10A	50.0	61.0	74.0	6.0	47.5	6.0	1.25	2.5	13.0	1.0	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW11A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW11A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW11A	55.0	67.0	81.0	8.0	52.5	7.0	1.5	4.0	17.0	1.0	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW12A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW12A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW12A	60.0	73.0	86.0	8.0	57.5	7.0	1.5	4.0	17.0	1.2	AW	St	JIS B 1554	1998
JIS B 1554 WASHER AW13A STEEL TYPE A FOR LOCKNUT SERIES AW	JIS_B_1554_AW13A_TYPE_A_LOCKNUT_SERIES_AW_STEEL_WASHER	AW13A	65.0	79.0	92.0	8.0	62.5	7.0	1.5	4.0	17.0	1.2	AW	St	JIS B 1554	1998
