PartNumber	PartName	Nom_number	d3(mm)	d4(mm)	d5(mm)	f1(mm)	M(mm)	f(mm)	B1(mm)	N_min	Series	Material	Reference	Edition
JIS B 1554 WASHER AW00X TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW00X_SERIES_AW_LOCKNUT_WASHER	AW00X	10.0	13.5	21.0	3.0	8.5	3.0	1.0	9.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW01X TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW01X_SERIES_AW_LOCKNUT_WASHER	AW01X	12.0	17.0	25.0	3.0	10.5	3.0	1.0	11.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW02X TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW02X_SERIES_AW_LOCKNUT_WASHER	AW02X	15.0	21.0	28.0	4.0	13.5	4.0	1.0	11.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW03X TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW03X_SERIES_AW_LOCKNUT_WASHER	AW03X	17.0	24.0	32.0	4.0	15.5	4.0	1.0	11.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW04X TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW04X_SERIES_AW_LOCKNUT_WASHER	AW04X	20.0	26.0	36.0	4.0	18.5	4.0	1.0	11.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW/22X TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW/22X_SERIES_AW_LOCKNUT_WASHER	AW/22X	22.0	28.0	38.0	4.0	20.5	4.0	1.0	11.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW05X TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW05X_SERIES_AW_LOCKNUT_WASHER	AW05X	25.0	32.0	42.0	5.0	23.0	5.0	1.25	13.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW/28X TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW/28X_SERIES_AW_LOCKNUT_WASHER	AW/28X	28.0	36.0	46.0	5.0	26.0	5.0	1.25	13.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW06X TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW06X_SERIES_AW_LOCKNUT_WASHER	AW06X	30.0	38.0	49.0	5.0	27.5	5.0	1.25	13.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW/32X TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW/32X_SERIES_AW_LOCKNUT_WASHER	AW/32X	32.0	40.0	52.0	5.0	29.5	5.0	1.25	13.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW07X TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW07X_SERIES_AW_LOCKNUT_WASHER	AW07X	35.0	44.0	57.0	6.0	32.5	5.0	1.25	13.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW08X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW08X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW08X	40.0	50.0	62.0	6.0	37.5	6.0	1.25	13.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW09X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW09X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW09X	45.0	56.0	69.0	6.0	42.5	6.0	1.25	13.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW10X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW10X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW10X	50.0	61.0	74.0	6.0	47.5	6.0	1.25	13.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW11X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW11X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW11X	55.0	67.0	81.0	8.0	52.5	7.0	1.5	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW12X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW12X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW12X	60.0	73.0	86.0	8.0	57.5	7.0	1.5	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW13X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW13X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW13X	65.0	79.0	92.0	8.0	62.5	7.0	1.5	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW14X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW14X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW14X	70.0	85.0	98.0	8.0	66.5	8.0	1.5	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW15X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW15X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW15X	75.0	90.0	104.0	8.0	71.5	8.0	1.5	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW16X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW16X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW16X	80.0	95.0	112.0	10.0	76.5	8.0	1.8	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW17X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW17X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW17X	85.0	102.0	119.0	10.0	81.5	8.0	1.8	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW18X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW18X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW18X	90.0	108.0	126.0	10.0	86.5	10.0	1.8	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW19X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW19X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW19X	95.0	113.0	133.0	10.0	91.5	10.0	1.8	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW20X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW20X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW20X	100.0	120.0	142.0	12.0	96.5	10.0	1.8	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW21X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW21X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW21X	105.0	126.0	145.0	12.0	100.5	12.0	1.8	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW22X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW22X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW22X	110.0	133.0	154.0	12.0	105.5	12.0	1.8	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW23X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW23X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW23X	115.0	137.0	159.0	12.0	110.5	12.0	2.0	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW24X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW24X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW24X	120.0	138.0	164.0	14.0	115.0	12.0	2.0	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW25X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW25X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW25X	125.0	148.0	170.0	14.0	120.0	12.0	2.0	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW26X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW26X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW26X	130.0	149.0	175.0	14.0	125.0	12.0	2.0	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW27X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW27X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW27X	135.0	160.0	185.0	14.0	130.0	14.0	2.0	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW28X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW28X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW28X	140.0	160.0	192.0	16.0	135.0	14.0	2.0	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW29X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW29X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW29X	145.0	171.0	202.0	16.0	140.0	14.0	2.0	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW30X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW30X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW30X	150.0	171.0	205.0	16.0	145.0	14.0	2.0	17.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW31X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW31X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW31X	155.0	182.0	212.0	16.0	147.5	16.0	2.5	19.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW32X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW32X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW32X	160.0	182.0	217.0	18.0	154.0	16.0	2.5	19.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW33X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW33X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW33X	165.0	193.0	222.0	18.0	157.5	16.0	2.5	19.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW34X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW34X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW34X	170.0	193.0	232.0	18.0	164.0	16.0	2.5	19.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW36X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW36X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW36X	180.0	203.0	242.0	20.0	174.0	18.0	2.5	19.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW38X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW38X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW38X	190.0	214.0	252.0	20.0	184.0	18.0	2.5	19.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW40X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW40X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW40X	200.0	226.0	262.0	20.0	194.0	18.0	2.5	19.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW44X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW44X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW44X	220.0	250.0	292.0	24.0	213.0	20.0	3.0	19.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW48X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW48X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW48X	240.0	270.0	312.0	24.0	233.0	20.0	3.0	19.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW52X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW52X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW52X	260.0	300.0	342.0	28.0	253.0	24.0	3.0	19.0	AW	St	JIS B 1554	1993
JIS B 1554 WASHER AW56X STEEL_TYPE X FOR LOCKNUT SERIES AW	JIS_B_1554_AW56X_SERIES_AW_LOCKNUT_STEEL_WASHER	AW56X	280.0	320.0	362.0	28.0	273.0	24.0	3.0	19.0	AW	St	JIS B 1554	1993
