PartNumber	PartName	Designation	d3_basic_dia(mm)	t_thickness_basic(mm)	b_width(mm)	r_max(mm)	Material	Reference	Edition
JIS B 2804 RING 20 STEEL RETAINING FOR IN BORE USE TYPE CC	JIS_B_2804_20_FOR_IN_BORE_USE_TYPE_CC_STEEL_RETAINING_RING	20.0	21.3	1.0	2.0	0.3	St	JIS B 2804	2001
JIS B 2804 RING 22 STEEL RETAINING FOR IN BORE USE TYPE CC	JIS_B_2804_22_FOR_IN_BORE_USE_TYPE_CC_STEEL_RETAINING_RING	22.0	23.3	1.0	2.0	0.3	St	JIS B 2804	2001
JIS B 2804 RING 25 STEEL RETAINING FOR IN BORE USE TYPE CC	JIS_B_2804_25_FOR_IN_BORE_USE_TYPE_CC_STEEL_RETAINING_RING	25.0	26.7	1.2	2.0	0.3	St	JIS B 2804	2001
JIS B 2804 RING 28 STEEL RETAINING FOR IN BORE USE TYPE CC	JIS_B_2804_28_FOR_IN_BORE_USE_TYPE_CC_STEEL_RETAINING_RING	28.0	29.9	1.2	2.0	0.3	St	JIS B 2804	2001
JIS B 2804 RING 30 STEEL RETAINING FOR IN BORE USE TYPE CC	JIS_B_2804_30_FOR_IN_BORE_USE_TYPE_CC_STEEL_RETAINING_RING	30.0	31.9	1.2	2.0	0.3	St	JIS B 2804	2001
JIS B 2804 RING 35 STEEL RETAINING FOR IN BORE USE TYPE CC	JIS_B_2804_35_FOR_IN_BORE_USE_TYPE_CC_STEEL_RETAINING_RING	35.0	37.5	1.6	2.8	0.5	St	JIS B 2804	2001
JIS B 2804 RING 40 STEEL RETAINING FOR IN BORE USE TYPE CC	JIS_B_2804_40_FOR_IN_BORE_USE_TYPE_CC_STEEL_RETAINING_RING	40.0	43.1	1.75	3.5	0.7	St	JIS B 2804	2001
JIS B 2804 RING 45 STEEL RETAINING FOR IN BORE USE TYPE CC	JIS_B_2804_45_FOR_IN_BORE_USE_TYPE_CC_STEEL_RETAINING_RING	45.0	48.1	1.75	3.5	0.7	St	JIS B 2804	2001
JIS B 2804 RING 50 STEEL RETAINING FOR IN BORE USE TYPE CC	JIS_B_2804_50_FOR_IN_BORE_USE_TYPE_CC_STEEL_RETAINING_RING	50.0	53.8	2.0	4.0	0.7	St	JIS B 2804	2001
JIS B 2804 RING 52 STEEL RETAINING FOR IN BORE USE TYPE CC	JIS_B_2804_52_FOR_IN_BORE_USE_TYPE_CC_STEEL_RETAINING_RING	52.0	55.8	2.0	4.0	0.7	St	JIS B 2804	2001
JIS B 2804 RING 55 STEEL RETAINING FOR IN BORE USE TYPE CC	JIS_B_2804_55_FOR_IN_BORE_USE_TYPE_CC_STEEL_RETAINING_RING	55.0	58.8	2.0	4.0	0.7	St	JIS B 2804	2001
JIS B 2804 RING 62 STEEL RETAINING FOR IN BORE USE TYPE CC	JIS_B_2804_62_FOR_IN_BORE_USE_TYPE_CC_STEEL_RETAINING_RING	62.0	65.8	2.0	4.0	0.7	St	JIS B 2804	2001
JIS B 2804 RING 68 STEEL RETAINING FOR IN BORE USE TYPE CC	JIS_B_2804_68_FOR_IN_BORE_USE_TYPE_CC_STEEL_RETAINING_RING	68.0	72.1	2.5	5.0	0.7	St	JIS B 2804	2001
JIS B 2804 RING 72 STEEL RETAINING FOR IN BORE USE TYPE CC	JIS_B_2804_72_FOR_IN_BORE_USE_TYPE_CC_STEEL_RETAINING_RING	72.0	76.1	2.5	5.0	0.7	St	JIS B 2804	2001
JIS B 2804 RING 75 STEEL RETAINING FOR IN BORE USE TYPE CC	JIS_B_2804_75_FOR_IN_BORE_USE_TYPE_CC_STEEL_RETAINING_RING	75.0	79.1	2.5	5.0	0.7	St	JIS B 2804	2001
