PartNumber	PartName	Designation	d3_basic_external_od(mm)	d2_installed_od(mm)	d4_inside_dia(mm)	installled_id(mm)	t_thichness_basic(mm)	b_width(mm)	a_cutend_(mm)	do_hole_dia(mm)	Material	Reference	Edition
JIS B 2804 RING 10 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_10_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	10.0	10.7	10.4	8.0	7.776	1.0	1.8	3.1	1.2	St	JIS B 2804	2001
JIS B 2804 RING 11 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_11_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	11.0	11.8	11.4	9.1	8.792	1.0	1.8	3.2	1.2	St	JIS B 2804	2001
JIS B 2804 RING 12 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_12_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	12.0	13.0	12.5	10.3	9.904	1.0	1.8	3.3	1.5	St	JIS B 2804	2001
JIS B 2804 RING 14 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_14_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	14.0	15.1	14.6	12.1	11.699	1.0	2.0	3.6	1.7	St	JIS B 2804	2001
JIS B 2804 RING 16 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_16_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	16.0	17.3	16.8	14.3	13.887	1.0	2.0	3.7	1.7	St	JIS B 2804	2001
JIS B 2804 RING 18 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_18_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	18.0	19.5	19.0	15.75	15.346	1.0	2.5	4.0	1.7	St	JIS B 2804	2001
JIS B 2804 RING 19 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_19_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	19.0	20.5	20.0	16.75	16.341	1.0	2.5	4.0	2.0	St	JIS B 2804	2001
JIS B 2804 RING 20 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_20_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	20.0	21.5	21.0	17.75	17.337	1.0	2.5	4.0	2.0	St	JIS B 2804	2001
JIS B 2804 RING 22 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_22_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	22.0	23.5	23.0	19.75	19.33	1.0	2.5	4.1	2.0	St	JIS B 2804	2001
JIS B 2804 RING 25 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_25_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	25.0	26.9	26.2	22.4	21.817	1.2	3.0	4.4	2.0	St	JIS B 2804	2001
JIS B 2804 RING 28 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_28_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	28.0	30.1	29.4	25.6	25.005	1.2	3.0	4.6	2.0	St	JIS B 2804	2001
JIS B 2804 RING 30 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_30_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	30.0	32.1	31.4	27.6	26.998	1.2	3.0	4.7	2.0	St	JIS B 2804	2001
JIS B 2804 RING 32 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_32_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	32.0	34.4	33.7	29.15	28.557	1.2	3.5	5.2	2.5	St	JIS B 2804	2001
JIS B 2804 RING 35 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_35_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	35.0	37.8	37.0	32.55	31.861	1.6	3.5	5.2	2.5	St	JIS B 2804	2001
JIS B 2804 RING 37 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_37_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	37.0	39.8	39.0	34.55	33.856	1.6	3.5	5.2	2.5	St	JIS B 2804	2001
JIS B 2804 RING 40 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_40_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	40.0	43.5	42.5	37.5	36.638	1.8	4.0	5.7	2.5	St	JIS B 2804	2001
JIS B 2804 RING 42 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_42_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	42.0	45.5	44.5	39.5	38.632	1.8	4.0	5.8	2.5	St	JIS B 2804	2001
JIS B 2804 RING 45 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_45_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	45.0	48.5	47.5	41.75	40.889	1.8	4.5	5.9	2.5	St	JIS B 2804	2001
JIS B 2804 RING 47 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_47_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	47.0	50.5	49.5	43.75	42.884	1.8	4.5	6.1	2.5	St	JIS B 2804	2001
JIS B 2804 RING 50 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_50_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	50.0	54.2	53.0	47.45	46.399	2.0	4.5	6.5	2.5	St	JIS B 2804	2001
JIS B 2804 RING 52 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_52_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	52.0	56.2	55.0	48.55	47.513	2.0	5.1	6.5	2.5	St	JIS B 2804	2001
JIS B 2804 RING 55 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_55_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	55.0	59.2	58.0	51.55	50.505	2.0	5.1	6.5	2.5	St	JIS B 2804	2001
JIS B 2804 RING 60 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_60_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	60.0	64.2	63.0	55.95	54.904	2.0	5.5	6.8	2.5	St	JIS B 2804	2001
JIS B 2804 RING 62 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_62_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	62.0	66.2	65.0	57.95	56.9	2.0	5.5	6.9	2.5	St	JIS B 2804	2001
JIS B 2804 RING 68 STEEL RETAINING FOR IN BORE USE TYPE CE	JIS_B_2804_68_FOR_IN_BORE_USE_TYPE_CE_STEEL_RETAINING_RING	68.0	72.5	71.0	63.5	62.186	2.5	6.0	7.4	2.5	St	JIS B 2804	2001
